row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Công ty TNHH TMĐT Ngôi nhà Thế Kỳ,Công ty TNHH TMĐT Ngôi nhà Thế Kỳ,Công ty TNHH TMĐT Ngôi nhà Thế Kỳ,Công ty con,
Công ty Cổ phần Truyền thông và Giải trí Ngôi Sao mới,Công ty Cổ phần Truyền thông và Giải trí Ngôi Sao mới,Công ty Cổ phần Truyền thông và Giải trí Ngôi Sao mới,Công ty con,
Công ty Cổ phần Bất động sản Cen Sài Gòn,Công ty Cổ phần Bất động sản Cen Sài Gòn,Công ty Cổ phần Bất động sản Cen Sài Gòn,Công ty con,
Công ty TNHH Cen Prime,Công ty TNHH Cen Prime,Công ty TNHH Cen Prime,Công ty con,
Công ty TNHH Quản lý Đối tác Liên kết Cen (Cen BSM),Công ty TNHH Quản lý Đối tác Liên kết Cen (Cen BSM),Công ty TNHH Quản lý Đối tác Liên kết Cen (Cen BSM),Công ty con,
Công ty TNHH Cen Cuckoo,Công ty TNHH Cen Cuckoo,Công ty TNHH Cen Cuckoo,Công ty con,
Công ty Cổ phần Cen Academy,Công ty Cổ phần Cen Academy,Công ty Cổ phần Cen Academy,Công ty con,
Công ty Cổ phần Cen HCM,Công ty Cổ phần Cen HCM,Công ty Cổ phần Cen HCM,Công ty con,
Công ty Cổ phần Dịch vụ và Đầu tư Bất động sản Phố Xanh Group,Công ty Cổ phần Dịch vụ và Đầu tư Bất động sản Phố Xanh Group,Công ty Cổ phần Dịch vụ và Đầu tư Bất động sản Phố Xanh Group,Công ty con,
Công ty Cổ phần Bất động sản An Holding,Công ty Cổ phần Bất động sản An Holding,Công ty Cổ phần Bất động sản An Holding,Công ty con,
Công ty Cổ phần Bất động sản Cen SPC,Công ty Cổ phần Bất động sản Cen SPC,Công ty Cổ phần Bất động sản Cen SPC,Công ty con,
Công ty Cổ phần Đầu tư Thành Đạt VN,Công ty Cổ phần Đầu tư Thành Đạt VN,Công ty Cổ phần Đầu tư Thành Đạt VN,Công ty con,
Công ty Cổ phần Cen Hải Phòng,Công ty Cổ phần Cen Hải Phòng,Công ty Cổ phần Cen Hải Phòng,Công ty con của Cen BSM,
Công ty Cổ phần Cen Hưng Yên,Công ty Cổ phần Cen Hưng Yên,Công ty Cổ phần Cen Hưng Yên,Công ty con của Cen BSM,
Công ty Cổ phần Cen Vĩnh Phú,Công ty Cổ phần Cen Vĩnh Phú,Công ty Cổ phần Cen Vĩnh Phú,Công ty con của Cen BSM,
Công ty Cổ phần Cen Thanh Hóa,Công ty Cổ phần Cen Thanh Hóa,Công ty Cổ phần Cen Thanh Hóa,Công ty con của Cen BSM,
Công ty Cổ phần Cen Khánh Hòa,Công ty Cổ phần Cen Khánh Hòa,Công ty Cổ phần Cen Khánh Hòa,Công ty con của Cen BSM,
Công ty Cổ phần Cen Miền Trung,Công ty Cổ phần Cen Miền Trung,Công ty Cổ phần Cen Miền Trung,Công ty con của Cen BSM,
Công ty Cổ phần Cen Bắc Ninh,Công ty Cổ phần Cen Bắc Ninh,Công ty Cổ phần Cen Bắc Ninh,Công ty con của Cen BSM,
Công ty Cổ phần Cen Bắc Trung Bộ (đổi tên từ Công ty Cổ phần Cen Nghệ An),Công ty Cổ phần Cen Bắc Trung Bộ (đổi tên từ Công ty Cổ phần Cen Nghệ An),Công ty Cổ phần Cen Bắc Trung Bộ (đổi tên từ Công ty Cổ phần Cen Nghệ An),Công ty con của Cen BSM,
Công ty Cổ phần Cen Stay,Công ty Cổ phần Cen Stay,Công ty Cổ phần Cen Stay,Công ty con của Cen BSM,
Công ty Cổ phần Cen Zone,Công ty Cổ phần Cen Zone,Công ty Cổ phần Cen Zone,Công ty con của Cen BSM,
Công ty Cổ phần Cen Quảng Ninh,Công ty Cổ phần Cen Quảng Ninh,Công ty Cổ phần Cen Quảng Ninh,Công ty con của Cen BSM,
Công ty Cổ phần Cen Housing,Công ty Cổ phần Cen Housing,Công ty Cổ phần Cen Housing,Công ty con của Cen BSM,
Công ty Cổ phần Cen Bình Định,Công ty Cổ phần Cen Bình Định,Công ty Cổ phần Cen Bình Định,Công ty con của Cen BSM,
Công ty Cổ phần Cen Đông Bắc,Công ty Cổ phần Cen Đông Bắc,Công ty Cổ phần Cen Đông Bắc,Công ty con của Cen BSM,
Công ty Cổ phần Cen Bình Thuận,Công ty Cổ phần Cen Bình Thuận,Công ty Cổ phần Cen Bình Thuận,Công ty con của Cen BSM,
Công ty Cổ phần Cen Bình Dương,Công ty Cổ phần Cen Bình Dương,Công ty Cổ phần Cen Bình Dương,Công ty con của Cen BSM,
Công ty Cổ phần Cen Cần Thơ,Công ty Cổ phần Cen Cần Thơ,Công ty Cổ phần Cen Cần Thơ,Công ty con của Cen BSM,
