row_label_raw,row_label_full,CHỈ TIỀU,Mã số,Thuyết minh,31/12/2025,01/01/2025,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025,numeric__01/01/2025
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,2.197.191.969,9.322.959.640,152.0,,2197191969.0,9322959640.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,16,-,1.211.575.620,153.0,16.0,,1211575620.0
B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,200,,5.035.250.960.277,4.926.785.037.665,200.0,,5035250960277.0,4926785037665.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,4.624.420.104.107,4.601.866.329.350,210.0,,4624420104107.0,4601866329350.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,10,4.624.420.104.107,4.601.866.329.350,216.0,10.0,4624420104107.0,4601866329350.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,201.058.636,556.263.875,220.0,,201058636.0,556263875.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,13,201.058.636,491.548.723,221.0,13.0,201058636.0,491548723.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,4.447.928.026,4.550.328.026,222.0,,4447928026.0,4550328026.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,223,,(4.246.869.390),(4.058.779.303),223.0,,-4246869390.0,-4058779303.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,,-,64.715.152,227.0,,,64715152.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,575.365.500,575.365.500,228.0,,575365500.0,575365500.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,229,,(575.365.500),(510.650.348),229.0,,-575365500.0,-510650348.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,218.361.237.126,215.065.483.849,240.0,,218361237126.0,215065483849.0
"1. Chi phí sản xuất, kinh doanh dở dang","1. Chi phí sản xuất, kinh doanh dở dang","1. Chi phí sản xuất, kinh doanh dở dang",241,,4.526.237.126,2.115.483.849,241.0,,4526237126.0,2115483849.0
2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,242,14,213.835.000.000,212.950.000.000,242.0,14.0,213835000000.0,212950000000.0
IV. Tài sản dài hạn khác,IV. Tài sản dài hạn khác,IV. Tài sản dài hạn khác,260,,192.268.560.408,109.296.960.591,260.0,,192268560408.0,109296960591.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,12,192.268.560.408,109.296.960.591,261.0,12.0,192268560408.0,109296960591.0
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,,6.994.483.773.731,6.592.547.442.904,270.0,,6994483773731.0,6592547442904.0
