row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị theo phương pháp vốn chủ sở hữu,Số cuối năm > VND Giá trị hợp lý,Số cuối năm > Giá gốc_1,Số cuối năm > Giá trị theo phương pháp vốn chủ sở hữu_1,Số đầu năm > VND Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị theo phương pháp vốn chủ sở hữu,numeric__Số cuối năm > VND Giá trị hợp lý,numeric__Số cuối năm > Giá gốc_1,numeric__Số cuối năm > Giá trị theo phương pháp vốn chủ sở hữu_1,numeric__Số đầu năm > VND Giá trị hợp lý
- Đầu tư vào công ty liên doanh,- Đầu tư vào công ty liên doanh,- Đầu tư vào công ty liên doanh,412.967.020.560,344.301.138.991,,412.967.020.560,581.902.500.311,,412967020560.0,344301138991.0,,412967020560.0,581902500311.0,
Công ty TNHH Kính nối Việt Nam (i),Công ty TNHH Kính nối Việt Nam (i),Công ty TNHH Kính nối Việt Nam (i),286.821.000.000,208.885.466.119,,286.821.000.000,449.978.664.867,,286821000000.0,208885466119.0,,286821000000.0,449978664867.0,
Công ty SanVig - CTCP (i),Công ty SanVig - CTCP (i),Công ty SanVig - CTCP (i),126.146.020.560,135.415.672.872,,126.146.020.560,131.923.835.444,,126146020560.0,135415672872.0,,126146020560.0,131923835444.0,
- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,95.247.792.337,85.784.979.945,,82.747.792.337,98.385.053.299,,95247792337.0,85784979945.0,,82747792337.0,98385053299.0,
Công ty Cổ phần Gạch ngói Từ Sơn (ii),Công ty Cổ phần Gạch ngói Từ Sơn (ii),Công ty Cổ phần Gạch ngói Từ Sơn (ii),4.837.506.400,4.150.563.988,6.383.513.600,4.837.506.400,6.235.377.001,12.218.444.000,4837506400.0,4150563988.0,6383513600.0,4837506400.0,6235377001.0,12218444000.0
Công ty Cổ phần Gốm Xây dựng Yên Hưng (ii),Công ty Cổ phần Gốm Xây dựng Yên Hưng (ii),Công ty Cổ phần Gốm Xây dựng Yên Hưng (ii),2.002.000.000,-,2.314.000.000,2.002.000.000,-,4.342.000.000,2002000000.0,,2314000000.0,2002000000.0,,4342000000.0
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera (i),Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera (i),Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera (i),21.789.858.320,22.176.872.675,,9.289.858.320,10.009.167.925,,21789858320.0,22176872675.0,,9289858320.0,10009167925.0,
Công ty Cổ phần Gạch chịu lửa Cầu Dương (i),Công ty Cổ phần Gạch chịu lửa Cầu Dương (i),Công ty Cổ phần Gạch chịu lửa Cầu Dương (i),3.482.862.617,1.235.530.869,,3.482.862.617,1.798.623.289,,3482862617.0,1235530869.0,,3482862617.0,1798623289.0,
Công ty Cổ phần Viglacera Hạ Long II (i),Công ty Cổ phần Viglacera Hạ Long II (i),Công ty Cổ phần Viglacera Hạ Long II (i),22.000.000.000,13.927.173.736,,22.000.000.000,18.605.103.062,,22000000000.0,13927173736.0,,22000000000.0,18605103062.0,
Công ty Cổ phần Viglacera Đông Triều (iii),Công ty Cổ phần Viglacera Đông Triều (iii),Công ty Cổ phần Viglacera Đông Triều (iii),40.000.000.000,43.242.250.933,18.000.000.000,40.000.000.000,60.684.194.278,20.800.000.000,40000000000.0,43242250933.0,18000000000.0,40000000000.0,60684194278.0,20800000000.0
Công ty Cổ phần Vinafacade (i),Công ty Cổ phần Vinafacade (i),Công ty Cổ phần Vinafacade (i),909.380.000,826.402.744,,909.380.000,826.402.744,,909380000.0,826402744.0,,909380000.0,826402744.0,
Công ty Magno GMBH (i),Công ty Magno GMBH (i),Công ty Magno GMBH (i),226.185.000,226.185.000,,226.185.000,226.185.000,,226185000.0,226185000.0,,226185000.0,226185000.0,
,,,508.214.812.897,430.086.118.936,,495.714.812.897,680.287.553.610,,508214812897.0,430086118936.0,,495714812897.0,680287553610.0,
