row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thắng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch đánh giá lại tài sản,Quỹ Đầu tư phát triển,Chênh lệch tỷ giá hối đoái,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thắng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch đánh giá lại tài sản,numeric__Quỹ Đầu tư phát triển,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,4.483.500.000.000,929.867.056.019,17.162.355.346,(1.713.600),(211.681.407.015),431.195.404.115,(14.320.575.687),6.257.939.977,1.410.538.854.492,1.260.445.634.805,8.312.963.548.452,4483500000000.0,929867056019.0,17162355346.0,-1713600.0,-211681407015.0,431195404115.0,-14320575687.0,6257939977.0,1410538854492.0,1260445634805.0,8312963548452.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,-,1.728.187.379.363,184.851.155.599,1.913.038.534.962,,,,,,,,,1728187379363.0,184851155599.0,1913038534962.0
Trích Quỹ Đầu tư phát triển,Trích Quỹ Đầu tư phát triển,Trích Quỹ Đầu tư phát triển,-,-,-,-,-,262.068.302.361,-,-,(262.068.302.361),-,-,,,,,,262068302361.0,,,-262068302361.0,,
Trích Quỹ khen,Trích Quỹ khen,Trích Quỹ khen,-,-,-,-,-,-,-,-,(93.922.147.657),(7.027.670.692),(100.949.818.349),,,,,,,,,-93922147657.0,-7027670692.0,-100949818349.0
thường phúc lợi,thường phúc lợi,thường phúc lợi,-,-,-,-,-,-,-,-,(1.236.075.364),(1.071.257.969),(2.307.333.333),,,,,,,,,-1236075364.0,-1071257969.0,-2307333333.0
Trả thủ lao của Người quản lý,Trả thủ lao của Người quản lý,Trả thủ lao của Người quản lý,-,-,-,-,-,-,-,-,-,100.232.001.484,100.232.001.484,,,,,,,,,,100232001484.0,100232001484.0
Tăng vốn ở Công ty con,Tăng vốn ở Công ty con,Tăng vốn ở Công ty con,-,-,-,-,-,-,-,-,(1.120.875.000.000),(68.977.907.867),(1.189.852.907.867),,,,,,,,,-1120875000000.0,-68977907867.0,-1189852907867.0
Trả cổ tức,Trả cổ tức,Trả cổ tức,-,-,-,-,-,-,11.114.771.636,-,-,-,11.114.771.636,,,,,,,11114771636.0,,,,11114771636.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,-,-,-,-,(760.083.083),1.105.524.738,345.441.655,,,,,,,,,-760083083.0,1105524738.0,345441655.0
Khác,Khác,Khác,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
Số dư cuối năm trước,Khác > Số dư cuối năm trước,Số dư cuối năm trước,4.483.500.000.000,929.867.056.019,17.162.355.346,(1.713.600),(211.681.407.015),693.263.706.476,(3.205.804.051),6.257.939.977,1.659.864.625.390,1.469.557.480.098,9.044.584.238.640,4483500000000.0,929867056019.0,17162355346.0,-1713600.0,-211681407015.0,693263706476.0,-3205804051.0,6257939977.0,1659864625390.0,1469557480098.0,9044584238640.0
Số dư đầu năm,Khác > Số dư đầu năm,Số dư đầu năm,4.483.500.000.000,929.867.056.019,17.162.355.346,(1.713.600),(211.681.407.015),693.263.706.476,(3.205.804.051),6.257.939.977,1.659.864.625.390,1.469.557.480.098,9.044.584.238.640,4483500000000.0,929867056019.0,17162355346.0,-1713600.0,-211681407015.0,693263706476.0,-3205804051.0,6257939977.0,1659864625390.0,1469557480098.0,9044584238640.0
Lợi nhuận trong năm,Khác > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,-,1.218.120.252.933,(55.881.111.255),1.162.239.141.679,,,,,,,,,1218120252933.0,-55881111255.0,1162239141679.0
Trích Quỹ Đầu tư phát triển,Khác > Trích Quỹ Đầu tư phát triển,Trích Quỹ Đầu tư phát triển,-,-,-,-,-,427.986.100.618,-,-,(427.986.100.618),-,-,,,,,,427986100618.0,,,-427986100618.0,,
Trích Quỹ khen,Khác > Trích Quỹ khen,Trích Quỹ khen,-,-,-,-,-,-,-,-,(85.623.698.967),(3.968.739.753),(89.592.438.720),,,,,,,,,-85623698967.0,-3968739753.0,-89592438720.0
thường phúc lợi,Khác > thường phúc lợi,thường phúc lợi,-,-,-,-,-,-,-,-,(4.774.877.853),(722.846.016),(5.497.723.869),,,,,,,,,-4774877853.0,-722846016.0,-5497723869.0
Trả thủ lao của Người quản lý,Khác > Trả thủ lao của Người quản lý,Trả thủ lao của Người quản lý,-,-,-,-,-,-,-,-,-,294.000.000.000,294.000.000.000,,,,,,,,,,294000000000.0,294000000000.0
Góp vốn thành lập công ty,Khác > Góp vốn thành lập công ty,Góp vốn thành lập công ty,-,-,-,-,-,-,-,-,-,50.000.000,50.000.000,,,,,,,,,,50000000.0,50000000.0
Tăng vốn ở Công ty con,Khác > Tăng vốn ở Công ty con,Tăng vốn ở Công ty con,-,-,-,-,-,-,-,-,472.724.459,(472.724.459),-,,,,,,,,,472724459.0,-472724459.0,
Thay đổi tỷ lệ sở hữu,Khác > Thay đổi tỷ lệ sở hữu,Thay đổi tỷ lệ sở hữu,-,-,-,-,-,-,-,-,(896.700.000.000),(31.446.732.000),(928.146.732.000),,,,,,,,,-896700000000.0,-31446732000.0,-928146732000.0
Trả cổ tức (i) (ii),Khác > Trả cổ tức (i) (ii),Trả cổ tức (i) (ii),-,-,-,-,-,-,9.663.681.987,-,-,3.462.310,9.667.144.297,,,,,,,9663681987.0,,,3462310.0,9667144297.0
Chênh lệch tỷ giá,Khác > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,-,-,-,-,(749.794.371),(45.639.188),(795.433.560),,,,,,,,,-749794371.0,-45639188.0,-795433560.0
Khác,Khác,Khác,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
Số dư cuối năm,Khác > Số dư cuối năm,Số dư cuối năm,4.483.500.000.000,929.867.056.019,17.162.355.346,(1.713.600),(211.681.407.015),1.121.249.807.094,6.457.877.936,6.257.939.977,1.462.623.130.973,1.671.073.149.737,9.486.508.196.467,4483500000000.0,929867056019.0,17162355346.0,-1713600.0,-211681407015.0,1121249807094.0,6457877936.0,6257939977.0,1462623130973.0,1671073149737.0,9486508196467.0
