row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuống,Trên 1 nămđến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 nămtrở xuống,numeric__Trên 1 nămđến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,,,,
Vay và nợ,Tại ngày 01/01/2020 > Vay và nợ,Vay và nợ,455.139.734.507,34.000.000.000,-,489.139.734.507,455139734507.0,34000000000.0,,489139734507.0
"Phải trả người bán, phải trả khác","Tại ngày 01/01/2020 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",1.144.300.667.388,66.266.397.298,-,1.210.567.064.686,1144300667388.0,66266397298.0,,1210567064686.0
Chỉ phí phải trả,Tại ngày 01/01/2020 > Chỉ phí phải trả,Chỉ phí phải trả,446.484.259.275,-,-,446.484.259.275,446484259275.0,,,446484259275.0
,,,2.045.924.661.170,100.266.397.298,-,2.146.191.058.468,2045924661170.0,100266397298.0,,2146191058468.0
