row_label_raw,row_label_full,Chỉ tiêu,USD được quy đổi,EUR được quy đổi,Các ngoại tệ khác được quy đổi,Tổng,numeric__USD được quy đổi,numeric__EUR được quy đổi,numeric__Các ngoại tệ khác được quy đổi,numeric__Tổng
Tải sản,Tải sản,Tải sản,,,,,,,,
"Tiền một, vàng bạc, đã quý","Tải sản > Tiền một, vàng bạc, đã quý","Tiền một, vàng bạc, đã quý",39.186,462,688,40.336,39186.0,462.0,688.0,40336.0
Tiền gửi tai ngăn hàng Nhà nước,Tải sản > Tiền gửi tai ngăn hàng Nhà nước,Tiền gửi tai ngăn hàng Nhà nước,196.413,-,-,196.413,196413.0,,,196413.0
"Tiền, vàng gửi tai và cho vay các TCTD khác (*)","Tải sản > Tiền, vàng gửi tai và cho vay các TCTD khác (*)","Tiền, vàng gửi tai và cho vay các TCTD khác (*)",4.226.365,35.542,11.450,4.273.357,4226365.0,35542.0,11450.0,4273357.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Tải sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),1.189.603,-,-,1.189.603,1189603.0,,,1189603.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),483.911,-,-,483.911,483911.0,,,483911.0
Chứng khoản đầu tư (*),Chứng khoản đầu tư (*),Chứng khoản đầu tư (*),-,-,-,-,,,,
"Gộp vốn, đầu tư dài hạn (*)","Gộp vốn, đầu tư dài hạn (*)","Gộp vốn, đầu tư dài hạn (*)",-,-,-,-,,,,
Tải sản cố định và Bất động sản đầu tư,Tải sản cố định và Bất động sản đầu tư,Tải sản cố định và Bất động sản đầu tư,-,-,-,-,,,,
Tải sản Có khác (*),Tải sản cố định và Bất động sản đầu tư > Tải sản Có khác (*),Tải sản Có khác (*),5.439,-,-,5.439,5439.0,,,5439.0
Tổng Tài sản,Tải sản cố định và Bất động sản đầu tư > Tổng Tài sản,Tổng Tài sản,6.140.917,36.004,12.138,6.189.059,6140917.0,36004.0,12138.0,6189059.0
Nợ phải trả và Vốn chủ sở hữu,Nợ phải trả và Vốn chủ sở hữu,Nợ phải trả và Vốn chủ sở hữu,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả và Vốn chủ sở hữu > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,3.995.435,72,-,3.995.507,3995435.0,72.0,,3995507.0
Tiền gửi của khách hàng,Nợ phải trả và Vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,2.528.527,231,1.375,2.530.133,2528527.0,231.0,1375.0,2530133.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả và Vốn chủ sở hữu > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,33.460,-,33.460,,33460.0,,33460.0
Các khoản nợ khác,Nợ phải trả và Vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,2.384,-,-,2.384,2384.0,,,2384.0
Vốn và các quý,Vốn và các quý,Vốn và các quý,-,-,-,-,,,,
Tổng Nợ phải trả và Vốn chủ sở hữu,Vốn và các quý > Tổng Nợ phải trả và Vốn chủ sở hữu,Tổng Nợ phải trả và Vốn chủ sở hữu,6.526.346,33.763,1.375,6.561.484,6526346.0,33763.0,1375.0,6561484.0
Trạng thái tiền tệ nội bảng,Vốn và các quý > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,(385.429),2.241,10.763,(372.425),-385429.0,2241.0,10763.0,-372425.0
Trạng thái tiền tệ ngoại bảng,Vốn và các quý > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,(739.040),-,-,(739.040),-739040.0,,,-739040.0
"Trạng thái tiền tệ nội, ngoại bảng","Vốn và các quý > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",(1.124.469),2.241,10.763,(1.111.465),-1124469.0,2241.0,10763.0,-1111465.0
