row_label_raw,row_label_full,col_0,Đơn vị tính: VND,numeric__Đơn vị tính: VND
,,,Tổng cộng,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Số đầu năm,Số đầu năm,-,
- Tăng trong năm,Số đầu năm > - Tăng trong năm,- Tăng trong năm,348.433.822.544,348433822544.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,348.433.822.544,348433822544.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,
Đã khấu hao hết,Đã khấu hao hết,Đã khấu hao hết,-,
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Số đầu năm,Số đầu năm,-,
- Khấu hao trong kỳ,Số đầu năm > - Khấu hao trong kỳ,- Khấu hao trong kỳ,11.455.358.550,11455358550.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,11.455.358.550,11455358550.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Số đầu năm,Số đầu năm,-,
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,336.978.463.994,336978463994.0
