row_label_raw,row_label_full,col_0,Từ ngày 15/01/2015đến ngày 31/12/2015,Từ ngày 01/01/2014đến ngày 14/01/2015(Trình bày lại),numeric__Từ ngày 15/01/2015đến ngày 31/12/2015,numeric__Từ ngày 01/01/2014đến ngày 14/01/2015(Trình bày lại)
,,,VND,VND,,
Doanh thu kinh doanh Ure,Doanh thu kinh doanh Ure,Doanh thu kinh doanh Ure,5.307.053.911.180,5.962.121.975.079,5307053911180.0,5962121975079.0
- Bán trong nước,- Bán trong nước,- Bán trong nước,5.043.230.014.360,5.376.765.199.578,5043230014360.0,5376765199578.0
- Xuất khẩu,- Xuất khẩu,- Xuất khẩu,263.823.896.820,585.356.775.501,263823896820.0,585356775501.0
Doanh thu kinh doanh Amoniac,Doanh thu kinh doanh Amoniac,Doanh thu kinh doanh Amoniac,112.730.522.160,109.516.553.582,112730522160.0,109516553582.0
Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,214.323.492.660,294.791.736.333,214323492660.0,294791736333.0
Doanh thu bán phế phẩm,Doanh thu bán phế phẩm,Doanh thu bán phế phẩm,24.240.000.000,58.525.714.994,24240000000.0,58525714994.0
Doanh thu khác,Doanh thu khác,Doanh thu khác,-,12.857.840.642,,12857840642.0
,,,5.658.347.926.000,6.437.813.820.630,5658347926000.0,6437813820630.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,,
Chiết khấu thương mại,Các khoản giảm trừ doanh thu > Chiết khấu thương mại,Chiết khấu thương mại,82.425.685.037,66.125.735.749,82425685037.0,66125735749.0
Giảm giá hàng bán,Các khoản giảm trừ doanh thu > Giảm giá hàng bán,Giảm giá hàng bán,5.042.515.000,7.756.543.809,5042515000.0,7756543809.0
,,,87.468.200.037,73.882.279.558,87468200037.0,73882279558.0
Doanh thu phát sinh trong kỳ với các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 36),Các khoản giảm trừ doanh thu > Doanh thu phát sinh trong kỳ với các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 36),Doanh thu phát sinh trong kỳ với các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 36),69.420.000.000,285.748.914.973,69420000000.0,285748914973.0
