row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > VND Giá trị hợp lý,Số cuối năm > Giá gốc_1,Số cuối năm > Dự phòng_1,Số đầu năm > VND Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > VND Giá trị hợp lý,numeric__Số cuối năm > Giá gốc_1,numeric__Số cuối năm > Dự phòng_1,numeric__Số đầu năm > VND Giá trị hợp lý
"c. Đầu tư vào công ty liên doanh, liên kết","c. Đầu tư vào công ty liên doanh, liên kết","c. Đầu tư vào công ty liên doanh, liên kết",432.579.247.897,(2.002.000.000),,430.079.247.897,(2.002.000.000),,432579247897.0,-2002000000.0,,430079247897.0,-2002000000.0,
Công ty TNHH Kính nổi Việt Nam (i),Công ty TNHH Kính nổi Việt Nam (i),Công ty TNHH Kính nổi Việt Nam (i),286.821.000.000,-,,286.821.000.000,-,,286821000000.0,,,286821000000.0,,
Công ty SanVig - CTCP (i),Công ty SanVig - CTCP (i),Công ty SanVig - CTCP (i),126.146.020.560,-,,126.146.020.560,-,,126146020560.0,,,126146020560.0,,
Công ty Cổ phần Gạch ngói Từ Sơn (ii),Công ty Cổ phần Gạch ngói Từ Sơn (ii),Công ty Cổ phần Gạch ngói Từ Sơn (ii),4.837.506.400,-,12.218.444.000,4.837.506.400,-,7.680.164.800,4837506400.0,,12218444000.0,4837506400.0,,7680164800.0
Công ty Cổ phần Gốm xây dựng Yên Hưng (ii),Công ty Cổ phần Gốm xây dựng Yên Hưng (ii),Công ty Cổ phần Gốm xây dựng Yên Hưng (ii),2.002.000.000,(2.002.000.000),4.342.000.000,2.002.000.000,(2.002.000.000),4.680.000.000,2002000000.0,-2002000000.0,4342000000.0,2002000000.0,-2002000000.0,4680000000.0
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera (i),Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera (i),Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera (i),9.289.858.320,-,,6.789.858.320,-,,9289858320.0,,,6789858320.0,,
Công ty Cổ phần Gạch chịu lửa Cầu Đường (i),Công ty Cổ phần Gạch chịu lửa Cầu Đường (i),Công ty Cổ phần Gạch chịu lửa Cầu Đường (i),3.482.862.617,-,,3.482.862.617,-,,3482862617.0,,,3482862617.0,,
d. Đầu tư vào đơn vị khác,d. Đầu tư vào đơn vị khác,d. Đầu tư vào đơn vị khác,8.242.682.344,(624.690.203),,8.242.682.344,(624.690.203),,8242682344.0,-624690203.0,,8242682344.0,-624690203.0,
Công ty Cổ phần Phát triển và Kinh doanh nhà Vĩnh Phúc (i),Công ty Cổ phần Phát triển và Kinh doanh nhà Vĩnh Phúc (i),Công ty Cổ phần Phát triển và Kinh doanh nhà Vĩnh Phúc (i),1.305.017.929,(605.000.000),,1.305.017.929,(605.000.000),,1305017929.0,-605000000.0,,1305017929.0,-605000000.0,
Công ty Cổ phần Visaho (i),Công ty Cổ phần Visaho (i),Công ty Cổ phần Visaho (i),5.400.000.000,-,,5.400.000.000,-,,5400000000.0,,,5400000000.0,,
Công ty Cổ phần Cầu Xây (i),Công ty Cổ phần Cầu Xây (i),Công ty Cổ phần Cầu Xây (i),1.184.497.242,-,,1.184.497.242,-,,1184497242.0,,,1184497242.0,,
Công ty Cổ phần Tư vấn xây dựng Viglacera Land (i),Công ty Cổ phần Tư vấn xây dựng Viglacera Land (i),Công ty Cổ phần Tư vấn xây dựng Viglacera Land (i),353.167.173,(19.690.203),,353.167.173,(19.690.203),,353167173.0,-19690203.0,,353167173.0,-19690203.0,
,,,2.836.900.566.677,(392.073.892.407),,2.640.633.709.172,(364.309.823.519),,2836900566677.0,-392073892407.0,,2640633709172.0,-364309823519.0,
