row_label_raw,row_label_full,Bên liên quan khác,Mối quan hệ,numeric__Mối quan hệ
Công ty Cổ phần Khoáng sản Becamex,Công ty Cổ phần Khoáng sản Becamex,Công ty Cổ phần Khoáng sản Becamex,Công ty cùng Tập đoàn,
Công ty Liên doanh TNHH Khu công nghiệp Việt Nam - Singapore,Công ty Liên doanh TNHH Khu công nghiệp Việt Nam - Singapore,Công ty Liên doanh TNHH Khu công nghiệp Việt Nam - Singapore,Công ty liên kết với Công ty mẹ,
Công ty Cổ phần Setia - Becamex,Công ty Cổ phần Setia - Becamex,Công ty Cổ phần Setia - Becamex,Công ty liên kết với Công ty mẹ,
Công ty Cổ phần Phát triển Công nghiệp và Đồ thị Việt Nam - Singapore (VSIP JSC),Công ty Cổ phần Phát triển Công nghiệp và Đồ thị Việt Nam - Singapore (VSIP JSC),Công ty Cổ phần Phát triển Công nghiệp và Đồ thị Việt Nam - Singapore (VSIP JSC),Công ty liên kết với Công ty mẹ,
Công ty Cổ phần Bảo hiểm Hùng Vương,Công ty Cổ phần Bảo hiểm Hùng Vương,Công ty Cổ phần Bảo hiểm Hùng Vương,Công ty liên kết với Công ty mẹ,
Công ty Cổ phần Dược phẩm Savi,Công ty Cổ phần Dược phẩm Savi,Công ty Cổ phần Dược phẩm Savi,Công ty liên kết với Công ty mẹ,
Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,Công ty liên kết với Công ty mẹ,
Công ty TNHH Becamex Tokyo,Công ty TNHH Becamex Tokyo,Công ty TNHH Becamex Tokyo,Công ty liên kết với Công ty mẹ,
Công ty Cổ phần Phát triển Giáo dục Miền Đông,Công ty Cổ phần Phát triển Giáo dục Miền Đông,Công ty Cổ phần Phát triển Giáo dục Miền Đông,Công ty liên kết với Công ty mẹ,
Công ty Cổ phần Nước & Môi trường Bình Dương,Công ty Cổ phần Nước & Môi trường Bình Dương,Công ty Cổ phần Nước & Môi trường Bình Dương,Công ty liên kết với Công ty mẹ,
Công ty Cổ phần Phát triển & Công nghệ,Công ty Cổ phần Phát triển & Công nghệ,Công ty Cổ phần Phát triển & Công nghệ,Công ty liên kết với Công ty mẹ,
Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật Becamex - Bình Phước,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật Becamex - Bình Phước,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật Becamex - Bình Phước,Công ty liên kết với Công ty mẹ,
Công ty Cổ phần Phát triển Công nghiệp BW,Công ty Cổ phần Phát triển Công nghiệp BW,Công ty Cổ phần Phát triển Công nghiệp BW,Công ty liên kết với Công ty mẹ,
