row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Chênh lệch tỷ giá hối đoái,Lỗ lũy kế,Ngàn VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Chênh lệch tỷ giá hối đoái,numeric__Lỗ lũy kế,numeric__Ngàn VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,11.085.538.950,1.170.127.000,(2.217.695.545),(7.003.497.410),3.034.472.995,11085538950.0,1170127000.0,-2217695545.0,-7003497410.0,3034472995.0
Lỗ thuần trong năm,Năm trước > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,(1.098.460.718),(1.098.460.718),,,,-1098460718.0,-1098460718.0
Chênh lệch tỷ giá hối đoái,Năm trước > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,319.838.694,-,319.838.694,,,319838694.0,,319838694.0
Thù lao Hội Đồng Quản Trị và Ban Kiểm Soát,Năm trước > Thù lao Hội Đồng Quản Trị và Ban Kiểm Soát,Thù lao Hội Đồng Quản Trị và Ban Kiểm Soát,-,-,-,(144.000),(144.000),,,,-144000.0,-144000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,11.085.538.950,1.170.127.000,(1.897.856.851),(8.102.102.128),2.255.706.971,11085538950.0,1170127000.0,-1897856851.0,-8102102128.0,2255706971.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,11.085.538.950,1.170.127.000,(1.897.856.851),(8.102.102.128),2.255.706.971,11085538950.0,1170127000.0,-1897856851.0,-8102102128.0,2255706971.0
Lỗ thuần trong năm,Năm nay > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,(1.281.878.648),(1.281.878.648),,,,-1281878648.0,-1281878648.0
Chênh lệch tỷ giá hối đoái,Năm nay > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,661.947.459,-,661.947.459,,,661947459.0,,661947459.0
Thù lao Hội Đồng Quản Trị và Ban Kiểm Soát,Năm nay > Thù lao Hội Đồng Quản Trị và Ban Kiểm Soát,Thù lao Hội Đồng Quản Trị và Ban Kiểm Soát,-,-,-,(144.000),(144.000),,,,-144000.0,-144000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,11.085.538.950,1.170.127.000,(1.235.909.392),(9.384.124.776),1.635.631.782,11085538950.0,1170127000.0,-1235909392.0,-9384124776.0,1635631782.0
