row_label_raw,row_label_full,col_0,Thuyết minh,Số cuối năm VND,Số đầu năm VND,numeric__Thuyết minh,numeric__Số cuối năm VND,numeric__Số đầu năm VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,787.773.771.826,779.733.563.086,5.0,787773771826.0,779733563086.0
Tiền gửi tại Ngân hàng Nhà nước,TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,6,2.377.473.012.237,6.965.365.039.785,6.0,2377473012237.0,6965365039785.0
Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,TÀI SẢN > Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,,39.126.199.257.631,33.900.216.479.510,,39126199257631.0,33900216479510.0
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,7.1,38.922.550.757.631,32.303.914.945.061,71.0,38922550757631.0,32303914945061.0
Cho vay các TCTD khác,TÀI SẢN > Cho vay các TCTD khác,Cho vay các TCTD khác,7.2,203.648.500.000,1.596.301.534.449,72.0,203648500000.0,1596301534449.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,-,41.473.565.365,8.0,,41473565365.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,168.295.145.827.686,144.704.316.896.607,,168295145827686.0,144704316896607.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,9,170.844.469.638.663,147.206.466.215.571,9.0,170844469638663.0,147206466215571.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,10,(2.549.323.810.977),(2.502.149.318.964),10.0,-2549323810977.0,-2502149318964.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,11,5.041.128.156.935,546.768.250.000,11.0,5041128156935.0,546768250000.0
Mua nợ,TÀI SẢN > Mua nợ,Mua nợ,,5.079.222.324.368,550.900.000.000,,5079222324368.0,550900000000.0
Dự phòng rủi ro hoạt động mua nợ,TÀI SẢN > Dự phòng rủi ro hoạt động mua nợ,Dự phòng rủi ro hoạt động mua nợ,,(38.094.167.433),(4.131.750.000),,-38094167433.0,-4131750000.0
