row_label_raw,row_label_full,col_0,EUR được quy đổi VND,USD được quy đổi VND,Giá trị vàng tiền tệ được quy đổi VND,Các loại ngoại tệ khác quy đổi VND,Tổng cộng VND,numeric__EUR được quy đổi VND,numeric__USD được quy đổi VND,numeric__Giá trị vàng tiền tệ được quy đổi VND,numeric__Các loại ngoại tệ khác quy đổi VND,numeric__Tổng cộng VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
"Tiền mật, vàng bạc, đá quý","Tài sản > Tiền mật, vàng bạc, đá quý","Tiền mật, vàng bạc, đá quý",4.983.677.046,71.302.384.706,91.520.000,4.392.458.364,80.770.040.116,4983677046.0,71302384706.0,91520000.0,4392458364.0,80770040116.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,149.960.919.227,-,-,149.960.919.227,,149960919227.0,,,149960919227.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,25.020.759.155,3.263.323.924.876,-,141.845.598.202,3.430.190.282.233,25020759155.0,3263323924876.0,,141845598202.0,3430190282233.0
Cho vay khách hàng và mua nợ - gộp,Tài sản > Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,-,709.691.828.642,-,-,709.691.828.642,,709691828642.0,,,709691828642.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,13.177.148,269.142.383.134,-,4.014.335,269.159.574.617,13177148.0,269142383134.0,,4014335.0,269159574617.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,30.017.613.349,4.463.421.440.585,91.520.000,146.242.070.901,4.639.772.644.835,30017613349.0,4463421440585.0,91520000.0,146242070901.0,4639772644835.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,
Tiền gửi và vay các tổ chức tin dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tin dụng khác,Tiền gửi và vay các tổ chức tin dụng khác,-,4.146.223.218.863,-,-,4.146.223.218.863,,4146223218863.0,,,4146223218863.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,26.856.678.673,1.409.970.786.280,-,113.324.293.237,1.550.151.758.190,26856678673.0,1409970786280.0,,113324293237.0,1550151758190.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,(6.732.793.656.564),-,-,(6.732.793.656.564),,-6732793656564.0,,,-6732793656564.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,5.855.455.000.000,-,-,5.855.455.000.000,,5855455000000.0,,,5855455000000.0
Các khoản nợ khác - gộp,Nợ phải trả > Các khoản nợ khác - gộp,Các khoản nợ khác - gộp,2.389.104.691,102.033.911.344,11.019.008,1.568.724.998,106.002.760.041,2389104691.0,102033911344.0,11019008.0,1568724998.0,106002760041.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,29.245.783.364,4.780.889.259.923,11.019.008,114.893.018.235,4.925.039.080.530,29245783364.0,4780889259923.0,11019008.0,114893018235.0,4925039080530.0
Trạng thái tiền tệ nội bảng,Nợ phải trả > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,771.829.985,(317.467.819.338),80.500.992,31.349.052.666,(285.266.435.695),771829985.0,-317467819338.0,80500992.0,31349052666.0,-285266435695.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,-,557.430.496.921,-,(23.038.800.000),534.391.696.921,,557430496921.0,,-23038800000.0,534391696921.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",771.829.985,239.962.677.583,80.500.992,8.310.252.666,249.125.261.226,771829985.0,239962677583.0,80500992.0,8310252666.0,249125261226.0
