row_label_raw,row_label_full,col_0,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,9.670.775.746,8.355.993.396,9670775746.0,8355993396.0
- Các khoản phải trả nhân viên,- Các khoản phải trả nhân viên,- Các khoản phải trả nhân viên,9.670.775.746,8.355.993.396,9670775746.0,8355993396.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,4.965.712.407.647,7.493.612.693.442,4965712407647.0,7493612693442.0
- Phải trả dịch vụ thanh toán,- Phải trả dịch vụ thanh toán,- Phải trả dịch vụ thanh toán,4.291.219.908.450,4.657.030.842.725,4291219908450.0,4657030842725.0
- Thuế phải trả,- Thuế phải trả,- Thuế phải trả,358.300.087.671,397.507.826.869,358300087671.0,397507826869.0
- Phải trả dịch vụ kiểu hối,- Phải trả dịch vụ kiểu hối,- Phải trả dịch vụ kiểu hối,56.738.563.534,86.402.277.810,56738563534.0,86402277810.0
- Tiền giữ hộ và đợi thanh toán,- Tiền giữ hộ và đợi thanh toán,- Tiền giữ hộ và đợi thanh toán,36.245.740.820,507.484.606.668,36245740820.0,507484606668.0
- Cổ tức phải trả,- Cổ tức phải trả,- Cổ tức phải trả,17.992.908.126,18.021.133.195,17992908126.0,18021133195.0
- Các khoản phải trả khác,- Các khoản phải trả khác,- Các khoản phải trả khác,205.215.199.046,1.827.166.006.175,205215199046.0,1827166006175.0
Quỹ khen thưởng phúc lợi (*),Quỹ khen thưởng phúc lợi (*),Quỹ khen thưởng phúc lợi (*),163.334.313.087,135.715.048.773,163334313087.0,135715048773.0
,,,5.138.717.496.480,7.637.683.735.611,5138717496480.0,7637683735611.0
