row_label_raw,row_label_full,col_0,Ending balanceVND,Beginning balanceVND,numeric__Ending balanceVND,numeric__Beginning balanceVND
Internal receivables,Internal receivables,Internal receivables,"222,785,862,455","128,417,505,802",,
External receivables:,External receivables:,External receivables:,External receivables:,External receivables:,,
- Receivables from settlement services,- Receivables from settlement services,- Receivables from settlement services,"4,991,741,102,234","5,820,891,806,844",,
- Receivables from usance payable at sight letters of credit,- Receivables from usance payable at sight letters of credit,- Receivables from usance payable at sight letters of credit,"4,480,114,318,653","5,059,850,085,400",,
- Advances for court fee,- Advances for court fee,- Advances for court fee,"131,809,445,394","407,762,446,886",,
- Deposits for house rentals and other operating activities,- Deposits for house rentals and other operating activities,- Deposits for house rentals and other operating activities,"110,667,894,361","44,503,648,639",,
- Receivables from investment cooperation contracts (i),- Receivables from investment cooperation contracts (i),- Receivables from investment cooperation contracts (i),"63,168,780,509","49,412,739,886",,
- Tax receivables,- Tax receivables,- Tax receivables,"53,600,286,469","98,158,812,279",,
- Receivables from insurance agency services,- Receivables from insurance agency services,- Receivables from insurance agency services,"42,511,328,763","308,370,362",,
- Other receivables,- Other receivables,- Other receivables,"1,004,209","49,113,492",,
,,,"109,868,043,876","160,846,589,900",,
,,,"5,214,526,964,689","5,949,309,312,646",,
