row_label_raw,row_label_full,col_0,Land use rights VND,Computer software VND,Total VND,numeric__Land use rights VND,numeric__Computer software VND,numeric__Total VND
Cost,Cost,Cost,Cost,Cost,Cost,,,
As at 1 January 2024,As at 1 January 2024,As at 1 January 2024,"154,535,813,448","426,897,732,694","581,433,546,142",,,
New purchases,New purchases,New purchases,-,"8,441,378,429","8,441,378,429",,,
Upgrade,Upgrade,Upgrade,-,"20,476,338,293","20,476,338,293",,,
Transfer from Construction in progress,Transfer from Construction in progress,Transfer from Construction in progress,-,"41,989,340,771","41,989,340,771",,,
Disposals,Disposals,Disposals,"(14,985,658,500)",-,"(14,985,658,500)",,,
As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,"139,550,154,948","497,804,790,187","637,354,945,135",,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,
As at 1 January 2024,As at 1 January 2024,As at 1 January 2024,"2,751,722,389","293,657,657,399","296,409,379,788",,,
Amortization for the year,Amortization for the year,Amortization for the year,"163,753,934","51,575,068,130","51,738,822,064",,,
As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,"2,915,476,323","345,232,725,529","348,148,201,852",,,
Net carrying amount,Net carrying amount,Net carrying amount,Net carrying amount,Net carrying amount,Net carrying amount,,,
As at 1 January 2024,As at 1 January 2024,As at 1 January 2024,"151,784,091,059","133,240,075,295","285,024,166,354",,,
As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,"136,634,678,625","152,572,064,658","289,206,743,283",,,
