row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
D - VỐN CHỦ SỞ HỮU,D - VỐN CHỦ SỞ HỮU,D - VỐN CHỦ SỞ HỮU,D - VỐN CHỦ SỞ HỮU,400,,3.343.796.507.707,2.070.241.194.880,,400.0,,3343796507707.0,2070241194880.0
I.,I.,I.,Vốn chủ sở hữu,410,,3.343.796.507.707,2.070.241.194.880,,410.0,,3343796507707.0,2070241194880.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,V.25,2.170.973.230.000,1.370.973.230.000,,411.0,,2170973230000.0,1370973230000.0
-,-,-,Cổ phiếu phổ thông có quyền biểu quyết,411a,,2.170.973.230.000,1.370.973.230.000,,,,2170973230000.0,1370973230000.0
-,-,-,Cổ phiếu ưu đãi,411b,,-,-,,,,,
2.,- > 2.,2.,Thặng dư vốn cổ phần,412,V.25,211.326.226.000,10.420.226.000,,412.0,,211326226000.0,10420226000.0
3.,- > 3.,3.,Quyền chọn chuyển đổi trái phiếu,413,,-,-,,413.0,,,
4.,- > 4.,4.,Vốn khác của chủ sở hữu,414,,10.801.285.907,9.903.670.629,,414.0,,10801285907.0,9903670629.0
5.,- > 5.,5.,Cổ phiếu quỹ,415,,-,-,,415.0,,,
6.,- > 6.,6.,Chênh lệch đánh giá lại tài sản,416,,-,-,,416.0,,,
7.,- > 7.,7.,Chênh lệch tỷ giá hối đoái,417,,-,-,,417.0,,,
8.,- > 8.,8.,Quỹ đầu tư phát triển,418,V.25,272.637.198.098,156.843.280.175,,418.0,,272637198098.0,156843280175.0
9.,- > 9.,9.,Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,-,-,,419.0,,,
10.,- > 10.,10.,Quỹ khác thuộc vốn chủ sở hữu,420,,-,-,,420.0,,,
11.,- > 11.,11.,Lợi nhuận sau thuế chưa phân phối,421,V.25,678.058.567.702,522.100.788.076,,421.0,,678058567702.0,522100788076.0
-,- > -,-,Lợi nhuận sau thuế chưa phân phối lũy kể đến cuối kỳ trước,421a,,59.199.227.028,522.100.788.076,,,,59199227028.0,522100788076.0
-,- > -,-,Lợi nhuận sau thuế chưa phân phối kỳ này,421b,,618.859.340.674,-,,,,618859340674.0,
12.,- > 12.,12.,Nguồn vốn đầu tư xây dựng cơ bản,422,,-,-,,422.0,,,
13.,- > 13.,13.,Lợi ích cổ đông không kiểm soát,429,,-,-,,429.0,,,
II.,- > II.,II.,Nguồn kinh phí và quỹ khác,430,,-,-,,430.0,,,
1.,- > 1.,1.,Nguồn kinh phí,431,,-,-,,431.0,,,
2.,- > 2.,2.,Nguồn kinh phí đã hình thành tài sản cổ định,432,,-,-,,432.0,,,
,,,TỔNG CỘNG NGUỒN VỐN,440,,6.808.654.305.266,6.641.763.155.182,,440.0,,6808654305266.0,6641763155182.0
