row_label_raw,row_label_full,col_0,31/12/2025 (VND) > Giá gốc,31/12/2025 (VND) > Dự phòng,31/12/2025 (VND) > Giá trị có thể thu hồi,01/01/2025 (VND) > Giá gốc,01/01/2025 (VND) > Dự phòng,01/01/2025 (VND) > Giá trị có thể thu hồi,numeric__31/12/2025 (VND) > Giá gốc,numeric__31/12/2025 (VND) > Dự phòng,numeric__31/12/2025 (VND) > Giá trị có thể thu hồi,numeric__01/01/2025 (VND) > Giá gốc,numeric__01/01/2025 (VND) > Dự phòng,numeric__01/01/2025 (VND) > Giá trị có thể thu hồi
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,201.025.177.781,(183.756.760.892),17.268.416.889,199.811.029.224,(180.109.612.335),19.701.416.889,201025177781.0,-183756760892.0,17268416889.0,199811029224.0,-180109612335.0,19701416889.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,7.464.341.026,(7.464.341.026),-,7.464.341.026,(7.464.341.026),-,7464341026.0,-7464341026.0,,7464341026.0,-7464341026.0,
- Công ty Cổ phần Thương mại Mika,- Công ty Cổ phần Thương mại Mika,- Công ty Cổ phần Thương mại Mika,6.647.496.885,(6.647.496.885),-,6.647.496.885,(6.647.496.885),-,6647496885.0,-6647496885.0,,6647496885.0,-6647496885.0,
- Các đối tượng khác,- Các đối tượng khác,- Các đối tượng khác,816.844.141,(816.844.141),-,816.844.141,(816.844.141),-,816844141.0,-816844141.0,,816844141.0,-816844141.0,
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,44.186.822.153,(26.922.220.118),17.264.602.035,44.186.822.153,(26.922.220.118),17.264.602.035,44186822153.0,-26922220118.0,17264602035.0,44186822153.0,-26922220118.0,17264602035.0
- Công ty Cổ phần Đầu tư và Xây dựng Sông Đà,- Công ty Cổ phần Đầu tư và Xây dựng Sông Đà,- Công ty Cổ phần Đầu tư và Xây dựng Sông Đà,43.284.161.557,(26.019.559.522),17.264.602.035,43.284.161.557,(26.019.559.522),17.264.602.035,43284161557.0,-26019559522.0,17264602035.0,43284161557.0,-26019559522.0,17264602035.0
- Các đối tượng khác,- Các đối tượng khác,- Các đối tượng khác,902.660.596,(902.660.596),-,902.660.596,(902.660.596),-,902660596.0,-902660596.0,,902660596.0,-902660596.0,
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,6.355.959.999,(6.355.959.999),-,5.900.000.000,(5.900.000.000),-,6355959999.0,-6355959999.0,,5900000000.0,-5900000000.0,
- Công ty Cổ phần Robot Tosy,- Công ty Cổ phần Robot Tosy,- Công ty Cổ phần Robot Tosy,5.786.659.999,(5.786.659.999),-,5.900.000.000,(5.900.000.000),-,5786659999.0,-5786659999.0,,5900000000.0,-5900000000.0,
- Công ty Cổ phần Giải pháp ăn nhanh Chickin,- Công ty Cổ phần Giải pháp ăn nhanh Chickin,- Công ty Cổ phần Giải pháp ăn nhanh Chickin,569.300.000,(569.300.000),-,-,-,-,569300000.0,-569300000.0,,,,
Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,1.831.713.688,(1.831.540.834),172.854,1.831.713.688,(1.831.540.834),172.854,1831713688.0,-1831540834.0,172854.0,1831713688.0,-1831540834.0,172854.0
Phải thu khác,Phải thu khác,Phải thu khác,141.186.340.915,(141.182.698.915),3.642.000,140.428.152.357,(137.991.510.357),2.436.642.000,141186340915.0,-141182698915.0,3642000.0,140428152357.0,-137991510357.0,2436642000.0
- Phải thu ứng tiền cho các cá nhân tại Công ty Cổ phần Viptour - Togi,- Phải thu ứng tiền cho các cá nhân tại Công ty Cổ phần Viptour - Togi,- Phải thu ứng tiền cho các cá nhân tại Công ty Cổ phần Viptour - Togi,46.240.000.000,(46.240.000.000),-,46.240.000.000,(46.240.000.000),-,46240000000.0,-46240000000.0,,46240000000.0,-46240000000.0,
- Công ty Cổ phần Dịch vụ Hỗ trợ và phát triển Đầu tư - IOC,- Công ty Cổ phần Dịch vụ Hỗ trợ và phát triển Đầu tư - IOC,- Công ty Cổ phần Dịch vụ Hỗ trợ và phát triển Đầu tư - IOC,14.663.642.060,(14.663.642.060),-,14.591.642.060,(14.591.642.060),-,14663642060.0,-14663642060.0,,14591642060.0,-14591642060.0,
- Bà Nguyễn Thị Dung,- Bà Nguyễn Thị Dung,- Bà Nguyễn Thị Dung,53.200.000.000,(53.200.000.000),-,53.200.000.000,(53.200.000.000),-,53200000000.0,-53200000000.0,,53200000000.0,-53200000000.0,
- Công ty Cổ phần Đầu Tư và Quản Lý Khách Sạn TNH Hội An,- Công ty Cổ phần Đầu Tư và Quản Lý Khách Sạn TNH Hội An,- Công ty Cổ phần Đầu Tư và Quản Lý Khách Sạn TNH Hội An,8.110.000.000,(8.110.000.000),-,8.110.000.000,(5.677.000.000),2.433.000.000,8110000000.0,-8110000000.0,,8110000000.0,-5677000000.0,2433000000.0
- Các đối tượng khác,- Các đối tượng khác,- Các đối tượng khác,18.972.698.855,(18.969.056.855),3.642.000,18.286.510.297,(18.282.868.297),3.642.000,18972698855.0,-18969056855.0,3642000.0,18286510297.0,-18282868297.0,3642000.0
Tổng,Tổng,Tổng,201.025.177.781,(183.756.760.892),17.268.416.889,199.811.029.224,(180.109.612.335),19.701.416.889,201025177781.0,-183756760892.0,17268416889.0,199811029224.0,-180109612335.0,19701416889.0
