row_label_raw,row_label_full,Đối tượng nợ,Số cuối năm > Giá gốc,Số cuối năm > Giá trị có thể thu hồi,Số đầu năm > Giá gốc,Số đầu năm > Giá trị có thể thu hồi,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị có thể thu hồi,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị có thể thu hồi
Các đối tác doanh nghiệp,Các đối tác doanh nghiệp,Các đối tác doanh nghiệp,,,,,,,,
Phải thu về gốc vay,Các đối tác doanh nghiệp > Phải thu về gốc vay,Phải thu về gốc vay,-,-,83.077.886.534,24.923.365.960,,,83077886534.0,24923365960.0
Phải thu về lãi vay,Các đối tác doanh nghiệp > Phải thu về lãi vay,Phải thu về lãi vay,-,-,4.153.894.327,1.246.168.298,,,4153894327.0,1246168298.0
Phải thu về lãi đặt cọc,Các đối tác doanh nghiệp > Phải thu về lãi đặt cọc,Phải thu về lãi đặt cọc,-,-,384.737.291.675,211.710.931.598,,,384737291675.0,211710931598.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,,,,,,,,
Phải thu khách hàng,Các đối tượng khác > Phải thu khách hàng,Phải thu khách hàng,4.944.255.910,-,4.944.255.910,-,4944255910.0,,4944255910.0,
Tổng cộng,Các đối tượng khác > Tổng cộng,Tổng cộng,4.944.255.910,-,476.913.328.446,237.880.465.856,4944255910.0,,476913328446.0,237880465856.0
Chi tiết các khoản nợ quá hạn chiếm trên 10% tổng nợ quá hạnMột đối tác doanhnghiệp,Các đối tượng khác > Chi tiết các khoản nợ quá hạn chiếm trên 10% tổng nợ quá hạnMột đối tác doanhnghiệp,Chi tiết các khoản nợ quá hạn chiếm trên 10% tổng nợ quá hạnMột đối tác doanhnghiệp,-,-,384.737.291.675,211.710.931.598,,,384737291675.0,211710931598.0
Một đối tác doanhnghiệp khác,Các đối tượng khác > Một đối tác doanhnghiệp khác,Một đối tác doanhnghiệp khác,-,-,83.077.886.534,24.923.365.960,,,83077886534.0,24923365960.0
