row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2022 Triệu VND,31/12/2021 Triệu VND,numeric__Thuyết minh,numeric__31/12/2022 Triệu VND,numeric__31/12/2021 Triệu VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
Tiền mặt và vàng,TÀI SẢN > Tiền mặt và vàng,Tiền mặt và vàng,4,1.617.912,1.521.561,4.0,1617912.0,1521561.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam (“NHNNVN”),TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước Việt Nam (“NHNNVN”),Tiền gửi tại Ngân hàng Nhà nước Việt Nam (“NHNNVN”),5,10.062.633,24.890.710,5.0,10062633.0,24890710.0
Tiền gửi và cho vay các tổ chức tín dụng (“TCTD”) khác,TÀI SẢN > Tiền gửi và cho vay các tổ chức tín dụng (“TCTD”) khác,Tiền gửi và cho vay các tổ chức tín dụng (“TCTD”) khác,6,51.899.808,27.985.117,6.0,51899808.0,27985117.0
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,,27.161.023,11.747.285,,27161023.0,11747285.0
Cho vay các TCTD khác,TÀI SẢN > Cho vay các TCTD khác,Cho vay các TCTD khác,,24.738.785,16.237.832,,24738785.0,16237832.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,7,20.958,-,7.0,20958.0,
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,228.879.243,199.116.430,,228879243.0,199116430.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,8,231.944.016,201.516.754,8.0,231944016.0,201516754.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,9,(3.064.773),(2.400.324),9.0,-3064773.0,-2400324.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,10,103.160,158.853,10.0,103160.0,158853.0
Mua nợ,TÀI SẢN > Mua nợ,Mua nợ,,103.912,160.026,,103912.0,160026.0
Dự phòng rủi ro hoạt động mua nợ,TÀI SẢN > Dự phòng rủi ro hoạt động mua nợ,Dự phòng rủi ro hoạt động mua nợ,,(752),(1.173),,-752.0,-1173.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,,40.278.720,44.737.181,,40278720.0,44737181.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,11,40.250.383,44.714.514,11.0,40250383.0,44714514.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,TÀI SẢN > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,12,42.380,42.380,12.0,42380.0,42380.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,13,(14.043),(19.713),13.0,-14043.0,-19713.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",14,419.457,169.544,14.0,419457.0,169544.0
Đầu tư vào công ty con,TÀI SẢN > Đầu tư vào công ty con,Đầu tư vào công ty con,,350.000,100.000,,350000.0,100000.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,69.667,69.719,,69667.0,69719.0
