row_label_raw,row_label_full,"Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)_1","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)_2","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)_3","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)_4","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)_5","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)_6","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)_1","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)_2","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)_3","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)_4","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)_5","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)_6"
,,,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị văn phòng Triệu VND,Tài sản cố định hữu hình khác Triệu VND,Tổng cộngTriệu VND,,,,,,
Nguyên giáSố dư đầu năm,Nguyên giáSố dư đầu năm,Nguyên giáSố dư đầu năm,104.316,484.150,56.313,85.140,106.067,835.986,104316.0,484150.0,56313.0,85140.0,106067.0,835986.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,6.234,117.227,22.707,31.016,10.781,187.965,6234.0,117227.0,22707.0,31016.0,10781.0,187965.0
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.146),(17.769),(8.611),(1.406),(3.678),(34.610),-3146.0,-17769.0,-8611.0,-1406.0,-3678.0,-34610.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,107.404,583.608,70.409,114.750,113.170,989.341,107404.0,583608.0,70409.0,114750.0,113170.0,989341.0
Hao mòn lũy kếSố dư đầu năm,Hao mòn lũy kếSố dư đầu năm,Hao mòn lũy kếSố dư đầu năm,52.930,304.575,43.458,44.132,89.111,534.206,52930.0,304575.0,43458.0,44132.0,89111.0,534206.0
Khấu hao trong năm,Khấu hao trong năm,Khấu hao trong năm,6.723,45.879,5.192,18.574,7.677,84.045,6723.0,45879.0,5192.0,18574.0,7677.0,84045.0
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.005),(17.760),(8.610),(1.346),(3.398),(34.119),-3005.0,-17760.0,-8610.0,-1346.0,-3398.0,-34119.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,56.648,332.694,40.040,61.360,93.390,584.132,56648.0,332694.0,40040.0,61360.0,93390.0,584132.0
Giá trị còn lạiSố dư đầu năm,Giá trị còn lạiSố dư đầu năm,Giá trị còn lạiSố dư đầu năm,51.386,179.575,12.855,41.008,16.956,301.780,51386.0,179575.0,12855.0,41008.0,16956.0,301780.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,50.756,250.914,30.369,53.390,19.780,405.209,50756.0,250914.0,30369.0,53390.0,19780.0,405209.0
