row_label_raw,row_label_full,col_0,31/12/2016,31/12/2015,numeric__31/12/2016,numeric__31/12/2015
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,132.328,147.266,132328.0,147266.0
2. Mua sắm tài sản cố định,2. Mua sắm tài sản cố định,2. Mua sắm tài sản cố định,54.232,48.377,54232.0,48377.0
3. Các khoản phải thu,3. Các khoản phải thu,3. Các khoản phải thu,34.927,30.742,34927.0,30742.0
4. Tài sản có khác,4. Tài sản có khác,4. Tài sản có khác,163.093,166.526,163093.0,166526.0
Cộng,Cộng,Cộng,384.580,392.911,384580.0,392911.0
14.1 Chi phí xây dựng cơ bản dở dang,14.1 Chi phí xây dựng cơ bản dở dang,14.1 Chi phí xây dựng cơ bản dở dang,31/12/2016,31/12/2015,,
Trong đó:,Trong đó:,Trong đó:,,,,
- Những công trình lớn,Trong đó: > - Những công trình lớn,- Những công trình lớn,132.328,147.266,132328.0,147266.0
Khảo sát thiết kế chi nhánh Phú Mỹ Hưng,Trong đó: > Khảo sát thiết kế chi nhánh Phú Mỹ Hưng,Khảo sát thiết kế chi nhánh Phú Mỹ Hưng,31.548,27.392,31548.0,27392.0
Xây dựng mới chi nhánh Hà Nội,Trong đó: > Xây dựng mới chi nhánh Hà Nội,Xây dựng mới chi nhánh Hà Nội,524,22.748,524.0,22748.0
Đất 50 Nguyễn Tất Thành Đaklak,Trong đó: > Đất 50 Nguyễn Tất Thành Đaklak,Đất 50 Nguyễn Tất Thành Đaklak,17.233,15.897,17233.0,15897.0
Xây dựng chi nhánh Quảng Ninh,Trong đó: > Xây dựng chi nhánh Quảng Ninh,Xây dựng chi nhánh Quảng Ninh,94,20.132,94.0,20132.0
Xây dựng chi nhánh Hải Phòng,Trong đó: > Xây dựng chi nhánh Hải Phòng,Xây dựng chi nhánh Hải Phòng,65.746,50.492,65746.0,50492.0
Khác,Trong đó: > Khác,Khác,17.183,10.606,17183.0,10606.0
Cộng,Trong đó: > Cộng,Cộng,132.328,147.266,132328.0,147266.0
14.2 Mua sắm tài sản cố định,14.2 Mua sắm tài sản cố định,14.2 Mua sắm tài sản cố định,31/12/2016,31/12/2015,,
Trong đó:,Trong đó:,Trong đó:,,,,
Ba căn nhà Mỹ Phước 3,Trong đó: > Ba căn nhà Mỹ Phước 3,Ba căn nhà Mỹ Phước 3,3.370,3.370,3370.0,3370.0
Nhà 40 Nguyễn Thái Bình Quận 1,Trong đó: > Nhà 40 Nguyễn Thái Bình Quận 1,Nhà 40 Nguyễn Thái Bình Quận 1,19.339,19.339,19339.0,19339.0
Đất Xây dựng Phòng Giao Dịch Quận 2,Trong đó: > Đất Xây dựng Phòng Giao Dịch Quận 2,Đất Xây dựng Phòng Giao Dịch Quận 2,24.751,24.751,24751.0,24751.0
Khác,Trong đó: > Khác,Khác,6.772,917,6772.0,917.0
Cộng,Trong đó: > Cộng,Cộng,54.232,48.377,54232.0,48377.0
14.3 Các khoản phải thu,14.3 Các khoản phải thu,14.3 Các khoản phải thu,31/12/2016,31/12/2015,,
- Các khoản phải thu nội bộ,14.3 Các khoản phải thu > - Các khoản phải thu nội bộ,- Các khoản phải thu nội bộ,23.080,22.088,23080.0,22088.0
"Tham ô, thiếu mất tiên, tài sản thiếu chờ xử lý (*)","14.3 Các khoản phải thu > Tham ô, thiếu mất tiên, tài sản thiếu chờ xử lý (*)","Tham ô, thiếu mất tiên, tài sản thiếu chờ xử lý (*)",18.139,18.139,18139.0,18139.0
Tạm ứng nghiệp vụ,14.3 Các khoản phải thu > Tạm ứng nghiệp vụ,Tạm ứng nghiệp vụ,2.835,2.489,2835.0,2489.0
Các khoản phải thu khác,14.3 Các khoản phải thu > Các khoản phải thu khác,Các khoản phải thu khác,2.106,1.460,2106.0,1460.0
- Các khoản phải thu bên ngoài,14.3 Các khoản phải thu > - Các khoản phải thu bên ngoài,- Các khoản phải thu bên ngoài,11.847,8.654,11847.0,8654.0
Khoản khác chờ Nhà nước thanh toán (**),14.3 Các khoản phải thu > Khoản khác chờ Nhà nước thanh toán (**),Khoản khác chờ Nhà nước thanh toán (**),4.664,4.664,4664.0,4664.0
Các khoản khác,14.3 Các khoản phải thu > Các khoản khác,Các khoản khác,7.183,3.990,7183.0,3990.0
Cộng,14.3 Các khoản phải thu > Cộng,Cộng,34.927,30.742,34927.0,30742.0
