row_label_raw,row_label_full,col_0,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
,,,VND,VND,,
Giá trị hàng mua và dịch vụ cung cấp (Tiếp theo),Giá trị hàng mua và dịch vụ cung cấp (Tiếp theo),Giá trị hàng mua và dịch vụ cung cấp (Tiếp theo),Giá trị hàng mua và dịch vụ cung cấp (Tiếp theo),Giá trị hàng mua và dịch vụ cung cấp (Tiếp theo),,
Công ty TNHH MTV Vận tải Xăng dầu Dầu khí Việt Nam,Giá trị hàng mua và dịch vụ cung cấp (Tiếp theo) > Công ty TNHH MTV Vận tải Xăng dầu Dầu khí Việt Nam,Công ty TNHH MTV Vận tải Xăng dầu Dầu khí Việt Nam,7.290.811.680,-,7290811680.0,
Công ty Cổ phần Thương mại và Dịch vụ Kỹ thuật,Giá trị hàng mua và dịch vụ cung cấp (Tiếp theo) > Công ty Cổ phần Thương mại và Dịch vụ Kỹ thuật,Công ty Cổ phần Thương mại và Dịch vụ Kỹ thuật,5.023.838.940,17.850.102.480,5023838940.0,17850102480.0
Khoan Dầu khí PVD,Khoan Dầu khí PVD,Khoan Dầu khí PVD,,,,
Tập đoàn Công nghiệp - Năng lượng Quốc gia Việt Nam,Khoan Dầu khí PVD > Tập đoàn Công nghiệp - Năng lượng Quốc gia Việt Nam,Tập đoàn Công nghiệp - Năng lượng Quốc gia Việt Nam,4.969.154.585,761.020.203,4969154585.0,761020203.0
Công ty Cổ phần Sản xuất và Chế biến Dầu khí Phú Mỹ,Khoan Dầu khí PVD > Công ty Cổ phần Sản xuất và Chế biến Dầu khí Phú Mỹ,Công ty Cổ phần Sản xuất và Chế biến Dầu khí Phú Mỹ,2.981.997.494,-,2981997494.0,
Công ty Cổ phần Chứng khoán Dầu khí,Khoan Dầu khí PVD > Công ty Cổ phần Chứng khoán Dầu khí,Công ty Cổ phần Chứng khoán Dầu khí,1.751.600.000,449.818.182,1751600000.0,449818182.0
Viện Dầu khí Việt Nam,Khoan Dầu khí PVD > Viện Dầu khí Việt Nam,Viện Dầu khí Việt Nam,1.672.272.241,3.402.951.059,1672272241.0,3402951059.0
Công ty Cổ phần Vận tải Dầu khí Đông Dương,Khoan Dầu khí PVD > Công ty Cổ phần Vận tải Dầu khí Đông Dương,Công ty Cổ phần Vận tải Dầu khí Đông Dương,1.253.170.908,2.153.750.000,1253170908.0,2153750000.0
Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí,Khoan Dầu khí PVD > Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí,944.755.524,-,944755524.0,
Việt Nam,Việt Nam,Việt Nam,,,,
Công ty Cổ phần Kinh doanh khí Miền Nam,Việt Nam > Công ty Cổ phần Kinh doanh khí Miền Nam,Công ty Cổ phần Kinh doanh khí Miền Nam,944.208.571,-,944208571.0,
Công ty Cổ phần Xăng dầu Dầu khí Hà Nội,Việt Nam > Công ty Cổ phần Xăng dầu Dầu khí Hà Nội,Công ty Cổ phần Xăng dầu Dầu khí Hà Nội,889.200.000,2.257.174.960,889200000.0,2257174960.0
Tổng Công ty Tư vấn Thiết kế Dầu khí - Công ty Cổ phần,Việt Nam > Tổng Công ty Tư vấn Thiết kế Dầu khí - Công ty Cổ phần,Tổng Công ty Tư vấn Thiết kế Dầu khí - Công ty Cổ phần,786.223.282,11.063.729.854,786223282.0,11063729854.0
