row_label_raw,row_label_full,Chỉ tiêu,Sản phẩmlọc hóa dầu,Sản xuất bao bì vàthương mại dịch vụ,Loại trừ nội bộ,Tổng,numeric__Sản phẩmlọc hóa dầu,numeric__Sản xuất bao bì vàthương mại dịch vụ,numeric__Loại trừ nội bộ,numeric__Tổng
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Sản phẩmlọc hóa dầu,Sản xuất bao bì vàthương mại dịch vụ,Loại trừ nội bộ,Tổng,,,,
,,,VND,VND,VND,VND,,,,
Doanh thu thuần,Chỉ tiêu > Doanh thu thuần,Doanh thu thuần,122.986.399.077.561,813.040.460.823,(772.375.658.825),123.027.063.879.559,122986399077561.0,813040460823.0,-772375658825.0,123027063879559.0
Chi phí sản xuất kinh doanh,Chỉ tiêu > Chi phí sản xuất kinh doanh,Chi phí sản xuất kinh doanh,123.697.688.399.735,796.647.018.242,(744.898.573.430),123.749.436.844.547,123697688399735.0,796647018242.0,-744898573430.0,123749436844547.0
- Giá vốn hàng bán và dịch vụ cung cấp,Chỉ tiêu > - Giá vốn hàng bán và dịch vụ cung cấp,- Giá vốn hàng bán và dịch vụ cung cấp,122.493.692.915.331,773.962.279.271,(731.661.044.869),122.535.994.149.733,122493692915331.0,773962279271.0,-731661044869.0,122535994149733.0
- Chi phí bán hàng,Chỉ tiêu > - Chi phí bán hàng,- Chi phí bán hàng,647.185.684.941,4.880.867.754,-,652.066.552.695,647185684941.0,4880867754.0,,652066552695.0
- Chi phí quản lý doanh nghiệp,Chỉ tiêu > - Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,556.809.799.463,17.803.871.217,(13.237.528.561),561.376.142.119,556809799463.0,17803871217.0,-13237528561.0,561376142119.0
Kết quả kinh doanh theo bộ phận,Chỉ tiêu > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,(711.289.322.174),16.393.442.581,(27.477.085.395),(722.372.964.988),-711289322174.0,16393442581.0,-27477085395.0,-722372964988.0
Doanh thu hoạt động tài chính,Chỉ tiêu > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,2.230.357.606.975,,,,2230357606975.0
Chi phí tài chính,Chỉ tiêu > Chi phí tài chính,Chi phí tài chính,,,,799.915.742.468,,,,799915742468.0
Lợi nhuận khác,Chỉ tiêu > Lợi nhuận khác,Lợi nhuận khác,,,,27.929.911.099,,,,27929911099.0
Lợi nhuận trước thuế thu nhập doanh nghiệp,Chỉ tiêu > Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,,,,735.998.810.618,,,,735998810618.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chỉ tiêu > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,135.164.781.790,,,,135164781790.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chỉ tiêu > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,9.742.441.373,,,,9742441373.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chỉ tiêu > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,591.091.587.455,,,,591091587455.0
