row_label_raw,row_label_full,col_0,Quyền sử dụng đấtVND,"Nhà cửa,vật kiến trúcVND",Tổng cộngVND,numeric__Quyền sử dụng đấtVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,99.499.152.000,235.057.715.544,334.556.867.544,99499152000.0,235057715544.0,334556867544.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,99.499.152.000,235.057.715.544,334.556.867.544,99499152000.0,235057715544.0,334556867544.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,7.646.977.293,65.964.063.386,73.611.040.679,7646977293.0,65964063386.0,73611040679.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,1.005.683.040,9.556.881.527,10.562.564.567,1005683040.0,9556881527.0,10562564567.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,8.652.660.333,75.520.944.913,84.173.605.246,8652660333.0,75520944913.0,84173605246.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,90.846.491.667,159.536.770.631,250.383.262.298,90846491667.0,159536770631.0,250383262298.0
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,91.852.174.707,169.093.652.158,260.945.826.865,91852174707.0,169093652158.0,260945826865.0
