row_label_raw,row_label_full,STT,Tên,Địa chỉ,Ngành nghề chính,Tỷ lệ vốn góp,numeric__Tên,numeric__Địa chỉ,numeric__Ngành nghề chính,numeric__Tỷ lệ vốn góp
,,,Công ty con:,Công ty con:,Công ty con:,Công ty con:,,,,
1,1,1,Công ty Cổ phần Cấp nước Đồng Nai,"48 Cách Mạng Thắng Tám, P.Quyết Thắng, TP.Biên Hòa, Tĩnh Đồng Nai",Khai thác nước sạch,"63,99%",,,,0.6399
2,2,2,Công ty Cổ phần phát triển đô thị công nghiệp số 2,"H22 Võ Thị Sáu, P.Thống Nhất, TP.Biên Hòa, Tĩnh Đồng Nai","Đầu tư xây dựng, kinh doanh bất động sản, cho thuê Khu công nghiệp","57,70%",,,,0.5770000000000001
3,3,3,Công ty Cổ phần Đầu tư xây dựng và vật liệu Đồng Nai,"138 Nguyễn Ái Quốc, P.Tràng Dài, TP.Biên Hòa, Tĩnh Đồng Nai",Sản xuất công nghiệp và dịch vụ,"52,29%",,,,0.5229
4,4,4,Công ty Cổ phần kinh doanh nhà Đồng Nai,"121 Phan Chu Trinh, P.Quang Vinh, TP.Biên Hòa, Tĩnh Đồng Nai","Kinh doanh nhà và hạ tầng, xây dựng","75,37%",,,,0.7537
5,5,5,Công ty Cổ phần Căng Đồng Nai,"1B-D3 Khu phố Bình Dương, P.Long Bình Tân, TP.Biên Hòa, Tĩnh Đồng Nai",Kinh doanh dịch vụ cảng biển,"51,00%",,,,0.51
6,6,6,Công ty Cổ phần Sonadezi Long Thành,"Đường 5, KCN Long Thành, Xã Tam An, Huyện Long Thành, Tĩnh Đồng Nai","Đầu tư xây dựng, kinh doanh bất động sản, cho thuê Khu công nghiệp","51,19%",,,,0.5119
7,7,7,Công ty Cổ phần Sonadezi Long Bình,"Số 1, đường 3A, KCN Biên Hòa 2, TP.Biên Hòa, Tĩnh Đồng Nai","Đầu tư xây dựng, kinh doanh bất động sản, cho thuê Khu công nghiệp","79,00%",,,,0.79
8,8,8,Công ty Cổ phần Khu công nghiệp Đình Quản,"KCN Đình Quản, Xã La Ngà, Huyện Đình Quản, Tĩnh Đồng Nai",Kinh doanh cơ sở hạ tầng Khu công nghiệp,"80,85%",,,,0.8085
9,9,9,Công ty Cổ phần Môi trường Sonadezi,"12 Huỳnh Văn Nghệ, P.Bửu Long, TP.Biên Hòa, Tĩnh Đồng Nai",Dịch vụ đô thị môi trường,"64,04%",,,,0.6404000000000001
10,10,10,Công ty Cổ phần Sonadezi Giang Điền,"Tầng 1, Đường 1, Khu công nghiệp Biên Hòa 1, Phường An Bình, TP. Biên Hòa, T. Đồng Nai","Đầu tư xây dựng, kinh doanh bất động sản, cho thuê Khu công nghiệp","51,00%",,,,0.51
