row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2021Triệu đồng,Ngày 31 tháng 12năm 2020Triệu đồng,numeric__Ngày 31 tháng 12năm 2021Triệu đồng,numeric__Ngày 31 tháng 12năm 2020Triệu đồng
Rủi ro tín dụng liên quan đến các tài sản nội bằng,Rủi ro tín dụng liên quan đến các tài sản nội bằng,Rủi ro tín dụng liên quan đến các tài sản nội bằng,149.064.355,144.172.560,149064355.0,144172560.0
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,25.206.015,32.378.350,25206015.0,32378350.0
Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,4.262,49.073,4262.0,49073.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,114.674.630,100.767.406,114674630.0,100767406.0
- Cho vay khách hàng cả nhân,- Cho vay khách hàng cả nhân,- Cho vay khách hàng cả nhân,57.041.028,50.212.378,57041028.0,50212378.0
- Cho vay khách hàng là tổ chức,- Cho vay khách hàng là tổ chức,- Cho vay khách hàng là tổ chức,57.633.602,50.555.028,57633602.0,50555028.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,7.216.543,8.586.425,7216543.0,8586425.0
- Chứng khoán nợ - giữ đến ngày đáo hạn,- Chứng khoán nợ - giữ đến ngày đáo hạn,- Chứng khoán nợ - giữ đến ngày đáo hạn,75.000,2.407.481,75000.0,2407481.0
- Chứng khoán nợ - sẵn sàng để bán,- Chứng khoán nợ - sẵn sàng để bán,- Chứng khoán nợ - sẵn sàng để bán,7.141.543,6.178.944,7141543.0,6178944.0
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,1.962.905,2.391.306,1962905.0,2391306.0
Rủi ro tín dụng liên quan đến các tài sản ngoại bằng,Rủi ro tín dụng liên quan đến các tài sản ngoại bằng,Rủi ro tín dụng liên quan đến các tài sản ngoại bằng,7.638.976,7.263.466,7638976.0,7263466.0
Các hợp đồng bảo lãnh tài chính,Các hợp đồng bảo lãnh tài chính,Các hợp đồng bảo lãnh tài chính,3.803.883,3.855.634,3803883.0,3855634.0
Các cam kết trong thư tin dụng,Các cam kết trong thư tin dụng,Các cam kết trong thư tin dụng,3.835.093,3.407.832,3835093.0,3407832.0
