row_label_raw,row_label_full,Số đầu năm,Năm nayTriệu đồng > Số đầu năm,Năm trướcTriệu đồng > Số đầu năm,numeric__Năm nayTriệu đồng > Số đầu năm,numeric__Năm trướcTriệu đồng > Số đầu năm
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,178.213,186.091,178213.0,186091.0
Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,816.980,2.179.314,816980.0,2179314.0
,,,995.193,2.365.405,995193.0,2365405.0
Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,,
Chứng khoán đầu tư sẵn sàng để bán – chứng khoán vốn,Số trích lập/(hoàn nhập) trong năm > Chứng khoán đầu tư sẵn sàng để bán – chứng khoán vốn,Chứng khoán đầu tư sẵn sàng để bán – chứng khoán vốn,(52.654),(12.565),-52654.0,-12565.0
Chứng khoán đầu tư sẵn sàng để bán – Trái phiếu doanh nghiệp chưa niêm yết,Số trích lập/(hoàn nhập) trong năm > Chứng khoán đầu tư sẵn sàng để bán – Trái phiếu doanh nghiệp chưa niêm yết,Chứng khoán đầu tư sẵn sàng để bán – Trái phiếu doanh nghiệp chưa niêm yết,491,4.687,491.0,4687.0
Trái phiếu đặc biệt do VAMC phát hành,Số trích lập/(hoàn nhập) trong năm > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,318.641,455.677,318641.0,455677.0
,,,266.478,447.799,266478.0,447799.0
Số dự phòng đã sử dụng để xử lý rủi ro,Số dự phòng đã sử dụng để xử lý rủi ro,Số dự phòng đã sử dụng để xử lý rủi ro,Số dự phòng đã sử dụng để xử lý rủi ro,Số dự phòng đã sử dụng để xử lý rủi ro,,
Trái phiếu đặc biệt do VAMC phát hành,Số dự phòng đã sử dụng để xử lý rủi ro > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,(1.135.621),(1.818.011),-1135621.0,-1818011.0
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,
Chứng khoán đầu tư sẵn sàng để bán,Số cuối năm > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,126.050,178.213,126050.0,178213.0
Trái phiếu đặc biệt do VAMC phát hành,Số cuối năm > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,-,816.980,,816980.0
,,,126.050,995.193,126050.0,995193.0
