row_label_raw,row_label_full,col_0,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
,,,VND,VND,,
Giá vốn hàng bán Diesel DO,Giá vốn hàng bán Diesel DO,Giá vốn hàng bán Diesel DO,50.865.267.262.375,57.327.901.938.071,50865267262375.0,57327901938071.0
Giá vốn hàng bán Xăng Mogas 95,Giá vốn hàng bán Xăng Mogas 95,Giá vốn hàng bán Xăng Mogas 95,40.623.200.028.808,44.279.416.713.576,40623200028808.0,44279416713576.0
Giá vốn hàng bán Xăng Mogas 92,Giá vốn hàng bán Xăng Mogas 92,Giá vốn hàng bán Xăng Mogas 92,19.421.790.838.487,22.482.588.147.171,19421790838487.0,22482588147171.0
Giá vốn hàng bán Jet A1,Giá vốn hàng bán Jet A1,Giá vốn hàng bán Jet A1,8.596.973.043.840,9.281.053.753.077,8596973043840.0,9281053753077.0
Giá vốn hàng bán LPG,Giá vốn hàng bán LPG,Giá vốn hàng bán LPG,7.980.490.963.947,8.641.681.830.038,7980490963947.0,8641681830038.0
Giá vốn hàng bán Polypropylene,Giá vốn hàng bán Polypropylene,Giá vốn hàng bán Polypropylene,5.258.837.202.589,5.397.450.290.916,5258837202589.0,5397450290916.0
Giá vốn hàng bán Dầu nhiên liệu FO,Giá vốn hàng bán Dầu nhiên liệu FO,Giá vốn hàng bán Dầu nhiên liệu FO,1.703.889.304.362,1.754.524.284.027,1703889304362.0,1754524284027.0
Giá vốn hàng bán Diesel DO L-62,Giá vốn hàng bán Diesel DO L-62,Giá vốn hàng bán Diesel DO L-62,754.622.493.593,243.092.814.909,754622493593.0,243092814909.0
Giá vốn hàng bán Jet A-1K,Giá vốn hàng bán Jet A-1K,Giá vốn hàng bán Jet A-1K,726.631.871.122,308.594.631.802,726631871122.0,308594631802.0
Giá vốn hàng bán Xăng sinh học E5,Giá vốn hàng bán Xăng sinh học E5,Giá vốn hàng bán Xăng sinh học E5,546.556.189.416,628.442.267.269,546556189416.0,628442267269.0
Giá vốn hàng bán Dầu hòa (KO),Giá vốn hàng bán Dầu hòa (KO),Giá vốn hàng bán Dầu hòa (KO),382.868.831.575,143.222.299.797,382868831575.0,143222299797.0
Giá vốn hàng bán xăng Mogas 83,Giá vốn hàng bán xăng Mogas 83,Giá vốn hàng bán xăng Mogas 83,248.225.056.809,245.138.653.856,248225056809.0,245138653856.0
Giá vốn hàng bán RFCC Naphtha,Giá vốn hàng bán RFCC Naphtha,Giá vốn hàng bán RFCC Naphtha,237.419.425.296,-,237419425296.0,
Giá vốn dịch vụ cảng biển,Giá vốn dịch vụ cảng biển,Giá vốn dịch vụ cảng biển,47.563.718.646,48.364.831.059,47563718646.0,48364831059.0
Chi phí trong thời gian dừng sản xuất Nhà máy nhiên liệu sinh học,Chi phí trong thời gian dừng sản xuất Nhà máy nhiên liệu sinh học,Chi phí trong thời gian dừng sản xuất Nhà máy nhiên liệu sinh học,73.267.131.088,75.615.620.626,73267131088.0,75615620626.0
(Hoàn nhập)/Trích lập dự phòng giảm giá hàng tồn kho,(Hoàn nhập)/Trích lập dự phòng giảm giá hàng tồn kho,(Hoàn nhập)/Trích lập dự phòng giảm giá hàng tồn kho,(21.170.094.701),126.563.725.184,-21170094701.0,126563725184.0
Giá vốn khác,Giá vốn khác,Giá vốn khác,217.404.651.707,43.655.596.042,217404651707.0,43655596042.0
,,,137.663.837.918.959,151.027.307.397.420,137663837918959.0,151027307397420.0
