row_label_raw,row_label_full,ty con: 11 Công ty con,Tỷ lệ lợi ích,Tỷ lệ lợi ích_1,Tỷ lệ biểu quyết,Tỷ lệ biểu quyết_1,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ lợi ích_1,numeric__Tỷ lệ biểu quyết,numeric__Tỷ lệ biểu quyết_1
ty con: 11 Công ty con,ty con: 11 Công ty con,ty con: 11 Công ty con,Cuối năm,Đầu năm,Cuối năm,Đầu năm,,,,
Đầu tư trực tiếp vào các công ty con:,Đầu tư trực tiếp vào các công ty con:,Đầu tư trực tiếp vào các công ty con:,Đầu tư trực tiếp vào các công ty con:,Đầu tư trực tiếp vào các công ty con:,Đầu tư trực tiếp vào các công ty con:,Đầu tư trực tiếp vào các công ty con:,,,,
1. Công ty Cổ phần Dũng Thịnh Phát Sài Gòn,Đầu tư trực tiếp vào các công ty con: > 1. Công ty Cổ phần Dũng Thịnh Phát Sài Gòn,1. Công ty Cổ phần Dũng Thịnh Phát Sài Gòn,"66,00%","66,00%","66,00%","66,00%",0.66,0.66,0.66,0.66
2. Công ty Cổ phần Du Lịch Đồng Tháp,Đầu tư trực tiếp vào các công ty con: > 2. Công ty Cổ phần Du Lịch Đồng Tháp,2. Công ty Cổ phần Du Lịch Đồng Tháp,"86,76%","86,76%","86,76%","86,76%",0.8676,0.8676,0.8676,0.8676
3. Công ty Cổ phần Du Lịch An Giang,Đầu tư trực tiếp vào các công ty con: > 3. Công ty Cổ phần Du Lịch An Giang,3. Công ty Cổ phần Du Lịch An Giang,"71,82%","71,82%","71,82%","71,82%",0.7182,0.7182,0.7182,0.7182
4. Công ty Cổ phần Nhụt Hồng,Đầu tư trực tiếp vào các công ty con: > 4. Công ty Cổ phần Nhụt Hồng,4. Công ty Cổ phần Nhụt Hồng,"60,00%","60,00%","60,00%","60,00%",0.6,0.6,0.6,0.6
5. Công ty TNHH Sao Mai Super Feed,Đầu tư trực tiếp vào các công ty con: > 5. Công ty TNHH Sao Mai Super Feed,5. Công ty TNHH Sao Mai Super Feed,"100,00%","100,00%","100,00%","100,00%",1.0,1.0,1.0,1.0
6. Công ty TNHH TM Sao Mai Solar,Đầu tư trực tiếp vào các công ty con: > 6. Công ty TNHH TM Sao Mai Solar,6. Công ty TNHH TM Sao Mai Solar,"100,00%","100,00%","100,00%","100,00%",1.0,1.0,1.0,1.0
7. Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia I.D.I,Đầu tư trực tiếp vào các công ty con: > 7. Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia I.D.I,7. Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia I.D.I,"51,23%","51,23%","51,23%","51,23%",0.5123,0.5123,0.5123,0.5123
8. Công ty TNHH Sinh Học MAIKI JAPAN,Đầu tư trực tiếp vào các công ty con: > 8. Công ty TNHH Sinh Học MAIKI JAPAN,8. Công ty TNHH Sinh Học MAIKI JAPAN,"51,00%",,"51,00%",,0.51,,0.51,
9. Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,Đầu tư trực tiếp vào các công ty con: > 9. Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,9. Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,"86,40%","86,40%","95,67%","95,67%",0.8640000000000001,0.8640000000000001,0.9567,0.9567
10. Công ty Cổ Phần Đầu Tư Tài Chính và Truyền Thông Quốc Tế (*),Đầu tư trực tiếp vào các công ty con: > 10. Công ty Cổ Phần Đầu Tư Tài Chính và Truyền Thông Quốc Tế (*),10. Công ty Cổ Phần Đầu Tư Tài Chính và Truyền Thông Quốc Tế (*),,"63,00%",,"63,00%",,0.63,,0.63
Đầu tư gián tiếp vào các công ty con:,Đầu tư gián tiếp vào các công ty con:,Đầu tư gián tiếp vào các công ty con:,Đầu tư gián tiếp vào các công ty con:,Đầu tư gián tiếp vào các công ty con:,Đầu tư gián tiếp vào các công ty con:,Đầu tư gián tiếp vào các công ty con:,,,,
11. Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,Đầu tư gián tiếp vào các công ty con: > 11. Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,11. Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,"43,95%","43,95%","82,67%","82,67%",0.4395,0.4395,0.8267,0.8267
12. Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông,Đầu tư gián tiếp vào các công ty con: > 12. Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông,12. Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông,"49,94%","49,94%","97,50%","97,50%",0.49939999999999996,0.49939999999999996,0.975,0.975
13. Công ty TNHH Đầu Tư Xây dựng LT (**),Đầu tư gián tiếp vào các công ty con: > 13. Công ty TNHH Đầu Tư Xây dựng LT (**),13. Công ty TNHH Đầu Tư Xây dựng LT (**),,100%,,100%,,1.0,,1.0
