row_label_raw,row_label_full,STT,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ phần sở hữu và quyền biểu quyết,Hoạt động chính,numeric__Tên công ty con,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phần sở hữu và quyền biểu quyết,numeric__Hoạt động chính
1,1,1,Công ty TNHH C.E.O Quốc tế,Hà Nội,"100,00%","Xây dựng nhà các loại, cung cấp dịch vụ ăn uống, giáo dục ....",,,1.0,
2,2,2,Công ty Cổ phần Xây dựng C.E.O,Hà Nội,"51,00%","Xây dựng nhà, khu công nghiệp, kinh doanh bất động sản,...",,,0.51,
3,3,3,Công ty Cổ phần Phát triển dịch vụ C.E.O,Hà Nội,"51,00%","XK lao động, đào tạo các ngành nghề kinh doanh bất động sản, ...",,,0.51,
4,4,4,Trường Cao đẳng Đại Việt,Bắc Ninh,"100,00%","Đảo tạo các ngành kế toán DN sản xuất, DN thương mại,...",,,1.0,
5,5,5,Công ty Cổ phần Đầu tư và phát triển Phú Quốc,Kiên Giang,"60,00%","Kinh doanh khách sạn, resort, khu vui chơi, KD bất động sản...",,,0.6,
6,6,6,Công ty Cổ phần Đầu tư BMC - CEO,Hà Nội,"87,76%","Kinh doanh Bất động sản, xây dựng nhà, khung công nghiệp....",,,0.8776,
7,7,7,Công ty Cổ phần Du lịch C.E.O,Hà Nội,"51,00%","Cung cấp dịch vụ nhà hàng ăn uống, tổ chức tour du lịch...",,,0.51,
8,8,8,Công ty Cổ phần Phát triển Nhà và Đô thị Phú Quốc,Kiên Giang,"75,92%","Kinh doanh bất động sản, quyền sử dụng đất...",,,0.7592,
9,9,9,Công TNHH Một thành viên Dịch vụ bảo vệ C.E.O,Kiên Giang,"100,00%","Dịch vụ bảo vệ, vận tải hành khách, hàng hóa...",,,1.0,
10,10,10,Công ty TNHH Một thành viên Khách sạn và Nghị dưỡng C.E.O,Kiên Giang,"100,00%","Nhà hàng, dịch vụ lưu trú ngắn ngày...",,,1.0,
