row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2019VND,2018VND,,
Các cổ đông lớn,Các cổ đông lớn,Các cổ đông lớn,Các cổ đông lớn,Các cổ đông lớn,,
Tiền gửi có kỳ hạn và chứng chỉ tiền gửi,Các cổ đông lớn > Tiền gửi có kỳ hạn và chứng chỉ tiền gửi,Tiền gửi có kỳ hạn và chứng chỉ tiền gửi,8.306.000.000.000,17.535.922.500.000,8306000000000.0,17535922500000.0
Vay,Các cổ đông lớn > Vay,Vay,8.999.104.198.241,13.475.114.570.820,8999104198241.0,13475114570820.0
"Khoản nhận thu chi hộ, dòng tiền thu thuần","Các cổ đông lớn > Khoản nhận thu chi hộ, dòng tiền thu thuần","Khoản nhận thu chi hộ, dòng tiền thu thuần",1.300.000.000.000,-,1300000000000.0,
Thu nhập lãi tiền gửi,Các cổ đông lớn > Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,59.359.990.462,156.014.812.926,59359990462.0,156014812926.0
Chi phí lãi vay,Các cổ đông lớn > Chi phí lãi vay,Chi phí lãi vay,36.963.732.200,27.021.197.486,36963732200.0,27021197486.0
Dịch vụ đã cung cấp,Các cổ đông lớn > Dịch vụ đã cung cấp,Dịch vụ đã cung cấp,10.465.030.490,15.198.053.711,10465030490.0,15198053711.0
Chi phí dịch vụ tư vấn,Các cổ đông lớn > Chi phí dịch vụ tư vấn,Chi phí dịch vụ tư vấn,1.755.600.000,1.755.600.000,1755600000.0,1755600000.0
Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,,
Doanh thu từ cho thuê tàu bay,Các công ty liên kết > Doanh thu từ cho thuê tàu bay,Doanh thu từ cho thuê tàu bay,760.279.315.508,437.357.960.486,760279315508.0,437357960486.0
"Chi phí thu và chi hộ, dòng tiền chỉ trả thuần","Các công ty liên kết > Chi phí thu và chi hộ, dòng tiền chỉ trả thuần","Chi phí thu và chi hộ, dòng tiền chỉ trả thuần",256.222.816.844,271.904.372.212,256222816844.0,271904372212.0
