row_label_raw,row_label_full,col_0,31/12/2019Giá gốc/Số cókhả năng trả nợVND,1/1/2019Giá gốc/Số cókhả năng trả nợVND,numeric__31/12/2019Giá gốc/Số cókhả năng trả nợVND,numeric__1/1/2019Giá gốc/Số cókhả năng trả nợVND
Công ty Cổ phần Nhiên liệu bay Petrolimex,Công ty Cổ phần Nhiên liệu bay Petrolimex,Công ty Cổ phần Nhiên liệu bay Petrolimex,972.624.163.512,358.790.499.261,972624163512.0,358790499261.0
Lufthansa Technik Aktiengesellschaft,Lufthansa Technik Aktiengesellschaft,Lufthansa Technik Aktiengesellschaft,183.196.167.170,85.225.886.410,183196167170.0,85225886410.0
SR Technics Switzerland Ltd,SR Technics Switzerland Ltd,SR Technics Switzerland Ltd,173.559.836.354,67.645.408.624,173559836354.0,67645408624.0
Hong Kong Investment Consulting Limited,Hong Kong Investment Consulting Limited,Hong Kong Investment Consulting Limited,128.803.361.492,-,128803361492.0,
United Technologies Corporation (Pratt & Whitney Division),United Technologies Corporation (Pratt & Whitney Division),United Technologies Corporation (Pratt & Whitney Division),83.357.211.093,-,83357211093.0,
"MTU Maintenance Zhuhai Co., Ltd","MTU Maintenance Zhuhai Co., Ltd","MTU Maintenance Zhuhai Co., Ltd",83.282.185.042,-,83282185042.0,
CFM International SA,CFM International SA,CFM International SA,61.703.327.124,846.652.635,61703327124.0,846652635.0
The Civil Aviation Administration of China's Settlement Center,The Civil Aviation Administration of China's Settlement Center,The Civil Aviation Administration of China's Settlement Center,53.573.571.905,52.386.483.371,53573571905.0,52386483371.0
Hamilton Sundstrand,Hamilton Sundstrand,Hamilton Sundstrand,26.324.258.765,106.774.686.440,26324258765.0,106774686440.0
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,128.510.888.912,251.993.355.962,128510888912.0,251993355962.0
,,,1.894.934.971.369,923.662.972.703,1894934971369.0,923662972703.0
