row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Nguyên giá VND,Giá trị ghi sổ > Dự phòng giảm giá trị VND,Giá trị ghi sổ > Giá trị thuần VND,Giá trị ghi sổ > Giá trị hợp lý VND,numeric__Giá trị ghi sổ > Nguyên giá VND,numeric__Giá trị ghi sổ > Dự phòng giảm giá trị VND,numeric__Giá trị ghi sổ > Giá trị thuần VND,numeric__Giá trị ghi sổ > Giá trị hợp lý VND
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN TÀI CHÍNH > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,93.349.368.406.902,(1.022.401.853.201),92.326.966.553.701,99.056.534.224.537,93349368406902.0,-1022401853201.0,92326966553701.0,99056534224537.0
- Hợp đồng tiền gửi có kỳ hạn,TÀI SẢN TÀI CHÍNH > - Hợp đồng tiền gửi có kỳ hạn,- Hợp đồng tiền gửi có kỳ hạn,58.436.048.524.127,(442.600.000.000),57.993.448.524.127,58.417.820.537.692,58436048524127.0,-442600000000.0,57993448524127.0,58417820537692.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,34.913.319.882.775,(579.801.853.201),34.333.518.029.574,40.638.713.686.845,34913319882775.0,-579801853201.0,34333518029574.0,40638713686845.0
Chứng khoán kinh doanh,TÀI SẢN TÀI CHÍNH > Chứng khoán kinh doanh,Chứng khoán kinh doanh,3.224.104.378.517,(400.870.158.798),2.823.234.219.719,3.301.678.899.824,3224104378517.0,-400870158798.0,2823234219719.0,3301678899824.0
- Cổ phiếu niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,1.943.434.191.161,(283.528.492.283),1.659.905.698.878,2.109.763.292.290,1943434191161.0,-283528492283.0,1659905698878.0,2109763292290.0
- Cổ phiếu chưa niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,893.556.010.080,(116.002.881.121),777.553.128.959,730.876.337.730,893556010080.0,-116002881121.0,777553128959.0,730876337730.0
- Chứng chỉ quỹ,TÀI SẢN TÀI CHÍNH > - Chứng chỉ quỹ,- Chứng chỉ quỹ,237.087.218.076,(1.338.785.394),235.748.432.682,308.372.970.533,237087218076.0,-1338785394.0,235748432682.0,308372970533.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,150.026.959.200,-,150.026.959.200,152.666.299.271,150026959200.0,,150026959200.0,152666299271.0
Đầu tư tài chính khác,TÀI SẢN TÀI CHÍNH > Đầu tư tài chính khác,Đầu tư tài chính khác,248.905.999.767,(35.996.167.239),212.909.832.528,378.869.619.125,248905999767.0,-35996167239.0,212909832528.0,378869619125.0
Cho vay và tạm ứng cho khách hàng,TÀI SẢN TÀI CHÍNH > Cho vay và tạm ứng cho khách hàng,Cho vay và tạm ứng cho khách hàng,1.929.204.079.180,(62.106.647.190),1.867.097.431.990,1.867.097.431.990,1929204079180.0,-62106647190.0,1867097431990.0,1867097431990.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN TÀI CHÍNH > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,1.645.086.510.199,(246.498.351.271),1.398.588.158.928,1.438.476.942.820,1645086510199.0,-246498351271.0,1398588158928.0,1438476942820.0
Phải thu tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,733.763.126.506,-,733.763.126.506,730.697.518.331,733763126506.0,,733763126506.0,730697518331.0
Tái sản tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Tái sản tái bảo hiểm,Tái sản tái bảo hiểm,3.340.281.368.616,-,3.340.281.368.616,3.340.281.368.616,3340281368616.0,,3340281368616.0,3340281368616.0
Phải thu khác,TÀI SẢN TÀI CHÍNH > Phải thu khác,Phải thu khác,598.239.508.307,(56.298.210.823),541.941.297.484,541.941.297.484,598239508307.0,-56298210823.0,541941297484.0,541941297484.0
"- Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN TÀI CHÍNH > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",75.863.179.573,-,75.863.179.573,75.863.179.573,75863179573.0,,75863179573.0,75863179573.0
- Phải thu cổ tức,TÀI SẢN TÀI CHÍNH > - Phải thu cổ tức,- Phải thu cổ tức,25.668.635.400,-,25.668.635.400,25.668.635.400,25668635400.0,,25668635400.0,25668635400.0
- Khác,TÀI SẢN TÀI CHÍNH > - Khác,- Khác,496.707.693.334,(56.298.210.823),440.409.482.511,440.409.482.511,496707693334.0,-56298210823.0,440409482511.0,440409482511.0
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.159.930.729.474,-,2.159.930.729.474,2.159.930.729.474,2159930729474.0,,2159930729474.0,2159930729474.0
TỔNG CỘNG,TÀI SẢN TÀI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,107.228.884.107.468,(1.824.171.388.522),105.404.712.718.946,112.815.508.032.201,107228884107468.0,-1824171388522.0,105404712718946.0,112815508032201.0
