row_label_raw,row_label_full,col_0,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
- Tổng lợi nhuận kế toán trước thuế,- Tổng lợi nhuận kế toán trước thuế,- Tổng lợi nhuận kế toán trước thuế,607.771.987.397,156.418.557.585,607771987397.0,156418557585.0
- Các khoản điều chỉnh tăng hoặc giảm lợi nhuận kế toán để xác định lợi nhuận chịu thuế TNDN,- Các khoản điều chỉnh tăng hoặc giảm lợi nhuận kế toán để xác định lợi nhuận chịu thuế TNDN,- Các khoản điều chỉnh tăng hoặc giảm lợi nhuận kế toán để xác định lợi nhuận chịu thuế TNDN,,,,
+ Các khoản điều chỉnh tăng,- Các khoản điều chỉnh tăng hoặc giảm lợi nhuận kế toán để xác định lợi nhuận chịu thuế TNDN > + Các khoản điều chỉnh tăng,+ Các khoản điều chỉnh tăng,4.519.804.298,2.794.138.081,4519804298.0,2794138081.0
Chi phí không hợp lệ không được khấu trừ,- Các khoản điều chỉnh tăng hoặc giảm lợi nhuận kế toán để xác định lợi nhuận chịu thuế TNDN > Chi phí không hợp lệ không được khấu trừ,Chi phí không hợp lệ không được khấu trừ,4.519.804.298,2.742.113.275,4519804298.0,2742113275.0
Chi phạt vi phạm,- Các khoản điều chỉnh tăng hoặc giảm lợi nhuận kế toán để xác định lợi nhuận chịu thuế TNDN > Chi phạt vi phạm,Chi phạt vi phạm,,52.024.806,,52024806.0
+ Các khoản điều chỉnh giảm,- Các khoản điều chỉnh tăng hoặc giảm lợi nhuận kế toán để xác định lợi nhuận chịu thuế TNDN > + Các khoản điều chỉnh giảm,+ Các khoản điều chỉnh giảm,793.900,11.069.040,793900.0,11069040.0
Nhận cổ tức được chia,- Các khoản điều chỉnh tăng hoặc giảm lợi nhuận kế toán để xác định lợi nhuận chịu thuế TNDN > Nhận cổ tức được chia,Nhận cổ tức được chia,793.900,11.069.040,793900.0,11069040.0
- Chuyển lỗ các năm trước,- Chuyển lỗ các năm trước,- Chuyển lỗ các năm trước,,,,
- Tổng thu nhập chịu thuế,- Chuyển lỗ các năm trước > - Tổng thu nhập chịu thuế,- Tổng thu nhập chịu thuế,612.290.997.795,159.201.626.626,612290997795.0,159201626626.0
Trong đó:,Trong đó:,Trong đó:,,,,
+ Thu nhập chịu thuế được hưởng mức thuế suất ưu đãi,Trong đó: > + Thu nhập chịu thuế được hưởng mức thuế suất ưu đãi,+ Thu nhập chịu thuế được hưởng mức thuế suất ưu đãi,162.312.419.070,21.211.661.204,162312419070.0,21211661204.0
+ Thu nhập chịu thuế theo thuế suất thông thường,Trong đó: > + Thu nhập chịu thuế theo thuế suất thông thường,+ Thu nhập chịu thuế theo thuế suất thông thường,449.978.578.725,137.989.965.422,449978578725.0,137989965422.0
- Thuế TNDN hiện hành tính trên thu nhập chịu thuế năm hiện hành,Trong đó: > - Thuế TNDN hiện hành tính trên thu nhập chịu thuế năm hiện hành,- Thuế TNDN hiện hành tính trên thu nhập chịu thuế năm hiện hành,89.995.715.745,30.357.792.393,89995715745.0,30357792393.0
+ Thuế suất thông thường,Trong đó: > + Thuế suất thông thường,+ Thuế suất thông thường,20%,22%,0.2,0.22
+ Thuế TNDN theo thuế suất thông thường,Trong đó: > + Thuế TNDN theo thuế suất thông thường,+ Thuế TNDN theo thuế suất thông thường,89.995.715.745,30.357.792.393,89995715745.0,30357792393.0
+ Thuế TNDN được áp dụng thuế suất ưu đãi,+ Thuế TNDN được áp dụng thuế suất ưu đãi,+ Thuế TNDN được áp dụng thuế suất ưu đãi,-,-,,
