row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,,,,,,,,
"Tiền thu từ phát hành cố phiếu, nhận vốn góp của chủ sở hữu","III. Lưu chuyển tiền từ hoạt động tài chính > Tiền thu từ phát hành cố phiếu, nhận vốn góp của chủ sở hữu","Tiền thu từ phát hành cố phiếu, nhận vốn góp của chủ sở hữu",31,,423.800.000.000,7.980.000.000,31.0,,423800000000.0,7980000000.0
Tiền thu từ đi vay,III. Lưu chuyển tiền từ hoạt động tài chính > Tiền thu từ đi vay,Tiền thu từ đi vay,33,,8.064.310.021.250,4.040.636.325.608,33.0,,8064310021250.0,4040636325608.0
Tiền trả nợ gốc vay,III. Lưu chuyển tiền từ hoạt động tài chính > Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,,(6.086.253.172.524),(3.103.359.361.105),34.0,,-6086253172524.0,-3103359361105.0
Tiền chi trả nợ thuê tài chính,III. Lưu chuyển tiền từ hoạt động tài chính > Tiền chi trả nợ thuê tài chính,Tiền chi trả nợ thuê tài chính,35,,(124.002.136),-,35.0,,-124002136.0,
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. Lưu chuyển tiền từ hoạt động tài chính > Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,-,-,36.0,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,2.401.732.846.590,945.256.964.503,40.0,,2401732846590.0,945256964503.0
Lưu chuyển tiền thuần trong năm (50=20+30+40),III. Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần trong năm (50=20+30+40),Lưu chuyển tiền thuần trong năm (50=20+30+40),50,,122.129.628.365,18.292.849.761,50.0,,122129628365.0,18292849761.0
Tiền và tương đương tiền đầu năm,III. Lưu chuyển tiền từ hoạt động tài chính > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,V.1,51.475.086.265,32.272.045.880,60.0,,51475086265.0,32272045880.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,III. Lưu chuyển tiền từ hoạt động tài chính > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,191.273.141,910.190.624,61.0,,191273141.0,910190624.0
Tiền và tương đương tiền cuối năm (70=50+60+61),III. Lưu chuyển tiền từ hoạt động tài chính > Tiền và tương đương tiền cuối năm (70=50+60+61),Tiền và tương đương tiền cuối năm (70=50+60+61),70,V.1,173.795.987.771,51.475.086.265,70.0,,173795987771.0,51475086265.0
