row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý
Cổ phiếu và chứng khoản niêm yết (1),Cổ phiếu và chứng khoản niêm yết (1),Cổ phiếu và chứng khoản niêm yết (1),545.312.296.959,504.561.968.640,1.009.557.613.272,1.026.268.627.260,545312296959.0,504561968640.0,1009557613272.0,1026268627260.0
FPT,FPT,FPT,23.803.985.453,23.378.753.500,15.013.983.566,14.503.071.000,23803985453.0,23378753500.0,15013983566.0,14503071000.0
SGN,SGN,SGN,407.513.400.377,371.611.614.000,407.684.911.102,420.402.968.000,407513400377.0,371611614000.0,407684911102.0,420402968000.0
VPB,VPB,VPB,24.445.330.307,24.503.363.700,70.064.308.000,69.355.375.800,24445330307.0,24503363700.0,70064308000.0,69355375800.0
HPG,HPG,HPG,19.282.803.312,17.873.388.000,4.782.571,4.454.400,19282803312.0,17873388000.0,4782571.0,4454400.0
FUESSVFL,FUESSVFL,FUESSVFL,20.218.936.555,20.094.448.500,5.228.633.907,5.640.456.800,20218936555.0,20094448500.0,5228633907.0,5640456800.0
Cổ phiếu và chứng khoản niêm yết khác,Cổ phiếu và chứng khoản niêm yết khác,Cổ phiếu và chứng khoản niêm yết khác,50.047.840.955,47.100.400.940,511.560.994.126,516.362.301.260,50047840955.0,47100400940.0,511560994126.0,516362301260.0
Cổ phiếu niêm yết cho hoạt động phòng ngừa rủi ro của chứng quyền,Cổ phiếu niêm yết cho hoạt động phòng ngừa rủi ro của chứng quyền,Cổ phiếu niêm yết cho hoạt động phòng ngừa rủi ro của chứng quyền,32.345.419.551,31.633.886.250,756.070.971.658,753.490.336.500,32345419551.0,31633886250.0,756070971658.0,753490336500.0
MBB,MBB,MBB,3.439.143.847,3.285.405.900,86.665.742.393,87.415.390.600,3439143847.0,3285405900.0,86665742393.0,87415390600.0
VPB,VPB,VPB,7.280.492.358,7.297.776.300,47.131.125.007,46.654.237.800,7280492358.0,7297776300.0,47131125007.0,46654237800.0
VRE,VRE,VRE,10.121.710.560,9.684.475.300,55.305.263.332,54.932.500.000,10121710560.0,9684475300.0,55305263332.0,54932500000.0
STB,STB,STB,7.620.371.478,7.643.722.500,28.403.215.764,30.306.150.000,7620371478.0,7643722500.0,28403215764.0,30306150000.0
Cổ phiếu khác,Cổ phiếu khác,Cổ phiếu khác,3.883.701.308,3.722.506.250,538.565.625.162,534.182.058.100,3883701308.0,3722506250.0,538565625162.0,534182058100.0
Cổ phiếu và Chứng chỉ quỹ chưa niêm yết,Cổ phiếu và Chứng chỉ quỹ chưa niêm yết,Cổ phiếu và Chứng chỉ quỹ chưa niêm yết,576.830.917.590,559.224.387.540,54.339.454.020,34.528.770.867,576830917590.0,559224387540.0,54339454020.0,34528770867.0
Trái phiếu niêm yết,Trái phiếu niêm yết,Trái phiếu niêm yết,725.141.081.348,718.194.237.616,100.074.600.000,100.074.600.000,725141081348.0,718194237616.0,100074600000.0,100074600000.0
Trái phiếu chưa niêm yết (2),Trái phiếu chưa niêm yết (2),Trái phiếu chưa niêm yết (2),12.175.839.946.558,12.175.839.946.558,3.109.933.782.682,3.109.933.782.682,12175839946558.0,12175839946558.0,3109933782682.0,3109933782682.0
Chứng chỉ tiền gửi (3),Chứng chỉ tiền gửi (3),Chứng chỉ tiền gửi (3),16.289.790.890.390,16.289.790.890.390,6.722.788.212.290,6.722.788.212.290,16289790890390.0,16289790890390.0,6722788212290.0,6722788212290.0
Tổng cộng,Tổng cộng,Tổng cộng,30.345.260.552.396,30.279.245.316.994,11.752.764.633.922,11.747.084.329.599,30345260552396.0,30279245316994.0,11752764633922.0,11747084329599.0
