row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022Tài sản,Dưới1 tháng,Từ 1 thángđến 3 tháng,Từ trên 3 thángđến 6 tháng,Từ trên 6 thángđến 12 tháng,Từ trên 1 nămđến 5 năm,Trên5 năm,numeric__Dưới1 tháng,numeric__Từ 1 thángđến 3 tháng,numeric__Từ trên 3 thángđến 6 tháng,numeric__Từ trên 6 thángđến 12 tháng,numeric__Từ trên 1 nămđến 5 năm,numeric__Trên5 năm
Tiền gửi tại Ngân hàng Nhà nước▪ Ngoại tệ,Tiền gửi tại Ngân hàng Nhà nước▪ Ngoại tệ,Tiền gửi tại Ngân hàng Nhà nước▪ Ngoại tệ,"0,05%",(*),(*),(*),(*),(*),0.0005,,,,,
Tiền gửi và cho vay các TCTD khác▪ VND,Tiền gửi và cho vay các TCTD khác▪ VND,Tiền gửi và cho vay các TCTD khác▪ VND,"0,00% - 9,00%","6,50% - 11,00%","8,20%","5,00% - 8,00%","5,00%",(*),,,0.08199999999999999,,0.05,
▪ Ngoại tệ,▪ Ngoại tệ,▪ Ngoại tệ,"0,00% - 4,55%","4,05% - 4,94%",(*),(*),(*),(*),,,,,,
Cho vay khách hàng▪ VND,Cho vay khách hàng▪ VND,Cho vay khách hàng▪ VND,"0,00% - 29,00%","1,25% - 23,00%","6,00% - 15,00%","3,79% - 20,31%","3,70% - 29,19%","3,79% - 15,10%",,,,,,
▪ Ngoại tệ,▪ Ngoại tệ,▪ Ngoại tệ,"3,20% - 6,30%","2,50% - 7,25%","2,00% - 5,80%","3,00% - 5,10%",(*),(*),,,,,,
Chứng khoán đầu tư▪ VND,Chứng khoán đầu tư▪ VND,Chứng khoán đầu tư▪ VND,(*),(*),(*),"3,50% - 10,50%","2,90% - 5,50%","1,40% - 9,10%",,,,,,
Tài sản Có khác▪ VND,Chứng khoán đầu tư▪ VND > Tài sản Có khác▪ VND,Tài sản Có khác▪ VND,"0,20%",(*),(*),(*),(*),(*),0.002,,,,,
Nợ phải trảCác khoản nợ Chính phủ và NHNN▪ VND,Chứng khoán đầu tư▪ VND > Nợ phải trảCác khoản nợ Chính phủ và NHNN▪ VND,Nợ phải trảCác khoản nợ Chính phủ và NHNN▪ VND,"0,00%","6,40%",(*),(*),(*),(*),0.0,0.064,,,,
Tiền gửi và vay các TCTD khác▪ VND,Tiền gửi và vay các TCTD khác▪ VND,Tiền gửi và vay các TCTD khác▪ VND,"0,00% - 6,80%","7,10% - 8,70%","6,30% - 8,00%",(*),(*),(*),,,,,,
▪ Ngoại tệ,▪ Ngoại tệ,▪ Ngoại tệ,"0,00% - 4,60%","4,00% - 4,80%","0,80% - 5,99%",(*),(*),(*),,,,,,
Tiền gửi của khách hàng▪ VND,Tiền gửi của khách hàng▪ VND,Tiền gửi của khách hàng▪ VND,"0,00% - 4,20%","0,00% - 6,00%","0,00% - 10,50%","0,00% - 10,80%","0,00% - 10,50%",(*),,,,,,
▪ Ngoại tệ,Tiền gửi của khách hàng▪ VND > ▪ Ngoại tệ,▪ Ngoại tệ,"0,00%","0,00%","0,00%","0,00%","0,00%",(*),0.0,0.0,0.0,0.0,0.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro▪ VND","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro▪ VND","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro▪ VND",(*),"3,78% - 4,33%",(*),(*),(*),(*),,,,,,
▪ Ngoại tệ,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro▪ VND > ▪ Ngoại tệ",▪ Ngoại tệ,(*),(*),(*),(*),(*),"1,91%",,,,,,0.0191
Phát hành giấy tờ có giá▪ VND,Phát hành giấy tờ có giá▪ VND,Phát hành giấy tờ có giá▪ VND,(*),(*),(*),"4,00% - 10,50%","3,10% - 7,10%","7,35% - 8,50%",,,,,,
Nợ phải trả khác▪ VND,Phát hành giấy tờ có giá▪ VND > Nợ phải trả khác▪ VND,Nợ phải trả khác▪ VND,(*),(*),"7,10%","7,10% - 8,20%","7,50% - 8,00%",(*),,,0.071,,,
