row_label_raw,row_label_full,col_0,Phương tiện vận tải Triệu VND,numeric__Phương tiện vận tải Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,82.504,82504.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,15.800,15800.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,7.227,7227.0
Chuyển sang tài sản cố định hữu hình,Nguyên giá > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(23.917),-23917.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,81.614,81614.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,28.848,28848.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,14.555,14555.0
Chuyển sang tài sản cố định hữu hình,Giá trị hao mòn lũy kế > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(20.717),-20717.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,22.686,22686.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,53.656,53656.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,58.928,58928.0
