row_label_raw,row_label_full,col_0,Quyền sử dụng đất không thời hạn Triệu đồng,Phần mềm máy tính Triệu đồng,Khác Triệu đồng,Tổng cộng Triệu đồng,numeric__Quyền sử dụng đất không thời hạn Triệu đồng,numeric__Phần mềm máy tính Triệu đồng,numeric__Khác Triệu đồng,numeric__Tổng cộng Triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1 tháng 1 năm 2025,Nguyên giá > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,540.735,609.018,13.448,1.163.201,540735.0,609018.0,13448.0,1163201.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,189.307,-,189.307,,189307.0,,189307.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(6.378),(2.985),-,(9.363),-6378.0,-2985.0,,-9363.0
Giảm do thanh lý công ty con,Nguyên giá > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,-,-,(5.292),(5.292),,,-5292.0,-5292.0
Tại ngày 31 tháng 12 năm 2025,Nguyên giá > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,534.357,795.340,8.156,1.337.853,534357.0,795340.0,8156.0,1337853.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,-,(274.287),(10.349),(284.636),,-274287.0,-10349.0,-284636.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(81.184),(716),(81.900),,-81184.0,-716.0,-81900.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,1.656,-,1.656,,1656.0,,1656.0
Giảm do thanh lý công ty con,Giá trị khấu hao lũy kế > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,-,-,3.907,3.907,,,3907.0,3907.0
Tại ngày 31 tháng 12 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,-,(353.815),(7.158),(360.973),,-353815.0,-7158.0,-360973.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,540.735,334.731,3.099,878.565,540735.0,334731.0,3099.0,878565.0
Tại ngày 31 tháng 12 năm 2025,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,534.357,441.525,998,976.880,534357.0,441525.0,998.0,976880.0
