row_label_raw,row_label_full,Năm trước > Số đầu năm > - Lợi nhuận thuần trong năm,Vốn cổ phần đã phát hành > Năm trước > 2.217.599.740.000 > -,Thặng dư vốn cổ phần > Năm trước > 692.074.189.329 > -,Vốn khác của chủ sở hữu > Năm trước > 26.544.930.000 > -,Chênh lệch tỷ giá hối đoái > Năm trước > (1.007.294.337) > -,Quỹ đầu tư phát triển > Năm trước > 80.481.616.464 > -,Quỹ khác thuộc chủ sở hữu > Năm trước > 13.177.404.323 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước > 568.716.740.171 > 290.241.012.297,Lợi ích cổ đông không kiểm soát > Năm trước > 426.375.132.551 > 33.902.012.122,Đơn vị tính: VND Tổng công > Năm trước > 4.023.962.458.501 > 324.143.024.419,numeric__Vốn cổ phần đã phát hành > Năm trước > 2.217.599.740.000 > -,numeric__Thặng dư vốn cổ phần > Năm trước > 692.074.189.329 > -,numeric__Vốn khác của chủ sở hữu > Năm trước > 26.544.930.000 > -,numeric__Chênh lệch tỷ giá hối đoái > Năm trước > (1.007.294.337) > -,numeric__Quỹ đầu tư phát triển > Năm trước > 80.481.616.464 > -,numeric__Quỹ khác thuộc chủ sở hữu > Năm trước > 13.177.404.323 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 568.716.740.171 > 290.241.012.297,numeric__Lợi ích cổ đông không kiểm soát > Năm trước > 426.375.132.551 > 33.902.012.122,numeric__Đơn vị tính: VND Tổng công > Năm trước > 4.023.962.458.501 > 324.143.024.419
- Tăng vốn,- Tăng vốn,- Tăng vốn,750.000.000.000,317.262.154.488,-,-,-,-,-,78.450.000.000,1.145.712.154.488,750000000000.0,317262154488.0,,,,,,78450000000.0,1145712154488.0
- Trích lập quỹ khen thưởng phúc lợi,- Trích lập quỹ khen thưởng phúc lợi,- Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,-,-,(44.653.907.033),(4.312.914.991),(48.966.822.024),,,,,,,-44653907033.0,-4312914991.0,-48966822024.0
- Trích lập quỹ khác phục vụ công tác điều hành,- Trích lập quỹ khác phục vụ công tác điều hành,- Trích lập quỹ khác phục vụ công tác điều hành,-,-,-,-,-,-,(1.278.356.858),(733.446.913),(2.011.803.771),,,,,,,-1278356858.0,-733446913.0,-2011803771.0
- Chia cổ tức bằng tiền,- Chia cổ tức bằng tiền,- Chia cổ tức bằng tiền,-,-,-,-,-,-,(148.379.987.000),(195.860.000),(148.575.847.000),,,,,,,-148379987000.0,-195860000.0,-148575847000.0
- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,-,-,-,(8.135.180.109),-,-,-,-,(8.135.180.109),,,,-8135180109.0,,,,,-8135180109.0
- Thay đổi tỷ lệ sở hữu tại công ty con,- Thay đổi tỷ lệ sở hữu tại công ty con,- Thay đổi tỷ lệ sở hữu tại công ty con,-,-,-,-,-,-,41.848.028.343,125.324.525.342,167.172.553.685,,,,,,,41848028343.0,125324525342.0,167172553685.0
- Tăng vốn từ thẳng dư vốn cổ phần,- Tăng vốn từ thẳng dư vốn cổ phần,- Tăng vốn từ thẳng dư vốn cổ phần,296.745.220.000,(296.745.220.000),-,-,-,-,-,-,-,296745220000.0,-296745220000.0,,,,,,,
- Tăng do mua công ty con,- Tăng do mua công ty con,- Tăng do mua công ty con,-,-,-,-,-,-,-,1.081.198.861,1.081.198.861,,,,,,,,1081198861.0,1081198861.0
Số cuối năm,Số cuối năm,Số cuối năm,3.264.344.960.000,712.591.123.817,26.544.930.000,(9.142.474.446),80.481.616.464,13.177.404.323,706.493.529.920,659.890.646.972,5.454.381.737.050,3264344960000.0,712591123817.0,26544930000.0,-9142474446.0,80481616464.0,13177404323.0,706493529920.0,659890646972.0,5454381737050.0
