row_label_raw,row_label_full,Tên đơn vị,Địa chỉ,Hoạt động chính,Số cuối năm > Tỷ lệ vốnnăm giữ trựctiếp (%),Số cuối năm > Tỷ lệ quyềnbiểu quyết(%),Số đầu năm > Tỷ lệ vốnnăm giữ trựctiếp (%),Số đầu năm > Tỷ lệ quyềnbiểu quyết(%),numeric__Địa chỉ,numeric__Hoạt động chính,numeric__Số cuối năm > Tỷ lệ vốnnăm giữ trựctiếp (%),numeric__Số cuối năm > Tỷ lệ quyềnbiểu quyết(%),numeric__Số đầu năm > Tỷ lệ vốnnăm giữ trựctiếp (%),numeric__Số đầu năm > Tỷ lệ quyềnbiểu quyết(%)
Công ty Nhựa Hà Nội,Công ty Nhựa Hà Nội,Công ty Nhựa Hà Nội,"Tổ 12, phường Phúc Lợi, quận Long Biên, thành phố Hà Nội","Sản xuất, kinh doanh các sản phẩm nhựa loại khuôn mẫu","47,44","47,44","21,37","21,37",,,47.44,47.44,21.37,21.37
Công ty Nhựa Bao bì Vinh,Công ty Nhựa Bao bì Vinh,Công ty Nhựa Bao bì Vinh,"Khối 8, phường Bến Thủy, thành phố Vinh, tỉnh Nghệ An","Sản xuất, mua, bán bao bì xi măng, bao bì PP, PE và các sản phẩm bằng nhựa","34,84","34,84","34,84","34,84",,,34.84,34.84,34.84,34.84
Công ty Sunrise,Công ty Sunrise,Công ty Sunrise,"Lô CN11+CN12, Cụm CN An Đồng, thị trấn Nam Sách, huyện Nam Sách, tỉnh Hải Dương",Sản xuất nhựa và cao su tổng hợp dạng nguyên sinh,"36,8",48,"31,25",48,,,36.8,48.0,31.25,48.0
Công ty An Đông,Công ty An Đông,Công ty An Đông,"Lô B1, Khu Công nghiệp kỹ thuật cao An Phát, Km47, Quốc lộ 5, phường Việt Hòa, thành phố Hải Dương, tỉnh Hải Dương","Kinh doanh xăng, dầu","18,35","33,8","11,95","33,8",,,18.35,33.8,11.95,33.8
Công ty Cổ phần ANCOP,Công ty Cổ phần ANCOP,Công ty Cổ phần ANCOP,"Lô B1, Khu Công nghiệp kỹ thuật cao An Phát, Km47, Quốc lộ 5, phường Việt Hòa, thành phố Hải Dương, tỉnh Hải Dương","Cung cấp, phân phối nước cho khu công nghiệp","45,09",49,"45,11",49,,,45.09,49.0,45.11,49.0
Công ty Cổ phần Sản xuất PBAT An Phát,Công ty Cổ phần Sản xuất PBAT An Phát,Công ty Cổ phần Sản xuất PBAT An Phát,"Lô CN5-04 Khu Phi thuế quan và Khu Công nghiệp Nam Đình Vũ thuộc Khu Kinh tế Đình Vũ - Cát Hải, phường Đông Hải 2, quận Hải An, thành phố Hải Phòng",Sản xuất sản phẩm từ plastic và cao su tổng hợp dạng nguyên sinh,"18,11","30,34",-,-,,,18.11,30.34,,
Công ty Cổ phần Giải pháp và Phần mềm Dịch vụ Nam Việt,Công ty Cổ phần Giải pháp và Phần mềm Dịch vụ Nam Việt,Công ty Cổ phần Giải pháp và Phần mềm Dịch vụ Nam Việt,"BT4 lô E9 Vimexco, đường Phạm Hùng, phường Trung Hoà, quận Cầu Giấy, thành phố Hà Nội",Xuất bản phần mềm,49,49,-,-,,,49.0,49.0,,
Công ty Cổ phần Dịch vụ Suất ăn Công nghiệp An Phát,Công ty Cổ phần Dịch vụ Suất ăn Công nghiệp An Phát,Công ty Cổ phần Dịch vụ Suất ăn Công nghiệp An Phát,"Khu Công nghiệp kỹ thuật cao An Phát, Km47, Quốc lộ 5, phường Việt Hòa, thành phố Hải Dương, tỉnh Hải Dương",Dịch vụ ăn uống,"25,05","46,13",-,-,,,25.05,46.13,,
