row_label_raw,row_label_full,col_0,31/12/2018(VND) > Giá gốc,31/12/2018(VND) > Giá trị hợp lý,31/12/2018(VND) > Dự phòng,01/01/2018(VND) > Giá gốc,01/01/2018(VND) > Giá trị hợp lý,01/01/2018(VND) > Dự phòng,numeric__31/12/2018(VND) > Giá gốc,numeric__31/12/2018(VND) > Giá trị hợp lý,numeric__31/12/2018(VND) > Dự phòng,numeric__01/01/2018(VND) > Giá gốc,numeric__01/01/2018(VND) > Giá trị hợp lý,numeric__01/01/2018(VND) > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,-,-,-,-,-,-,,,,,,
Dài hạn,Ngắn hạn > Dài hạn,Dài hạn,1.224.938.734.159,1.223.496.734.159,(1.442.000.000),1.096.124.960.279,1.010.113.524.479,(86.011.435.800),1224938734159.0,1223496734159.0,-1442000000.0,1096124960279.0,1010113524479.0,-86011435800.0
Đầu tư vào đơn vi khác:,Ngắn hạn > Đầu tư vào đơn vi khác:,Đầu tư vào đơn vi khác:,1.224.938.734.159,1.223.496.734.159,(1.442.000.000),1.096.124.960.279,1.010.113.524.479,(86.011.435.800),1224938734159.0,1223496734159.0,-1442000000.0,1096124960279.0,1010113524479.0,-86011435800.0
- Công ty TNHH Điện lực Vĩnh Tân,Ngắn hạn > - Công ty TNHH Điện lực Vĩnh Tân,- Công ty TNHH Điện lực Vĩnh Tân,386.597.424.159,386.597.424.159,-,257.783.650.279,257.783.650.279,-,386597424159.0,386597424159.0,,257783650279.0,257783650279.0,
- Công ty Cổ phần Nhiệt điện Hải Phòng,Ngắn hạn > - Công ty Cổ phần Nhiệt điện Hải Phòng,- Công ty Cổ phần Nhiệt điện Hải Phòng,360.500.000.000,359.058.000.000,(1.442.000.000),360.500.000.000,360.500.000.000,-,360500000000.0,359058000000.0,-1442000000.0,360500000000.0,360500000000.0,
- Công ty Cổ phần Nhiệt điện Quảng Ninh,Ngắn hạn > - Công ty Cổ phần Nhiệt điện Quảng Ninh,- Công ty Cổ phần Nhiệt điện Quảng Ninh,477.841.310.000,477.841.310.000,-,477.841.310.000,391.829.874.200,(86.011.435.800),477841310000.0,477841310000.0,,477841310000.0,391829874200.0,-86011435800.0
Cộng,Ngắn hạn > Cộng,Cộng,1.224.938.734.159,1.223.496.734.159,(1.442.000.000),1.096.124.960.279,1.010.113.524.479,(86.011.435.800),1224938734159.0,1223496734159.0,-1442000000.0,1096124960279.0,1010113524479.0,-86011435800.0
Tóm tắt tình hình hoạt động của các công ty mà Tổng Công ty góp vốn tại ngày 31/12/2018,Tóm tắt tình hình hoạt động của các công ty mà Tổng Công ty góp vốn tại ngày 31/12/2018,Tóm tắt tình hình hoạt động của các công ty mà Tổng Công ty góp vốn tại ngày 31/12/2018,Tóm tắt tình hình hoạt động của các công ty mà Tổng Công ty góp vốn tại ngày 31/12/2018,Tóm tắt tình hình hoạt động của các công ty mà Tổng Công ty góp vốn tại ngày 31/12/2018,Tóm tắt tình hình hoạt động của các công ty mà Tổng Công ty góp vốn tại ngày 31/12/2018,Tóm tắt tình hình hoạt động của các công ty mà Tổng Công ty góp vốn tại ngày 31/12/2018,Tóm tắt tình hình hoạt động của các công ty mà Tổng Công ty góp vốn tại ngày 31/12/2018,Tóm tắt tình hình hoạt động của các công ty mà Tổng Công ty góp vốn tại ngày 31/12/2018,,,,,,
Tên công ty,Tên công ty,Tên công ty,Tên công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,Hoạt động kinh doanh chính,,,,,,
Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,,,,,,
Công ty TNHH Điện lực Vĩnh Tân,Đầu tư vào đơn vị khác: > Công ty TNHH Điện lực Vĩnh Tân,Công ty TNHH Điện lực Vĩnh Tân,Công ty TNHH Điện lực Vĩnh Tân,Bình Thuận,5%,5%,"Sản xuất, truyền tải và phân phối điện","Sản xuất, truyền tải và phân phối điện",,,0.05,0.05,,
Công ty Cổ phần Nhiệt điện Hải Phòng,Đầu tư vào đơn vị khác: > Công ty Cổ phần Nhiệt điện Hải Phòng,Công ty Cổ phần Nhiệt điện Hải Phòng,Công ty Cổ phần Nhiệt điện Hải Phòng,Hải Phòng,"7,21%","7,21%","Sản xuất, truyền tải và phân phối điện","Sản xuất, truyền tải và phân phối điện",,,0.0721,0.0721,,
Công ty Cổ phần Nhiệt điện Quảng Ninh,Đầu tư vào đơn vị khác: > Công ty Cổ phần Nhiệt điện Quảng Ninh,Công ty Cổ phần Nhiệt điện Quảng Ninh,Công ty Cổ phần Nhiệt điện Quảng Ninh,Quảng Ninh,"10,62%","10,62%","Sản xuất, truyền tải và phân phối điện","Sản xuất, truyền tải và phân phối điện",,,0.10619999999999999,0.10619999999999999,,
