row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Chênh lệch đánh giá lại TS VND,Quỹ đầu tư phát triển VND,LNST chưa phân phối VND,LICĐ không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Chênh lệch đánh giá lại TS VND,numeric__Quỹ đầu tư phát triển VND,numeric__LNST chưa phân phối VND,numeric__LICĐ không kiểm soát VND,numeric__Tổng cộng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,6.800.000.000.000,(3.621.853.512),(1.848.203.592),16.947.671.039,(451.405.772.195),161.055.986.690,6.521.127.828.430,6800000000000.0,-3621853512.0,-1848203592.0,16947671039.0,-451405772195.0,161055986690.0,6521127828430.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,-,-,-,-,-,-,-,,,,,,,
Tăng khác,Tăng vốn trong năm trước > Tăng khác,Tăng khác,-,3.640.600.000,-,60.973.465,-,-,3.701.573.465,,3640600000.0,,60973465.0,,,3701573465.0
Lãi trong năm trước,Tăng vốn trong năm trước > Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,674.100.028.672,(10.138.168.148),663.961.860.524,,,,,674100028672.0,-10138168148.0,663961860524.0
Lỗ trong năm trước,Lỗ trong năm trước,Lỗ trong năm trước,-,-,-,-,-,-,-,,,,,,,
Giảm khác,Lỗ trong năm trước > Giảm khác,Giảm khác,-,(2.105.231),-,-,-,(58.868.234),(60.973.465),,-2105231.0,,,,-58868234.0,-60973465.0
Số dư cuối năm trước/ đầu năm nay,Lỗ trong năm trước > Số dư cuối năm trước/ đầu năm nay,Số dư cuối năm trước/ đầu năm nay,6.800.000.000.000,16.641.257,(1.848.203.592),17.008.644.504,222.694.256.477,150.858.950.308,7.188.730.288.954,6800000000000.0,16641257.0,-1848203592.0,17008644504.0,222694256477.0,150858950308.0,7188730288954.0
Tăng vốn trong năm nay,Tăng vốn trong năm nay,Tăng vốn trong năm nay,-,-,-,-,-,-,-,,,,,,,
Tăng khác,Tăng vốn trong năm nay > Tăng khác,Tăng khác,-,-,-,3.269.425.647,-,-,3.269.425.647,,,,3269425647.0,,,3269425647.0
Lãi trong năm nay,Tăng vốn trong năm nay > Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,498.660.422.552,(35.719.477.607),462.940.944.945,,,,,498660422552.0,-35719477607.0,462940944945.0
Giảm vốn trong năm nay,Giảm vốn trong năm nay,Giảm vốn trong năm nay,-,-,-,-,-,-,-,,,,,,,
Giảm khác,Giảm vốn trong năm nay > Giảm khác,Giảm khác,-,-,-,-,(311.162.054.682),(28.559.738),(311.190.614.420),,,,,-311162054682.0,-28559738.0,-311190614420.0
Số dư cuối năm,Giảm vốn trong năm nay > Số dư cuối năm,Số dư cuối năm,6.800.000.000.000,16.641.257,(1.848.203.592),20.278.070.151,410.192.624.347,115.110.912.963,7.343.750.045.126,6800000000000.0,16641257.0,-1848203592.0,20278070151.0,410192624347.0,115110912963.0,7343750045126.0
