row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Vốn khác của chủ sở hữu VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,5.294.000.000.000,3.665.420.000,2.260.185.002.979,3.018.455.058.084,29.143.335.457,10.605.448.816.520,5294000000000.0,3665420000.0,2260185002979.0,3018455058084.0,29143335457.0,10605448816520.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,1.108.892.825.082,1.249.891.810,1.110.142.716.892,,,,1108892825082.0,1249891810.0,1110142716892.0
Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,-,-,333.090.400.291,(333.090.400.291),-,-,,,333090400291.0,-333090400291.0,,
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,(157.469.135.742),(804.364.765),(158.273.500.507),,,,-157469135742.0,-804364765.0,-158273500507.0
"Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2022","Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2022","Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2022",-,-,-,(3.737.002.097),-,(3.737.002.097),,,,-3737002097.0,,-3737002097.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(1.588.200.000.000),(1.997.796.650),(1.590.197.796.650),,,,-1588200000000.0,-1997796650.0,-1590197796650.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,5.294.000.000.000,3.665.420.000,2.593.275.403.270,2.044.851.345.036,27.591.065.852,9.963.383.234.158,5294000000000.0,3665420000.0,2593275403270.0,2044851345036.0,27591065852.0,9963383234158.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,1.419.657.938.042,8.348.643.400,1.428.006.581.442,,,,1419657938042.0,8348643400.0,1428006581442.0
Trích Quỹ đầu tư phát triển (i),Trích Quỹ đầu tư phát triển (i),Trích Quỹ đầu tư phát triển (i),-,-,370.936.488.607,(370.936.488.607),-,-,,,370936488607.0,-370936488607.0,,
"Trích Quỹ khen thưởng, phúc lợi (i)","Trích Quỹ khen thưởng, phúc lợi (i)","Trích Quỹ khen thưởng, phúc lợi (i)",-,-,-,(152.256.554.837),(1.038.197.972),(153.294.752.809),,,,-152256554837.0,-1038197972.0,-153294752809.0
"Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2023","Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2023","Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2023",-,-,-,(3.147.709),-,(3.147.709),,,,-3147709.0,,-3147709.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(1.058.800.000.000),(2.115.314.100),(1.060.915.314.100),,,,-1058800000000.0,-2115314100.0,-1060915314100.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,5.294.000.000.000,3.665.420.000,2.964.211.891.877,1.882.513.091.925,32.786.197.180,10.177.176.600.982,5294000000000.0,3665420000.0,2964211891877.0,1882513091925.0,32786197180.0,10177176600982.0
