row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quỹ khác,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quỹ khác,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,3.663.563.030.000,333.257.781.211,24.890.292.522,140.690.363.892,285.317.806.245,4.447.719.273.870,3663563030000.0,333257781211.0,24890292522.0,140690363892.0,285317806245.0,4447719273870.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,128.711.037.864,128.711.037.864,,,,,128711037864.0,128711037864.0
Trích quỹ đầu tư phát triển,Năm trước > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,5.481.856.816,(5.481.856.816),-,,,,5481856816.0,-5481856816.0,
"Trích quỹ khen thưởng, phúc lợi","Năm trước > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(10.963.713.632),(10.963.713.632),,,,,-10963713632.0,-10963713632.0
Chi Hoạt động của HĐQT,Năm trước > Chi Hoạt động của HĐQT,Chi Hoạt động của HĐQT,-,-,-,-,(7.147.390.428),(7.147.390.428),,,,,-7147390428.0,-7147390428.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,3.663.563.030.000,333.257.781.211,24.890.292.522,146.172.220.708,390.435.883.233,4.558.319.207.674,3663563030000.0,333257781211.0,24890292522.0,146172220708.0,390435883233.0,4558319207674.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.663.563.030.000,333.257.781.211,24.890.292.522,146.172.220.708,390.435.883.233,4.558.319.207.674,3663563030000.0,333257781211.0,24890292522.0,146172220708.0,390435883233.0,4558319207674.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,227.423.504.528,227.423.504.528,,,,,227423504528.0,227423504528.0
Trích quỹ đầu tư phát triển,Năm nay > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,6.435.551.893,(6.435.551.893),-,,,,6435551893.0,-6435551893.0,
"Trích quỹ khen thưởng, phúc lợi","Năm nay > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(12.871.103.786),(12.871.103.786),,,,,-12871103786.0,-12871103786.0
Chi Hoạt động của HĐQT,Năm nay > Chi Hoạt động của HĐQT,Chi Hoạt động của HĐQT,-,-,-,-,(2.250.000.000),(2.250.000.000),,,,,-2250000000.0,-2250000000.0
Chia cổ tức bằng cổ phiếu (*),Năm nay > Chia cổ tức bằng cổ phiếu (*),Chia cổ tức bằng cổ phiếu (*),293.054.720.000,(154.000.000),-,-,(293.054.720.000),(154.000.000),293054720000.0,-154000000.0,,,-293054720000.0,-154000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.956.617.750.000,333.103.781.211,24.890.292.522,152.607.772.601,303.248.012.082,4.770.467.608.416,3956617750000.0,333103781211.0,24890292522.0,152607772601.0,303248012082.0,4770467608416.0
