row_label_raw,row_label_full,STT,Tên công ty con,Tên viết tắt,Lĩnh vực kinh doanh,Tình trang hoạt động,Tỷ lệ biểu quyết (%),numeric__Tên công ty con,numeric__Tên viết tắt,numeric__Lĩnh vực kinh doanh,numeric__Tình trang hoạt động,numeric__Tỷ lệ biểu quyết (%)
61,61,61,Công ty TNHH Đầu Tư Bất động sản Phúc Hưng Phát,Phúc Hưng Phát,Kinh doanh và môi giới BĐS,Đang hoạt động,100,,,,,100.0
62,62,62,Công ty Cổ phần Đầu tư và Dịch vụ Bất động sản Tây Nam,Tây Nam,Kinh doanh và môi giới BĐS,Đang hoạt động,"56,5",,,,,56.5
63,63,63,Công ty Cổ phần Đầu tư Sapphire Tower,Sapphire,Kinh doanh và môi giới BĐS,Đang làm thủ tục giải thể,100,,,,,100.0
64,64,64,Công ty Cổ phần đầu tư Emerald Tower,Emerald,Kinh doanh và môi giới BĐS,Đang làm thủ tục giải thể,100,,,,,100.0
65,65,65,Công ty Cổ phần DAMC,DAMC,Kinh doanh và môi giới BĐS,Đang làm thủ tục giải thể,100,,,,,100.0
66,66,66,Công ty TNHH Xây dựng Thương mại Dịch vụ Hà Thuận Hùng,Hà Thuận Hùng,Xây dựng,Đang hoạt động,51,,,,,51.0
67,67,67,Công ty Cổ phần Công Nghệ Bất động sản Việt Nam,Công Nghệ BĐS,Phát triển công nghệ,Đang hoạt động,"50,99",,,,,50.99
68,68,68,Công ty Cổ phần Công nghệ Ihouzz,Công nghệ Thông tin BĐS,Phát triển công nghệ,Đang hoạt động,"53,54",,,,,53.54
69,69,69,Công ty Cổ phần Dịch vụ Quản lý Tài sản và Đầu tư Asahi Japan,Asahi,Quản lý tài sản và đầu tư BĐS,Đang hoạt động,51,,,,,51.0
70,70,70,Công ty Cổ phần Dịch vụ Tài chính Bất động sản Tulip,Tulip,Dịch vụ tài chính,Đang hoạt động,60,,,,,60.0
71,71,71,Công ty TNHH Nông nghiệp Lifarm,Lifarm,Nông nghiệp,Đang hoạt động,100,,,,,100.0
72,72,72,Công ty Cổ phần Tư vấn Đầu tư S-Advices,S-Advices,Tư vấn quản lý,Đang hoạt động,98,,,,,98.0
73,73,73,Công ty TNHH Tư vấn S-Media,S-Media,Quảng cáo,Đang hoạt động,99,,,,,99.0
74,74,74,Công ty TNHH S-O Farm,S-O Farm,Nông nghiệp,Đang hoạt động,"98,57",,,,,98.57
75,75,75,Công ty TNHH Regal Food,Regal Food,Thực phẩm,Đang hoạt động,100,,,,,100.0
76,76,76,Công ty TNHH Công nghệ S-Tech,S-Tech,Phát triển công nghệ,Đang hoạt động,100,,,,,100.0
77,77,77,Công ty Cổ phần dịch vụ Asahi Luxstay,Asahi Luxstay,Tư vấnquản lý,Đang hoạt động,51,,,,,51.0
78,78,78,Công ty TNHH MTV Regal Hotels&Resort,Regal Hotels,Cơ sở lưu trú du lịch,Đang hoạt động,100,,,,,100.0
79,79,79,Công Ty Cổ Phần Đất Xanh Commercial,Đất Xanh Commercial,"Tư vấn, môi giới BĐS",Đang hoạt động,70,,,,,70.0
80,80,80,Công ty Cổ phần Thương mại Dịch vụ Việt Nhật Cares,Việt Nhật Cares,Vệ sinh nhà cửa,Đang hoạt động,51,,,,,51.0
81,81,81,Công ty Cổ phần Dịch vụ Bất động sản Đông Bắc Bộ Homes,Đồng Bắc Bộ Homes,Kinh doanh BĐS,Đang hoạt động,51,,,,,51.0
82,82,82,Công ty TNHH MTV Cara Smart City,Cara Smart City,Kinh doanh và môi giới BĐS,Đang hoạt động,100,,,,,100.0
