row_label_raw,row_label_full,Bên liên quan khác,Mối quan hệ,numeric__Mối quan hệ
Công ty Cổ phần Vật liệu Xây dựng Becamex,Công ty Cổ phần Vật liệu Xây dựng Becamex,Công ty Cổ phần Vật liệu Xây dựng Becamex,Công ty con của Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,
Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công ty liên kết của Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,
Công ty TNHH MTV Sản xuất Thương mại Nhựa Bình Dương,Công ty TNHH MTV Sản xuất Thương mại Nhựa Bình Dương,Công ty TNHH MTV Sản xuất Thương mại Nhựa Bình Dương,Công ty con của Công ty Cổ phần Xây dựng và Giao thông Bình Dương,
Công ty Cổ phần Bệnh viện Mỹ Phước,Công ty Cổ phần Bệnh viện Mỹ Phước,Công ty Cổ phần Bệnh viện Mỹ Phước,Công ty con của Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,
Công ty Cổ phần Phát triển Đô thị,Công ty Cổ phần Phát triển Đô thị,Công ty Cổ phần Phát triển Đô thị,Công ty con của Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,
Công ty Cổ phần Bệnh viện Đa khoa Quốc tế Becamex,Công ty Cổ phần Bệnh viện Đa khoa Quốc tế Becamex,Công ty Cổ phần Bệnh viện Đa khoa Quốc tế Becamex,Công ty con của Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,
Trường Đại học Quốc tế Miền Đông,Trường Đại học Quốc tế Miền Đông,Trường Đại học Quốc tế Miền Đông,Công ty con của Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,
Công ty TNHH MTV Hö trợ Khởi nghiệp Becamex IDC – Block 71,Công ty TNHH MTV Hö trợ Khởi nghiệp Becamex IDC – Block 71,Công ty TNHH MTV Hö trợ Khởi nghiệp Becamex IDC – Block 71,Công ty con của Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,
Công ty Cổ phần VSIP Cần Thơ,Công ty Cổ phần VSIP Cần Thơ,Công ty Cổ phần VSIP Cần Thơ,Công ty liên kết của Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,
Công ty Cổ phần Setia – Becamex,Công ty Cổ phần Setia – Becamex,Công ty Cổ phần Setia – Becamex,Công ty liên kết của Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,
Công ty Cổ phần Dược phẩm Savi,Công ty Cổ phần Dược phẩm Savi,Công ty Cổ phần Dược phẩm Savi,Công ty liên kết của Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,
Công ty Cổ phần Phát triển Giáo dục Miền Đông,Công ty Cổ phần Phát triển Giáo dục Miền Đông,Công ty Cổ phần Phát triển Giáo dục Miền Đông,Công ty liên kết của Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,
Công ty Cổ phần Becamex Bình Định,Công ty Cổ phần Becamex Bình Định,Công ty Cổ phần Becamex Bình Định,Công ty liên kết của Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,
Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,Công ty liên kết của Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,
Công ty TNHH Giải pháp VNTT,Công ty TNHH Giải pháp VNTT,Công ty TNHH Giải pháp VNTT,Công ty con của Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,
Công ty TNHH Becamex Tokyou,Công ty TNHH Becamex Tokyou,Công ty TNHH Becamex Tokyou,Công ty liên kết của Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,
Công ty TNHH Xe buýt Becamex Tokyou,Công ty TNHH Xe buýt Becamex Tokyou,Công ty TNHH Xe buýt Becamex Tokyou,Công ty con của Công ty TNHH Becamex Tokyou,
Công ty Cổ phần Phát triển Công nghiệp BW,Công ty Cổ phần Phát triển Công nghiệp BW,Công ty Cổ phần Phát triển Công nghiệp BW,Công ty liên kết của Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,
Công ty TNHH MTV Phát triển Công nghiệp BW Thới Hòa,Công ty TNHH MTV Phát triển Công nghiệp BW Thới Hòa,Công ty TNHH MTV Phát triển Công nghiệp BW Thới Hòa,Công ty con của Công ty Cổ phần Phát triển Công nghiệp BW,
Công ty TNHH MTV Phát triển Công nghiệp BW Thới Hòa – Dự án 2,Công ty TNHH MTV Phát triển Công nghiệp BW Thới Hòa – Dự án 2,Công ty TNHH MTV Phát triển Công nghiệp BW Thới Hòa – Dự án 2,Công ty con của Công ty Cổ phần Phát triển Công nghiệp BW,
Công ty TNHH BW Supply Chain City,Công ty TNHH BW Supply Chain City,Công ty TNHH BW Supply Chain City,Công ty con của Công ty Cổ phần Phát triển Công nghiệp BW,
Công ty TNHH MTV Phát triển Công nghiệp BW Bầu Bàng – Dự án 3,Công ty TNHH MTV Phát triển Công nghiệp BW Bầu Bàng – Dự án 3,Công ty TNHH MTV Phát triển Công nghiệp BW Bầu Bàng – Dự án 3,Công ty con của Công ty Cổ phần Phát triển Công nghiệp BW,
