row_label_raw,row_label_full,Tài sản tài chính
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh
- Chứng chỉ quý,- Chứng chỉ quý,- Chứng chỉ quý
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn
- Hop đồng tiền gửi,- Hop đồng tiền gửi,- Hop đồng tiền gửi
Đầu tư tài chính khác,Đầu tư tài chính khác,Đầu tư tài chính khác
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu
- Phải thu các bên liên quan,- Phải thu các bên liên quan,- Phải thu các bên liên quan
- Phải thu cổ tức và lợi nhuận,- Phải thu cổ tức và lợi nhuận,- Phải thu cổ tức và lợi nhuận
- Phải thu khác,- Phải thu khác,- Phải thu khác
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính
Phải trả các bên liên quan,Phải trả các bên liên quan,Phải trả các bên liên quan
Phải trả thương mại,Phải trả thương mại,Phải trả thương mại
Phải trả khác,Phải trả khác,Phải trả khác
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG
