row_label_raw,row_label_full,Đơn vị tính: VND,Đơn vị tính: VND_1,Đơn vị tính: VND_2,Đơn vị tính: VND_3,Đơn vị tính: VND_4,Đơn vị tính: VND_5,Đơn vị tính: VND_6,numeric__Đơn vị tính: VND_1,numeric__Đơn vị tính: VND_2,numeric__Đơn vị tính: VND_3,numeric__Đơn vị tính: VND_4,numeric__Đơn vị tính: VND_5,numeric__Đơn vị tính: VND_6
a. Báo cáo chính yếu theo lĩnh vực kinh doanh (tiếp theo),a. Báo cáo chính yếu theo lĩnh vực kinh doanh (tiếp theo),a. Báo cáo chính yếu theo lĩnh vực kinh doanh (tiếp theo),a. Báo cáo chính yếu theo lĩnh vực kinh doanh (tiếp theo),a. Báo cáo chính yếu theo lĩnh vực kinh doanh (tiếp theo),a. Báo cáo chính yếu theo lĩnh vực kinh doanh (tiếp theo),a. Báo cáo chính yếu theo lĩnh vực kinh doanh (tiếp theo),a. Báo cáo chính yếu theo lĩnh vực kinh doanh (tiếp theo),a. Báo cáo chính yếu theo lĩnh vực kinh doanh (tiếp theo),,,,,,
Năm nay,Năm nay,Năm nay,Bán hàng,Dịch vụ,Bất động sản đầu tư,"Vận hành, bảo dưỡng Hầm",Xây dựng,Tổng cộng,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,24.101.860.278,20.703.813.635,599.435.000,222.670.410.625,77.562.194.554,345.637.714.092,24101860278.0,20703813635.0,599435000.0,222670410625.0,77562194554.0,345637714092.0
Doanh thu thuần cung cấp giữa các bộ phận,Doanh thu thuần cung cấp giữa các bộ phận,Doanh thu thuần cung cấp giữa các bộ phận,,,,,,,,,,,,
Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần cung cấp giữa các bộ phận > Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,24.101.860.278,20.703.813.635,599.435.000,222.670.410.625,77.562.194.554,345.637.714.092,24101860278.0,20703813635.0,599435000.0,222670410625.0,77562194554.0,345637714092.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần cung cấp giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,,,,,,36.857.528.392,,,,,,36857528392.0
Các chi phí không phân bổ theo bộ phận,Doanh thu thuần cung cấp giữa các bộ phận > Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,(16.011.654.305),,,,,,-16011654305.0
Lợi nhuận từ hoạt động kinh doanh,Doanh thu thuần cung cấp giữa các bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,20.845.874.087,,,,,,20845874087.0
Doanh thu hoạt động tài chính,Doanh thu thuần cung cấp giữa các bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,8.631.010.269,,,,,,8631010269.0
Chi phí tài chính,Doanh thu thuần cung cấp giữa các bộ phận > Chi phí tài chính,Chi phí tài chính,,,,,,(6.703.615.330),,,,,,-6703615330.0
Thu nhập khác,Doanh thu thuần cung cấp giữa các bộ phận > Thu nhập khác,Thu nhập khác,,,,,,15.605.497,,,,,,15605497.0
Chi phí khác,Doanh thu thuần cung cấp giữa các bộ phận > Chi phí khác,Chi phí khác,,,,,,(3.802.680.733),,,,,,-3802680733.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Doanh thu thuần cung cấp giữa các bộ phận > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,(2.473.947.351),,,,,,-2473947351.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,,,,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,16.512.246.439,,,,,,16512246439.0
