row_label_raw,row_label_full,Tên,Chức vụ,col_2,col_3,numeric__Chức vụ,numeric__col_2,numeric__col_3
Trần Ngọc Nguyên,Trần Ngọc Nguyên,Trần Ngọc Nguyên,"Chủ tịch Hội đồng Quản trị (""HDQT"")",2.071.625.452,1.601.181.892,,2071625452.0,1601181892.0
Văn Tiến Thanh,Văn Tiến Thanh,Văn Tiến Thanh,Thành viên HDQT - Tổng Giám đốc,2.080.269.308,1.568.027.574,,2080269308.0,1568027574.0
Lê Đức Quang,Lê Đức Quang,Lê Đức Quang,Thành viên HDQT,1.528.064.086,434.038.246,,1528064086.0,434038246.0
Trần Mỹ,Trần Mỹ,Trần Mỹ,Thành viên HDQT,1.727.709.646,1.290.253.393,,1727709646.0,1290253393.0
Nguyễn Đức Hạnh,Nguyễn Đức Hạnh,Nguyễn Đức Hạnh,Thành viên HDQT,1.727.709.646,1.290.253.393,,1727709646.0,1290253393.0
Nguyễn Minh Phương,Nguyễn Minh Phương,Nguyễn Minh Phương,Thành viên HDQT độc lập,152.727.273,280.000.000,,152727273.0,280000000.0
Trương Hồng,Trương Hồng,Trương Hồng,Thành viên HDQT độc lập,327.272.727,-,,327272727.0,
Đỗ Thị Hoa,Đỗ Thị Hoa,Đỗ Thị Hoa,Thành viên HDQT độc lập,327.272.727,-,,327272727.0,
Trần Chí Nguyên,Trần Chí Nguyên,Trần Chí Nguyên,Phó Tổng Giám đốc,1.727.709.646,1.354.407.239,,1727709646.0,1354407239.0
Lê Ngọc Minh Trí,Lê Ngọc Minh Trí,Lê Ngọc Minh Trí,Phó Tổng Giám đốc,1.727.709.646,1.290.253.393,,1727709646.0,1290253393.0
Nguyễn Tuấn Anh,Nguyễn Tuấn Anh,Nguyễn Tuấn Anh,Phó Tổng Giám đốc,1.708.688.882,1.242.212.998,,1708688882.0,1242212998.0
Nguyễn Thị Hiền,Nguyễn Thị Hiền,Nguyễn Thị Hiền,Phó Tổng Giám đốc,1.689.473.346,1.206.270.443,,1689473346.0,1206270443.0
Nguyễn Thanh Tùng,Nguyễn Thanh Tùng,Nguyễn Thanh Tùng,Phó Tổng Giám đốc,1.463.257.287,1.246.542.176,,1463257287.0,1246542176.0
Đinh Như Cường,Đinh Như Cường,Đinh Như Cường,Kế toán trường,1.606.409.553,1.211.884.781,,1606409553.0,1211884781.0
Phan Thị Cẩm Hương,Phan Thị Cẩm Hương,Phan Thị Cẩm Hương,Trường Ban Kiểm soát,1.609.762.844,1.226.428.846,,1609762844.0,1226428846.0
Đỗ Minh Dương,Đỗ Minh Dương,Đỗ Minh Dương,Kiểm soát viên chuyên trách,1.297.319.751,939.469.952,,1297319751.0,939469952.0
Trần Văn Bình,Trần Văn Bình,Trần Văn Bình,Kiểm soát viên chuyên trách,525.079.260,-,,525079260.0,
,,,,23.298.061.080,16.181.224.326,,23298061080.0,16181224326.0
