row_label_raw,row_label_full,THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO),THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_1,THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_2,THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_3,THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_4,THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_5,THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_6,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_1,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_2,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_3,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_4,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_5,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH RIÊNG (TIẾP THEO)_6
22. VAY VÀ PHẢI TRẢ THUÊ TÀI CHÍNH (TIẾP THEO),22. VAY VÀ PHẢI TRẢ THUÊ TÀI CHÍNH (TIẾP THEO),22. VAY VÀ PHẢI TRẢ THUÊ TÀI CHÍNH (TIẾP THEO),22. VAY VÀ PHẢI TRẢ THUÊ TÀI CHÍNH (TIẾP THEO),22. VAY VÀ PHẢI TRẢ THUÊ TÀI CHÍNH (TIẾP THEO),22. VAY VÀ PHẢI TRẢ THUÊ TÀI CHÍNH (TIẾP THEO),22. VAY VÀ PHẢI TRẢ THUÊ TÀI CHÍNH (TIẾP THEO),22. VAY VÀ PHẢI TRẢ THUÊ TÀI CHÍNH (TIẾP THEO),22. VAY VÀ PHẢI TRẢ THUÊ TÀI CHÍNH (TIẾP THEO),,,,,,
22.1 VAY (TIẾP THEO),22.1 VAY (TIẾP THEO),22.1 VAY (TIẾP THEO),22.1 VAY (TIẾP THEO),22.1 VAY (TIẾP THEO),22.1 VAY (TIẾP THEO),22.1 VAY (TIẾP THEO),22.1 VAY (TIẾP THEO),22.1 VAY (TIẾP THEO),,,,,,
(b) Dài hạn,(b) Dài hạn,(b) Dài hạn,(b) Dài hạn,(b) Dài hạn,(b) Dài hạn,(b) Dài hạn,(b) Dài hạn,(b) Dài hạn,,,,,,
,,,,01/01/2025VND,TăngVND,GiảmVND,Chênh lệch tỷ giáVND,31/12/2025VND,,,,,,
,,,Vay ngân hàng (*),2.217.438.687.883,9.737.357.423.026,(1.119.987.760.410),6.060.216.651,10.840.868.567.150,,2217438687883.0,9737357423026.0,-1119987760410.0,6060216651.0,10840868567150.0
,,,Trái phiếu thường (**),25.000.000.000.000,10.500.000.000.000,(6.000.000.000.000),-,29.500.000.000.000,,25000000000000.0,10500000000000.0,-6000000000000.0,,29500000000000.0
,,,Chi phí phát hành trái phiếu,(448.158.647.932),(153.235.000.000),144.388.697.035,-,(457.004.950.897),,-448158647932.0,-153235000000.0,144388697035.0,,-457004950897.0
,,,,26.769.280.039.951,20.084.122.423.026,(6.975.599.063.375),6.060.216.651,39.883.863.616.253,,26769280039951.0,20084122423026.0,-6975599063375.0,6060216651.0,39883863616253.0
(*) Vay ngân hàng,(*) Vay ngân hàng,(*) Vay ngân hàng,(*) Vay ngân hàng,(*) Vay ngân hàng,(*) Vay ngân hàng,(*) Vay ngân hàng,(*) Vay ngân hàng,(*) Vay ngân hàng,,,,,,
Bên cho vay,Bên cho vay,Bên cho vay,Loại tiền,Thời gian đáo hạn,31/12/2025,31/12/2025,01/01/2025,01/01/2025,,,,,,
Bên cho vay,Bên cho vay,Bên cho vay,Loại tiền,Thời gian đáo hạn,Vay dài hạn đến hạn trảVND,Vay dài dạnVND,Vay dài hạn đến hạn trảVND,Vay dài dạnVND,,,,,,
Bên cho vay,Bên cho vay > Bên cho vay,Bên cho vay,Ngân hàng TMCP Quân đội (i),USD Tháng 6 năm 2028,76.335.038.000,117.188.369.442,73.944.594.000,187.463.190.791,,,76335038000.0,117188369442.0,73944594000.0,187463190791.0
Bên cho vay,Bên cho vay > Bên cho vay,Bên cho vay,Ngân hàng TMCP Quân đội (ii),VND Tháng 12 năm 2037,148.793.621.666,1.636.729.838.318,-,-,,,148793621666.0,1636729838318.0,,
Bên cho vay,Bên cho vay > Bên cho vay,Bên cho vay,Ngân hàng TMCP Công thương Việt Nam (iii),VND Tháng 12 năm 2036,184.543.227.008,2.861.620.505.332,184.543.227.008,2.029.975.497.092,,,184543227008.0,2861620505332.0,184543227008.0,2029975497092.0
Bên cho vay,Bên cho vay > Bên cho vay,Bên cho vay,Ngân hàng TMCP Công thương Việt Nam (iv),VND Tháng 12 năm 2037,260.147.318.668,1.845.432.270.084,-,-,,,260147318668.0,1845432270084.0,,
Bên cho vay,Bên cho vay > Bên cho vay,Bên cho vay,Ngân hàng TMCP Quốc tế Việt Nam (v),VND Tháng 4 năm 2037,126.413.043.480,1.327.336.956.520,-,-,,,126413043480.0,1327336956520.0,,
Bên cho vay,Bên cho vay > Bên cho vay,Bên cho vay,Ngân hàng TMCP Quốc tế Việt Nam (vi),VND Tháng 12 năm 2037,147.162.476.088,1.618.787.236.954,-,-,,,147162476088.0,1618787236954.0,,
Bên cho vay,Bên cho vay > Bên cho vay,Bên cho vay,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (vii),VND Tháng 11 năm 2037,130.343.035.500,1.433.773.390.500,-,-,,,130343035500.0,1433773390500.0,,
,,,,,1.073.737.760.410,10.840.868.567.150,258.487.821.008,2.217.438.687.883,,,1073737760410.0,10840868567150.0,258487821008.0,2217438687883.0
