row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Tổng cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.486.319.650.000,84.146.444.796,123.011.473.161,702.079.364.985,4.395.556.932.942,3486319650000.0,84146444796.0,123011473161.0,702079364985.0,4395556932942.0
Tăng vốn trong năm trước (*),Tăng vốn trong năm trước (*),Tăng vốn trong năm trước (*),5.438.800.000.000,9.844.228.000.000,-,-,15.283.028.000.000,5438800000000.0,9844228000000.0,,,15283028000000.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,50.718.559.590,50.718.559.590,,,,50718559590.0,50718559590.0
Phân phối các quỹ,Phân phối các quỹ,Phân phối các quỹ,-,-,-,-,-,,,,,
Giảm khác,Phân phối các quỹ > Giảm khác,Giảm khác,-,(88.000.000),-,"(30.399.000,00)",(118.399.000),,-88000000.0,,-30399000.0,-118399000.0
Số dư cuối năm trước,Phân phối các quỹ > Số dư cuối năm trước,Số dư cuối năm trước,8.925.119.650.000,9.928.286.444.796,123.011.473.161,752.767.525.575,19.729.185.093.532,8925119650000.0,9928286444796.0,123011473161.0,752767525575.0,19729185093532.0
Tăng vốn trong năm nay,Tăng vốn trong năm nay,Tăng vốn trong năm nay,-,-,-,-,-,,,,,
Lãi trong năm nay,Tăng vốn trong năm nay > Lãi trong năm nay,Lãi trong năm nay,-,-,-,97.101.442.583,97.101.442.583,,,,97101442583.0,97101442583.0
Phân phối các quỹ,Phân phối các quỹ,Phân phối các quỹ,-,-,-,-,-,,,,,
Giảm khác,Phân phối các quỹ > Giảm khác,Giảm khác,-,(153.000.000),-,(9.600.000),(162.600.000),,-153000000.0,,-9600000.0,-162600000.0
Số dư cuối năm nay,Phân phối các quỹ > Số dư cuối năm nay,Số dư cuối năm nay,8.925.119.650.000,9.928.133.444.796,123.011.473.161,849.859.368.158,19.826.123.936.115,8925119650000.0,9928133444796.0,123011473161.0,849859368158.0,19826123936115.0
