row_label_raw,row_label_full,col_0,31/12/2017 > Giá trịVND,31/12/2017 > Số có khả năngtrả nợVND,Trong năm > TăngVND,Trong năm > GiảmVND,01/01/2017 > Giá trịVND,01/01/2017 > Số có khả năngtrả nợVND,numeric__31/12/2017 > Giá trịVND,numeric__31/12/2017 > Số có khả năngtrả nợVND,numeric__Trong năm > TăngVND,numeric__Trong năm > GiảmVND,numeric__01/01/2017 > Giá trịVND,numeric__01/01/2017 > Số có khả năngtrả nợVND
Chi tiết tại Công ty Cổ phần Nhựa và Môi trường xanh An Phát,Chi tiết tại Công ty Cổ phần Nhựa và Môi trường xanh An Phát,Chi tiết tại Công ty Cổ phần Nhựa và Môi trường xanh An Phát,Chi tiết tại Công ty Cổ phần Nhựa và Môi trường xanh An Phát,Chi tiết tại Công ty Cổ phần Nhựa và Môi trường xanh An Phát,Chi tiết tại Công ty Cổ phần Nhựa và Môi trường xanh An Phát,Chi tiết tại Công ty Cổ phần Nhựa và Môi trường xanh An Phát,Chi tiết tại Công ty Cổ phần Nhựa và Môi trường xanh An Phát,Chi tiết tại Công ty Cổ phần Nhựa và Môi trường xanh An Phát,,,,,,
- Ngân hàng TMCP Công thương Việt Nam- Chi nhánh Hải Dương (i),Chi tiết tại Công ty Cổ phần Nhựa và Môi trường xanh An Phát > - Ngân hàng TMCP Công thương Việt Nam- Chi nhánh Hải Dương (i),- Ngân hàng TMCP Công thương Việt Nam- Chi nhánh Hải Dương (i),493.974.718.525,493.974.718.525,1.078.394.174.576,835.916.182.899,251.496.726.848,251.496.726.848,493974718525.0,493974718525.0,1078394174576.0,835916182899.0,251496726848.0,251496726848.0
- Ngân hàng TMCP Xăng dầu Petrolimex - Chi nhánh Hải Dương (ii),Chi tiết tại Công ty Cổ phần Nhựa và Môi trường xanh An Phát > - Ngân hàng TMCP Xăng dầu Petrolimex - Chi nhánh Hải Dương (ii),- Ngân hàng TMCP Xăng dầu Petrolimex - Chi nhánh Hải Dương (ii),157.618.203.194,157.618.203.194,303.390.235.013,145.772.031.819,-,-,157618203194.0,157618203194.0,303390235013.0,145772031819.0,,
- Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Hải Dương (iii),Chi tiết tại Công ty Cổ phần Nhựa và Môi trường xanh An Phát > - Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Hải Dương (iii),- Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Hải Dương (iii),128.660.085.386,128.660.085.386,497.044.864.754,540.012.912.969,171.628.133.601,171.628.133.601,128660085386.0,128660085386.0,497044864754.0,540012912969.0,171628133601.0,171628133601.0
- Ngân hàng TMCP đầu tư và phát triển Việt Nam (BIDV)- Sở Giao Dịch 1 (iv),Chi tiết tại Công ty Cổ phần Nhựa và Môi trường xanh An Phát > - Ngân hàng TMCP đầu tư và phát triển Việt Nam (BIDV)- Sở Giao Dịch 1 (iv),- Ngân hàng TMCP đầu tư và phát triển Việt Nam (BIDV)- Sở Giao Dịch 1 (iv),109.362.113.663,109.362.113.663,112.438.369.126,3.076.255.463,-,-,109362113663.0,109362113663.0,112438369126.0,3076255463.0,,
- Ngân hàng TMCP Quân đội - Chi nhánh Hải Dương (v),Chi tiết tại Công ty Cổ phần Nhựa và Môi trường xanh An Phát > - Ngân hàng TMCP Quân đội - Chi nhánh Hải Dương (v),- Ngân hàng TMCP Quân đội - Chi nhánh Hải Dương (v),91.922.518.634,91.922.518.634,243.512.685.261,251.166.621.444,99.576.454.817,99.576.454.817,91922518634.0,91922518634.0,243512685261.0,251166621444.0,99576454817.0,99576454817.0
- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hải Dương (vi),Chi tiết tại Công ty Cổ phần Nhựa và Môi trường xanh An Phát > - Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hải Dương (vi),- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hải Dương (vi),60.995.995.794,60.995.995.794,298.853.515.318,332.501.377.815,94.643.858.291,94.643.858.291,60995995794.0,60995995794.0,298853515318.0,332501377815.0,94643858291.0,94643858291.0
- Ngân hàng TNHH MTV Hong Leong VN-Chi nhánh Hà Nội (vii),Chi tiết tại Công ty Cổ phần Nhựa và Môi trường xanh An Phát > - Ngân hàng TNHH MTV Hong Leong VN-Chi nhánh Hà Nội (vii),- Ngân hàng TNHH MTV Hong Leong VN-Chi nhánh Hà Nội (vii),44.070.831.263,44.070.831.263,44.070.831.263,-,,,44070831263.0,44070831263.0,44070831263.0,,,
- Ngân hàng Bangkok Đại chúng TNHH - Chi nhánh Hà Nội (viii),Chi tiết tại Công ty Cổ phần Nhựa và Môi trường xanh An Phát > - Ngân hàng Bangkok Đại chúng TNHH - Chi nhánh Hà Nội (viii),- Ngân hàng Bangkok Đại chúng TNHH - Chi nhánh Hà Nội (viii),32.877.197.176,32.877.197.176,157.520.667.416,162.324.794.855,37.681.324.615,37.681.324.615,32877197176.0,32877197176.0,157520667416.0,162324794855.0,37681324615.0,37681324615.0
- Ngân hàng TMCP Việt Nam Thịnh Vượng,Chi tiết tại Công ty Cổ phần Nhựa và Môi trường xanh An Phát > - Ngân hàng TMCP Việt Nam Thịnh Vượng,- Ngân hàng TMCP Việt Nam Thịnh Vượng,-,-,20.430.061.989,50.577.046.494,30.146.984.505,30.146.984.505,,,20430061989.0,50577046494.0,30146984505.0,30146984505.0
Cộng (I),Chi tiết tại Công ty Cổ phần Nhựa và Môi trường xanh An Phát > Cộng (I),Cộng (I),1.119.481.663.635,1.119.481.663.635,2.755.655.404.716,2.321.347.223.758,685.173.482.677,685.173.482.677,1119481663635.0,1119481663635.0,2755655404716.0,2321347223758.0,685173482677.0,685173482677.0
