row_label_raw,row_label_full,Năm trước > Chỉ tiêu,Năm trước > Dịch vụ vận tảiVND,Năm trước > Dịch vụ kho nổiVND,Năm trước > Thương mạiVND,Năm trước > Dịch vụ khácVND,Năm trước > TổngVND,numeric__Năm trước > Dịch vụ vận tảiVND,numeric__Năm trước > Dịch vụ kho nổiVND,numeric__Năm trước > Thương mạiVND,numeric__Năm trước > Dịch vụ khácVND,numeric__Năm trước > TổngVND
Doanh thu,Doanh thu,Doanh thu,,,,,,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu > Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,2.320.876.215.920,795.548.143.222,31.644.151.791,122.095.859.400,3.270.164.370.333,2320876215920.0,795548143222.0,31644151791.0,122095859400.0,3270164370333.0
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,2.320.876.215.920,795.548.143.222,31.644.151.791,122.095.859.400,3.270.164.370.333,2320876215920.0,795548143222.0,31644151791.0,122095859400.0,3270164370333.0
Giá vốn,Giá vốn,Giá vốn,,,,,,,,,,
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn > Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,1.864.614.953.074,663.891.604.353,29.480.139.525,115.576.317.384,2.673.563.014.336,1864614953074.0,663891604353.0,29480139525.0,115576317384.0,2673563014336.0
Tổng giá vốn,Giá vốn > Tổng giá vốn,Tổng giá vốn,1.864.614.953.074,663.891.604.353,29.480.139.525,115.576.317.384,2.673.563.014.336,1864614953074.0,663891604353.0,29480139525.0,115576317384.0,2673563014336.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,,,,,,,,,,
Lợi nhuận gộp,Lợi nhuận gộp > Lợi nhuận gộp,Lợi nhuận gộp,456.261.262.846,131.656.538.869,2.164.012.266,6.519.542.016,596.601.355.997,456261262846.0,131656538869.0,2164012266.0,6519542016.0,596601355997.0
Chi phí không phân bổ,Lợi nhuận gộp > Chi phí không phân bổ,Chi phí không phân bổ,,,,,(126.350.441.110),,,,,-126350441110.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận gộp > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,470.250.914.887,,,,,470250914887.0
Doanh thu hoạt động tài chính,Lợi nhuận gộp > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,193.649.753.155,,,,,193649753155.0
Lợi nhuận khác,Lợi nhuận gộp > Lợi nhuận khác,Lợi nhuận khác,,,,,12.480.433.042,,,,,12480433042.0
Chi phí tài chính,Lợi nhuận gộp > Chi phí tài chính,Chi phí tài chính,,,,,(45.726.856.673),,,,,-45726856673.0
Lợi nhuận trước thuế,Lợi nhuận gộp > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,630.654.244.411,,,,,630654244411.0
Chi phí thuế thu nhập doanh nghiệp,Lợi nhuận gộp > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(116.425.553.376),,,,,-116425553376.0
Thuế thu nhập doanh nghiệp hoãn lại,Lợi nhuận gộp > Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,,,,,8.104.473.494,,,,,8104473494.0
Lợi nhuận trong năm,Lợi nhuận gộp > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,,522.333.164.529,,,,,522333164529.0
Thông tin khác,Thông tin khác,Thông tin khác,,,,,,,,,,
Khấu hao,Thông tin khác > Khấu hao,Khấu hao,,,,,217.417.921.947,,,,,217417921947.0
Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,,,,,
