row_label_raw,row_label_full,15 . NGƯỜI MUA TRẢ TIÊN TRƯỚC,15 . NGƯỜI MUA TRẢ TIÊN TRƯỚC_1,15 . NGƯỜI MUA TRẢ TIÊN TRƯỚC_2,numeric__15 . NGƯỜI MUA TRẢ TIÊN TRƯỚC_1,numeric__15 . NGƯỜI MUA TRẢ TIÊN TRƯỚC_2
,,,31/12/2021,01/01/2021,,
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,7.648.775.163,108.803.239.940,7648775163.0,108803239940.0
Bên khác,Bên khác,Bên khác,7.648.775.163,43.162.246.733,7648775163.0,43162246733.0
Công ty xăng dầu Bình Định,Công ty xăng dầu Bình Định,Công ty xăng dầu Bình Định,-,3.000.000.000,,3000000000.0
Công ty CP XD công trình Ngẩm,Công ty CP XD công trình Ngẩm,Công ty CP XD công trình Ngẩm,1.495.821.371,1.495.821.371,1495821371.0,1495821371.0
Công ty xăng dầu khu vực V,Công ty xăng dầu khu vực V,Công ty xăng dầu khu vực V,3.000.000.000,3.000.000.000,3000000000.0,3000000000.0
Tổng công ty xây dựng Lũng Lô,Tổng công ty xây dựng Lũng Lô,Tổng công ty xây dựng Lũng Lô,2.475.005.925,2.475.005.925,2475005925.0,2475005925.0
CN Trung tâm phát triển quỹ đất số 3- TP Đà Nẵng,CN Trung tâm phát triển quỹ đất số 3- TP Đà Nẵng,CN Trung tâm phát triển quỹ đất số 3- TP Đà Nẵng,-,2.587.489.000,,2587489000.0
Đối tượng khác,Đối tượng khác,Đối tượng khác,677.947.867,30.603.930.437,677947867.0,30603930437.0
Bên liên quan,Bên liên quan,Bên liên quan,-,65.640.993.207,,65640993207.0
Công ty Cổ phần Tập đoàn Đèo Cả,Công ty Cổ phần Tập đoàn Đèo Cả,Công ty Cổ phần Tập đoàn Đèo Cả,-,65.640.993.207,,65640993207.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,-,-,,
Cộng,b) Dài hạn > Cộng,Cộng,7.648.775.163,108.803.239.940,7648775163.0,108803239940.0
