row_label_raw,row_label_full,col_0,2015Triệu VND,2014Triệu VNDĐã phân loại lại,numeric__2015Triệu VND,numeric__2014Triệu VNDĐã phân loại lại
Thu nhập lãi và các khoản thu nhập tương tự từ,Thu nhập lãi và các khoản thu nhập tương tự từ,Thu nhập lãi và các khoản thu nhập tương tự từ,Thu nhập lãi và các khoản thu nhập tương tự từ,Thu nhập lãi và các khoản thu nhập tương tự từ,,
Cho vay khách hàng và các tổ chức tín dụng khác,Thu nhập lãi và các khoản thu nhập tương tự từ > Cho vay khách hàng và các tổ chức tín dụng khác,Cho vay khách hàng và các tổ chức tín dụng khác,6.669.181,6.304.951,6669181.0,6304951.0
Tiền gửi tại các tổ chức tín dụng khác,Thu nhập lãi và các khoản thu nhập tương tự từ > Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,350.262,756.626,350262.0,756626.0
Chứng khoán đầu tư,Thu nhập lãi và các khoản thu nhập tương tự từ > Chứng khoán đầu tư,Chứng khoán đầu tư,1.441.696,1.471.392,1441696.0,1471392.0
Nghiệp vụ bảo lãnh,Thu nhập lãi và các khoản thu nhập tương tự từ > Nghiệp vụ bảo lãnh,Nghiệp vụ bảo lãnh,111.129,117.528,111129.0,117528.0
Thu nhập khác từ hoạt động tín dụng,Thu nhập lãi và các khoản thu nhập tương tự từ > Thu nhập khác từ hoạt động tín dụng,Thu nhập khác từ hoạt động tín dụng,28.916,31.214,28916.0,31214.0
,,,8.601.184,8.681.711,8601184.0,8681711.0
Chi phí lãi và các khoản chi phí tương tự từ,Chi phí lãi và các khoản chi phí tương tự từ,Chi phí lãi và các khoản chi phí tương tự từ,Chi phí lãi và các khoản chi phí tương tự từ,Chi phí lãi và các khoản chi phí tương tự từ,,
Tiền gửi của khách hàng và các tổ chức tín dụng khác,Chi phí lãi và các khoản chi phí tương tự từ > Tiền gửi của khách hàng và các tổ chức tín dụng khác,Tiền gửi của khách hàng và các tổ chức tín dụng khác,(4.713.719),(4.967.457),-4713719.0,-4967457.0
Vay tổ chức tín dụng khác,Chi phí lãi và các khoản chi phí tương tự từ > Vay tổ chức tín dụng khác,Vay tổ chức tín dụng khác,(93.702),(501.769),-93702.0,-501769.0
Phát hành giấy tờ có giá,Chi phí lãi và các khoản chi phí tương tự từ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,(375.001),(390.095),-375001.0,-390095.0
Chi phí khác từ hoạt động tín dụng,Chi phí lãi và các khoản chi phí tương tự từ > Chi phí khác từ hoạt động tín dụng,Chi phí khác từ hoạt động tín dụng,(27.620),(2.991),-27620.0,-2991.0
,,,(5.210.042),(5.862.312),-5210042.0,-5862312.0
Thu nhập lãi thuần,Chi phí lãi và các khoản chi phí tương tự từ > Thu nhập lãi thuần,Thu nhập lãi thuần,3.391.142,2.819.399,3391142.0,2819399.0
