row_label_raw,row_label_full,Số dư cuối năm,31/12/2015Triệu VNDPhải thu/(Phải trả),31/12/2014Triệu VND,numeric__31/12/2015Triệu VNDPhải thu/(Phải trả),numeric__31/12/2014Triệu VND
Công ty con,Công ty con,Công ty con,,,,
Tiền gửi từ công ty con,Công ty con > Tiền gửi từ công ty con,Tiền gửi từ công ty con,(94.692),(99.542),-94692.0,-99542.0
Lãi phải trả công ty con,Công ty con > Lãi phải trả công ty con,Lãi phải trả công ty con,(218),(298),-218.0,-298.0
Đầu tư góp vốn vào công ty con,Công ty con > Đầu tư góp vốn vào công ty con,Đầu tư góp vốn vào công ty con,955.000,955.000,955000.0,955000.0
Khoản phải thu khác từ công ty con,Công ty con > Khoản phải thu khác từ công ty con,Khoản phải thu khác từ công ty con,4.000,4.000,4000.0,4000.0
Phải trả công ty con (điều chỉnh lại – Thuyết minh số 40),Công ty con > Phải trả công ty con (điều chỉnh lại – Thuyết minh số 40),Phải trả công ty con (điều chỉnh lại – Thuyết minh số 40),(806.930),(806.930),-806930.0,-806930.0
Các cổ đông lớn,Các cổ đông lớn,Các cổ đông lớn,,,,
Tiền gửi từ các cổ đông lớn,Các cổ đông lớn > Tiền gửi từ các cổ đông lớn,Tiền gửi từ các cổ đông lớn,(1.757.538),(209.691),-1757538.0,-209691.0
Vay từ các cổ đông lớn,Các cổ đông lớn > Vay từ các cổ đông lớn,Vay từ các cổ đông lớn,(112.100),(1.560.740),-112100.0,-1560740.0
Tiền gửi tại các cổ đông lớn,Các cổ đông lớn > Tiền gửi tại các cổ đông lớn,Tiền gửi tại các cổ đông lớn,1.759.491,515.005,1759491.0,515005.0
Các bên liên quan khác (*),Các bên liên quan khác (*),Các bên liên quan khác (*),,,,
Tiền gửi từ các bên liên quan khác,Các bên liên quan khác (*) > Tiền gửi từ các bên liên quan khác,Tiền gửi từ các bên liên quan khác,(58.414),(219.395),-58414.0,-219395.0
Lãi phải trả cho các bên liên quan khác,Các bên liên quan khác (*) > Lãi phải trả cho các bên liên quan khác,Lãi phải trả cho các bên liên quan khác,(7.994),(1.266),-7994.0,-1266.0
Cho các bên liên quan khác vay,Các bên liên quan khác (*) > Cho các bên liên quan khác vay,Cho các bên liên quan khác vay,(257),7.280,-257.0,7280.0
Lãi phải thu các bên liên quan khác,Các bên liên quan khác (*) > Lãi phải thu các bên liên quan khác,Lãi phải thu các bên liên quan khác,-,20,,20.0
Giao dịch phát sinh trong năm,Giao dịch phát sinh trong năm,Giao dịch phát sinh trong năm,2015Triệu VNDThu nhập/(Chi phí),2014Triệu VND,,
Công ty con,Công ty con,Công ty con,,,,
Chỉ phí lãi,Công ty con > Chỉ phí lãi,Chỉ phí lãi,(6.495),(8.363),-6495.0,-8363.0
Các cổ đông lớn,Các cổ đông lớn,Các cổ đông lớn,,,,
Thu nhập lãi,Các cổ đông lớn > Thu nhập lãi,Thu nhập lãi,946,422,946.0,422.0
Chỉ phí lãi,Các cổ đông lớn > Chỉ phí lãi,Chỉ phí lãi,(29.935),(27.778),-29935.0,-27778.0
Các bên liên quan khác (*),Các bên liên quan khác (*),Các bên liên quan khác (*),,,,
Thu nhập lãi,Các bên liên quan khác (*) > Thu nhập lãi,Thu nhập lãi,29,5.143,29.0,5143.0
Chỉ phí lãi,Các bên liên quan khác (*) > Chỉ phí lãi,Chỉ phí lãi,(2.323),(18.662),-2323.0,-18662.0
Thù lao trả cho các Thành viên Hội đồng Quản trị,Các bên liên quan khác (*) > Thù lao trả cho các Thành viên Hội đồng Quản trị,Thù lao trả cho các Thành viên Hội đồng Quản trị,(17.747),(23.673),-17747.0,-23673.0
Thù lao trả cho Ban Kiểm soát,Các bên liên quan khác (*) > Thù lao trả cho Ban Kiểm soát,Thù lao trả cho Ban Kiểm soát,(7.021),(11.260),-7021.0,-11260.0
Tiền lương và phụ cấp trả cho Ban Tổng Giám đốc,Các bên liên quan khác (*) > Tiền lương và phụ cấp trả cho Ban Tổng Giám đốc,Tiền lương và phụ cấp trả cho Ban Tổng Giám đốc,(48.858),(45.314),-48858.0,-45314.0
