row_label_raw,row_label_full,col_0,31/12/2025,31/12/2025_1,01/01/2025,01/01/2025_1,numeric__31/12/2025,numeric__31/12/2025_1,numeric__01/01/2025,numeric__01/01/2025_1
,,,Giá gốc VND,Dự phòng VND,Giá gốc VND,Dự phòng VND,,,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,3.751.128.692.377,(3.691.598.165.989),5.371.326.335.444,(3.663.066.570.184),3751128692377.0,-3691598165989.0,5371326335444.0,-3663066570184.0
- Công ty Cổ phần Hàng không Tre Việt,- Công ty Cổ phần Hàng không Tre Việt,- Công ty Cổ phần Hàng không Tre Việt,2.600.381.279.140,(2.600.381.279.140),2.360.923.707.370,(2.360.923.707.370),2600381279140.0,-2600381279140.0,2360923707370.0,-2360923707370.0
- Công ty Cổ phần Hàng không Pacific Airlines,- Công ty Cổ phần Hàng không Pacific Airlines,- Công ty Cổ phần Hàng không Pacific Airlines,871.661.226.586,(871.661.226.586),887.868.598.186,(887.868.598.186),871661226586.0,-871661226586.0,887868598186.0,-887868598186.0
- Công ty Cổ phần Hàng không Lữ hành Việt Nam,- Công ty Cổ phần Hàng không Lữ hành Việt Nam,- Công ty Cổ phần Hàng không Lữ hành Việt Nam,244.963.362.179,(186.818.393.464),345.048.558.423,(345.048.558.423),244963362179.0,-186818393464.0,345048558423.0,-345048558423.0
- Công ty Cổ phần Hàng không Mê Kông,- Công ty Cổ phần Hàng không Mê Kông,- Công ty Cổ phần Hàng không Mê Kông,25.907.942.217,(25.907.942.217),25.907.942.217,(25.907.942.217),25907942217.0,-25907942217.0,25907942217.0,-25907942217.0
- Tổng Công ty hàng không Việt Nam - CTCP,- Tổng Công ty hàng không Việt Nam - CTCP,- Tổng Công ty hàng không Việt Nam - CTCP,-,-,1.740.764.646.813,(34.215.164.838),,,1740764646813.0,-34215164838.0
- Các đối tượng khác,- Các đối tượng khác,- Các đối tượng khác,8.214.882.255,(6.829.324.582),10.812.882.435,(9.102.599.150),8214882255.0,-6829324582.0,10812882435.0,-9102599150.0
Dài hạn,Dài hạn,Dài hạn,2.800.000.200,(2.800.000.200),2.800.000.200,(2.800.000.200),2800000200.0,-2800000200.0,2800000200.0,-2800000200.0
- Công ty Cổ phần Hoàng Long Yến,- Công ty Cổ phần Hoàng Long Yến,- Công ty Cổ phần Hoàng Long Yến,2.800.000.200,(2.800.000.200),2.800.000.200,(2.800.000.200),2800000200.0,-2800000200.0,2800000200.0,-2800000200.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.753.928.692.577,(3.694.398.166.189),5.374.126.335.644,(3.665.866.570.384),3753928692577.0,-3694398166189.0,5374126335644.0,-3665866570384.0
