row_label_raw,row_label_full,col_0,Unit: VND,numeric__Unit: VND
,,,Land use rights and Infrastructure for lease,
Original cost,Original cost,Original cost,Original cost,
Opening balance,Opening balance,Opening balance,"144,455,832,878",
Closing balance,Closing balance,Closing balance,"144,455,832,878",
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,
Opening balance,Opening balance,Opening balance,"46,466,626,194",
Depreciation,Depreciation,Depreciation,"2,889,116,652",
Closing balance,Closing balance,Closing balance,"49,355,742,846",
Net book value,Net book value,Net book value,Net book value,
Opening,Opening,Opening,"97,989,206,684",
Closing,Closing,Closing,"95,100,090,032",
