row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Công ty CP Du lịch DIC,Công ty CP Du lịch DIC,Công ty CP Du lịch DIC,Công ty con,
Công ty CP Gạch men Anh Em DIC,Công ty CP Gạch men Anh Em DIC,Công ty CP Gạch men Anh Em DIC,Công ty con,
Công ty CP Đầu tư Phát triển Xây dựng Số 1,Công ty CP Đầu tư Phát triển Xây dựng Số 1,Công ty CP Đầu tư Phát triển Xây dựng Số 1,Công ty con,
Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Công ty con,
Công ty CP Đầu tư Phát triển Tầm nhìn DIC,Công ty CP Đầu tư Phát triển Tầm nhìn DIC,Công ty CP Đầu tư Phát triển Tầm nhìn DIC,Công ty con,
Công ty TNHH MTV Đầu tư Phát triển Đô thị và Khu công nghiệp DIC,Công ty TNHH MTV Đầu tư Phát triển Đô thị và Khu công nghiệp DIC,Công ty TNHH MTV Đầu tư Phát triển Đô thị và Khu công nghiệp DIC,Công ty con,
Công ty CP Đầu tư Phát triển Du lịch Thể thao Vũng Tàu,Công ty CP Đầu tư Phát triển Du lịch Thể thao Vũng Tàu,Công ty CP Đầu tư Phát triển Du lịch Thể thao Vũng Tàu,Công ty con (Sở hữu gián tiếp),
Công ty CP Sport TOTO Việt Nam,Công ty CP Sport TOTO Việt Nam,Công ty CP Sport TOTO Việt Nam,Công ty con (Sở hữu gián tiếp),
Công ty CP DICERA Holdings,Công ty CP DICERA Holdings,Công ty CP DICERA Holdings,Công ty liên kết,
Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Công ty liên kết,
Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty liên kết,
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty liên kết,
Công ty CP Vina Đại Phước,Công ty CP Vina Đại Phước,Công ty CP Vina Đại Phước,Cùng tập đoàn,
