row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thăng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch đánh giá lại,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thăng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch đánh giá lại,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,1.154.528.420.000,711.136.556.786,-,(4.320.000),354.142.756,78.810.312.228,23.130.682.547,716.171.632.480,129.864.856.543,2.813.992.283.340,1154528420000.0,711136556786.0,,-4320000.0,354142756.0,78810312228.0,23130682547.0,716171632480.0,129864856543.0,2813992283340.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,-,-,22.906.800.000,-,-,-,-,-,16.710.000.000,39.616.800.000,,,22906800000.0,,,,,,16710000000.0,39616800000.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,-,-,466.549.998.401,24.851.478.473,491.401.476.874,,,,,,,,466549998401.0,24851478473.0,491401476874.0
Phân phối lợi nhuận trong năm:,Phân phối lợi nhuận trong năm:,Phân phối lợi nhuận trong năm:,173.174.520.000,-,-,-,-,18.376.968.854,9.188.484.427,(219.116.942.135),-,(18.376.968.854),173174520000.0,,,,,18376968854.0,9188484427.0,-219116942135.0,,-18376968854.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,173.174.520.000,,,,,,-,(173.174.520.000),-,-,173174520000.0,,,,,,,-173174520000.0,,
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,-,18.376.968.854,-,(18.376.968.854),-,-,,,,,,18376968854.0,,-18376968854.0,,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,(18.376.968.854),-,(18.376.968.854),,,,,,,,-18376968854.0,,-18376968854.0
Trích quỹ dự trữ bổ sung vốn điều lệ,Trích quỹ dự trữ bổ sung vốn điều lệ,Trích quỹ dự trữ bổ sung vốn điều lệ,-,-,-,-,-,,9.188.484.427,(9.188.484.427),-,-,,,,,,,9188484427.0,-9188484427.0,,
Phân phối lợi nhuận tại Công ty con:,Phân phối lợi nhuận tại Công ty con:,Phân phối lợi nhuận tại Công ty con:,-,-,-,-,-,2.207.709.676,100.957.560,(38.002.937.178),(11.455.148.865),(47.149.418.807),,,,,,2207709676.0,100957560.0,-38002937178.0,-11455148865.0,-47149418807.0
Chia cổ tức từ lợi nhuận 2017.2918,Chia cổ tức từ lợi nhuận 2017.2918,Chia cổ tức từ lợi nhuận 2017.2918,-,-,-,-,-,-,-,(22.906.800.000),(9.570.446.824),(32.477.246.824),,,,,,,,-22906800000.0,-9570446824.0,-32477246824.0
Trích quỹ tại công ty con từ lợi nhuận 2017.2018,Trích quỹ tại công ty con từ lợi nhuận 2017.2018,Trích quỹ tại công ty con từ lợi nhuận 2017.2018,-,-,-,-,-,2.207.709.676,100.957.560,(15.096.137.178),(1.884.702.041),(14.672.171.983),,,,,,2207709676.0,100957560.0,-15096137178.0,-1884702041.0,-14672171983.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,,(6.700.000),-,-,(41.255.774),(47.955.774),,,,,,-6700000.0,,,-41255774.0,-47955774.0
Điều chính khác,Điều chính khác,Điều chính khác,-,,-,-,354.142.755,-,-,(618.416.993),56.715.573,(207.558.665),,,,,354142755.0,,,-618416993.0,56715573.0,-207558665.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,1.327.702.940.000,711.136.556.786,22.906.800.000,(4.320.000),708.285.511,99.388.290.758,32.420.124.534,924.983.334.575,159.986.645.950,3.279.228.658.114,1327702940000.0,711136556786.0,22906800000.0,-4320000.0,708285511.0,99388290758.0,32420124534.0,924983334575.0,159986645950.0,3279228658114.0
