row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,300,,72.388.982.993,330.743.865.346,,300.0,,72388982993.0,330743865346.0
I.,I.,I.,Nợ ngắn hạn,310,,72.388.982.993,330.743.865.346,,310.0,,72388982993.0,330743865346.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,,25.500.000,279.996.720,,311.0,,25500000.0,279996720.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,V.9,-,1.151.842.810,,312.0,,,1151842810.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,V.10,8.059.023.101,22.036.699.311,,313.0,,8059023101.0,22036699311.0
4.,4.,4.,Phải trả người lao động,314,,805.916.942,627.849.943,,314.0,,805916942.0,627849943.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,,830.627.977,1.423.201.681,,315.0,,830627977.0,1423201681.0
6.,6.,6.,Phải trả nội bộ ngắn hạn,316,,-,-,,316.0,,,
7.,7.,7.,Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,-,-,,317.0,,,
8.,8.,8.,Doanh thu chưa thực hiện ngắn hạn,318,,373.144.995,116.562.537,,318.0,,373144995.0,116562537.0
9.,9.,9.,Phải trả ngắn hạn khác,319,,598.547.477,379.628.352,,319.0,,598547477.0,379628352.0
10.,10.,10.,Vay và nợ thuê tài chính ngắn hạn,320,V.11,57.013.138.509,300.000.000.000,,320.0,,57013138509.0,300000000000.0
11.,11.,11.,Dự phòng phải trả ngắn hạn,321,,-,-,,321.0,,,
12.,12.,12.,"Quỹ khen thưởng, phúc lợi",322,,4.683.083.992,4.728.083.992,,322.0,,4683083992.0,4728083992.0
13.,13.,13.,Quỹ bình ổn giá,323,,-,-,,323.0,,,
14.,14.,14.,Giao dịch mua bán lại trái phiếu Chính phủ,324,,-,-,,324.0,,,
II.,II.,II.,Nợ dài hạn,330,,-,-,,330.0,,,
1.,1.,1.,Phải trả người bán dài hạn,331,,-,-,,331.0,,,
2.,2.,2.,Người mua trả tiền trước dài hạn,332,,-,-,,332.0,,,
3.,3.,3.,Chi phí phải trả dài hạn,333,,-,-,,333.0,,,
4.,4.,4.,Phải trả nội bộ về vốn kinh doanh,334,,-,-,,334.0,,,
5.,5.,5.,Phải trả nội bộ dài hạn,335,,-,-,,335.0,,,
6.,6.,6.,Doanh thu chưa thực hiện dài hạn,336,,-,-,,336.0,,,
7.,7.,7.,Phải trả dài hạn khác,337,,-,-,,337.0,,,
8.,8.,8.,Vay và nợ thuê tài chính dài hạn,338,,-,-,,338.0,,,
9.,9.,9.,Trái phiếu chuyển đổi,339,,-,-,,339.0,,,
10.,10.,10.,Cổ phiếu ưu đãi,340,,-,-,,340.0,,,
11.,11.,11.,Thuế thu nhập hoãn lại phải trả,341,,-,-,,341.0,,,
12.,12.,12.,Dự phòng phải trả dài hạn,342,,-,-,,342.0,,,
13.,13.,13.,Quỹ phát triển khoa học và công nghệ,343,,-,-,,343.0,,,
