row_label_raw,row_label_full,Năm nay > Số đầu năm,Vốn cổ phần đã phát hành > Năm nay > 4.065.600.000.000,Thặng dư vốn cổ phần > Năm nay > 547.112.000.000,Vốn khác > Năm nay > 77.388.963.577,Chênh lệch tỷ giá hối đoái > Năm nay > 236.031.851,Quỹ đầu tư phát triển > Năm nay > 77.023.242.245,Lợi nhuận sau thuế chưa phân phối > Năm nay > 846.596.655.014,Lợi ích cổ đông không kiểm soát > Năm nay > 2.342.367.486.938,Đơn vị tính: VND > Năm nay > 7.956.324.379.625,numeric__Vốn cổ phần đã phát hành > Năm nay > 4.065.600.000.000,numeric__Thặng dư vốn cổ phần > Năm nay > 547.112.000.000,numeric__Vốn khác > Năm nay > 77.388.963.577,numeric__Chênh lệch tỷ giá hối đoái > Năm nay > 236.031.851,numeric__Quỹ đầu tư phát triển > Năm nay > 77.023.242.245,numeric__Lợi nhuận sau thuế chưa phân phối > Năm nay > 846.596.655.014,numeric__Lợi ích cổ đông không kiểm soát > Năm nay > 2.342.367.486.938,numeric__Đơn vị tính: VND > Năm nay > 7.956.324.379.625
- Tăng vốn (*),- Tăng vốn (*),- Tăng vốn (*),180.000.000.000,66.457.000.000,-,-,-,-,-,246.457.000.000,180000000000.0,66457000000.0,,,,,,246457000000.0
- Phát hành cổ phiếu để tăng vốn cổ phần tử nguồn vốn chủ sở hữu (**),- Phát hành cổ phiếu để tăng vốn cổ phần tử nguồn vốn chủ sở hữu (**),- Phát hành cổ phiếu để tăng vốn cổ phần tử nguồn vốn chủ sở hữu (**),636.840.000.000,(547.112.000.000),-,-,-,(89.728.000.000),-,-,636840000000.0,-547112000000.0,,,,-89728000000.0,,
- Lợi nhuận trong năm,- Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,-,-,634.682.131.108,217.784.539.635,852.466.670.743,,,,,,634682131108.0,217784539635.0,852466670743.0
- Chia cổ tức (***),- Chia cổ tức (***),- Chia cổ tức (***),-,-,-,-,-,-,(171.605.669.729),(171.605.669.729),,,,,,,-171605669729.0,-171605669729.0
"- Trích quỹ khen thưởng, phúc lợi (***)","- Trích quỹ khen thưởng, phúc lợi (***)","- Trích quỹ khen thưởng, phúc lợi (***)",-,-,-,-,-,(25.211.401.443),(6.062.180.360),(31.273.581.803),,,,,,-25211401443.0,-6062180360.0,-31273581803.0
- Thù lao HĐQT (***),- Thù lao HĐQT (***),- Thù lao HĐQT (***),-,-,-,-,-,(1.230.568.961),(1.407.417.705),(2.637.986.666),,,,,,-1230568961.0,-1407417705.0,-2637986666.0
- Công ty con trả cổ tức bằng cổ phiếu (****),- Công ty con trả cổ tức bằng cổ phiếu (****),- Công ty con trả cổ tức bằng cổ phiếu (****),-,-,70.199.970.000,-,-,(70.199.970.000),-,-,,,70199970000.0,,,-70199970000.0,,
- Mua thêm lợi ích từ cổ đông không kiểm soát,- Mua thêm lợi ích từ cổ đông không kiểm soát,- Mua thêm lợi ích từ cổ đông không kiểm soát,-,-,-,-,-,(103.961.187.259),(143.096.375.338),(247.057.562.597),,,,,,-103961187259.0,-143096375338.0,-247057562597.0
- Thay đổi tỷ lệ sở hữu tại công ty con do sáp nhập,- Thay đổi tỷ lệ sở hữu tại công ty con do sáp nhập,- Thay đổi tỷ lệ sở hữu tại công ty con do sáp nhập,-,-,-,-,-,13.299.745.389,(13.299.745.389),-,,,,,,13299745389.0,-13299745389.0,
- Góp vốn vào công ty con,- Góp vốn vào công ty con,- Góp vốn vào công ty con,-,-,-,-,-,-,8.403.000.000,8.403.000.000,,,,,,,8403000000.0,8403000000.0
- Thoái vốn tại công ty con trong năm,- Thoái vốn tại công ty con trong năm,- Thoái vốn tại công ty con trong năm,-,-,-,(236.031.851),-,(717.754.542),65.618.704.542,64.664.918.149,,,,-236031851.0,,-717754542.0,65618704542.0,64664918149.0
- Công ty con mua cổ phiếu quỹ,- Công ty con mua cổ phiếu quỹ,- Công ty con mua cổ phiếu quỹ,-,-,-,-,-,(2.951.755.793),(3.268.246.942),(6.220.002.735),,,,,,-2951755793.0,-3268246942.0,-6220002735.0
- Tăng/giảm khác,- Tăng/giảm khác,- Tăng/giảm khác,-,-,-,-,-,(21.792.700),(25.051.091),(46.843.791),,,,,,-21792700.0,-25051091.0,-46843791.0
Số cuối năm,Số cuối năm,Số cuối năm,4.882.440.000.000,66.457.000.000,147.588.933.577,-,77.023.242.245,1.200.556.100.813,2.295.409.044.561,8.669.474.321.196,4882440000000.0,66457000000.0,147588933577.0,,77023242245.0,1200556100813.0,2295409044561.0,8669474321196.0
